index,model_name,embed_type,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
0,cnn,glove,100,150,0.0,0.96386,0.03614,0.0,0.96386,0.03614
1,cnn,glove,100,200,0.0,0.99436,0.00564,0.0,0.99436,0.00564
2,cnn,glove,100,250,0.0,0.9637,0.0363,0.0,0.9637,0.0363
3,cnn,glove,100,300,0.0,0.9897,0.0103,0.0,0.9897,0.0103
4,cnn,glove,200,150,0.0,0.99856,0.00144,0.0,0.99856,0.00144
5,cnn,glove,250,150,4e-05,0.9999,6e-05,4e-05,0.9999,6e-05
6,cnn,glove,250,200,0.00114,0.99886,0.0,0.00114,0.99886,0.0
7,cnn,glove,300,150,0.0,0.99912,0.00088,0.0,0.99912,0.00088
8,cnn,glove,300,200,4e-05,0.99682,0.00314,4e-05,0.99682,0.00314
9,cnn,glove,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,cnn,numberbatch,150,100,0.0,0.99978,0.00022,0.0,0.99978,0.00022
1,cnn,numberbatch,150,300,0.0,1.0,0.0,0.0,1.0,0.0
2,cnn,numberbatch,200,100,2e-05,0.99998,0.0,2e-05,0.99998,0.0
3,cnn,numberbatch,200,150,2e-05,0.99998,0.0,2e-05,0.99998,0.0
4,cnn,numberbatch,200,250,0.05722,0.94278,0.0,0.05722,0.94278,0.0
5,cnn,numberbatch,200,300,0.00836,0.99164,0.0,0.00836,0.99164,0.0
6,cnn,numberbatch,250,100,0.0,0.99804,0.00196,0.0,0.99804,0.00196
7,cnn,numberbatch,250,150,0.0015,0.9985,0.0,0.0015,0.9985,0.0
8,cnn,numberbatch,250,300,0.00902,0.98698,0.004,0.00902,0.98698,0.004
9,cnn,numberbatch,300,100,0.0,0.99998,2e-05,0.0,0.99998,2e-05
0,cnn,fasttext,100,300,0.0,1.0,0.0,0.0,1.0,0.0
1,cnn,fasttext,150,100,2e-05,0.99998,0.0,2e-05,0.99998,0.0
2,cnn,fasttext,150,200,0.00224,0.9953,0.00246,0.00224,0.9953,0.00246
3,cnn,fasttext,150,250,2e-05,0.99998,0.0,2e-05,0.99998,0.0
4,cnn,fasttext,150,300,0.0,1.0,0.0,0.0,1.0,0.0
5,cnn,fasttext,200,100,0.0011,0.9989,0.0,0.0011,0.9989,0.0
6,cnn,fasttext,200,250,0.00152,0.9978,0.00068,0.00152,0.9978,0.00068
7,cnn,fasttext,200,300,2e-05,0.99974,0.00024,2e-05,0.99974,0.00024
8,cnn,fasttext,250,100,2e-05,0.99998,0.0,2e-05,0.99998,0.0
9,cnn,fasttext,250,300,0.0,1.0,0.0,0.0,1.0,0.0
0,cnn,word2vec,100,150,0.0,1.0,0.0,0.0,1.0,0.0
1,cnn,word2vec,100,200,0.0,1.0,0.0,0.0,1.0,0.0
2,cnn,word2vec,100,250,2e-05,0.95202,0.04796,2e-05,0.95202,0.04796
3,cnn,word2vec,100,300,0.00014,0.99986,0.0,0.00014,0.99986,0.0
4,cnn,word2vec,150,200,0.0,1.0,0.0,0.0,1.0,0.0
5,cnn,word2vec,150,250,0.0,0.98618,0.01382,0.0,0.98618,0.01382
6,cnn,word2vec,150,300,4e-05,0.99996,0.0,4e-05,0.99996,0.0
7,cnn,word2vec,200,250,0.0,0.99224,0.00776,0.0,0.99224,0.00776
8,cnn,word2vec,200,300,0.0,1.0,0.0,0.0,1.0,0.0
9,cnn,word2vec,300,250,0.0,0.98244,0.01756,0.0,0.98244,0.01756
0,cnn,deps,100,150,0.0001,0.9999,0.0,0.0001,0.9999,0.0
1,cnn,deps,100,200,0.0,0.98342,0.01658,0.0,0.98342,0.01658
2,cnn,deps,100,250,8e-05,0.9323,0.06762,8e-05,0.9323,0.06762
3,cnn,deps,100,300,0.00038,0.99962,0.0,0.00038,0.99962,0.0
