index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
0,cnn,deps-100,deps-150,0.00016,0.99984,0.0,0.00016,0.99984,0.0
1,cnn,deps-100,deps-200,0.0,0.9836,0.0164,0.0,0.9836,0.0164
2,cnn,deps-100,deps-250,6e-05,0.93058,0.06936,6e-05,0.93058,0.06936
3,cnn,deps-100,deps-300,0.00026,0.99974,0.0,0.00026,0.99974,0.0
4,cnn,deps-100,fasttext-100,0.0,0.99714,0.00286,0.0,0.99714,0.00286
5,cnn,deps-100,fasttext-200,0.0,0.93596,0.06404,0.0,0.93596,0.06404
6,cnn,deps-100,fasttext-250,0.0,0.97078,0.02922,0.0,0.97078,0.02922
7,cnn,deps-100,fasttext-300,0.0,0.75026,0.24974,0.0,0.75026,0.24974
8,cnn,deps-100,glove-150,0.0,0.97734,0.02266,0.0,0.97734,0.02266
9,cnn,deps-100,glove-200,0.0,0.99812,0.00188,0.0,0.99812,0.00188
10,cnn,deps-100,glove-250,0.0,0.99148,0.00852,0.0,0.99148,0.00852
11,cnn,deps-100,glove-300,0.0,0.99824,0.00176,0.0,0.99824,0.00176
12,cnn,deps-100,numberbatch-100,0.0,1.0,0.0,0.0,1.0,0.0
13,cnn,deps-100,numberbatch-300,2e-05,0.99998,0.0,2e-05,0.99998,0.0
14,cnn,deps-100,word2vec-200,0.0,1.0,0.0,0.0,1.0,0.0
15,cnn,deps-100,word2vec-250,0.0,0.9832,0.0168,0.0,0.9832,0.0168
16,cnn,deps-100,word2vec-300,0.0,1.0,0.0,0.0,1.0,0.0
17,cnn,deps-150,deps-200,0.0,0.95938,0.04062,0.0,0.95938,0.04062
18,cnn,deps-150,deps-250,4e-05,0.91412,0.08584,4e-05,0.91412,0.08584
19,cnn,deps-150,deps-300,0.00326,0.99672,2e-05,0.00326,0.99672,2e-05
20,cnn,deps-150,glove-150,0.0,0.94388,0.05612,0.0,0.94388,0.05612
21,cnn,deps-150,glove-200,0.0,0.98268,0.01732,0.0,0.98268,0.01732
