index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,1700,115,True,100,glove,glove.840B.300d,0.92858887,66.895825,1.3469638000000002,57.488024,1.1448331,59.561780000000006,0.5955829109341058,0.5955829109341058,0.5955829109341058,0.5703615793526586,0.5390151391390757,0.5703615793526586,0.5961786546233071,0.5955829109341058,0.5824977266761898
1,cnn,1700,115,True,200,numberbatch,numberbatch-en,0.9285097,66.999495,1.3611848,57.597536000000005,1.1708968000000002,58.08908,0.5807385952208545,0.5807385952208545,0.5807385952208545,0.5495491092090806,0.5276305382399075,0.5495491092090806,0.5762813096643221,0.5807385952208545,0.5641426506406843
2,cnn,1700,115,True,200,numberbatch,numberbatch-en,0.9195521000000001,67.345923,1.3525431,57.426804,1.1654243,58.807469999999995,0.5879797248370746,0.5879797248370746,0.5879797248370746,0.5803093870752934,0.5252683401712989,0.5803093870752934,0.5913089363433007,0.5879797248370746,0.5624804158170732
3,cnn,1700,115,True,200,numberbatch,numberbatch-en,0.9237813,67.195165,1.3602618999999998,57.40723000000001,1.155257,59.633619999999986,0.5963070238957278,0.5963070238957278,0.5963070238957278,0.5693702505948138,0.5280515681913838,0.5693702505948138,0.5928752197102943,0.5963070238957278,0.5764498189816072
4,cnn,1700,115,True,200,numberbatch,numberbatch-en,0.9226879000000001,67.22386999999999,1.3641363000000002,57.245580000000004,1.163946,59.626436000000005,0.5970311368573498,0.5970311368573498,0.5970311368573498,0.6281587563251035,0.5384956858138216,0.6281587563251035,0.6230383071314773,0.5970311368573498,0.5751014009456767
5,cnn,1700,115,True,250,numberbatch,numberbatch-en,0.92916644,66.986465,1.3824105,57.029414,1.1734278999999999,58.728449999999995,0.5879797248370746,0.5879797248370746,0.5879797248370746,0.5733177877466348,0.5349725231870777,0.5733177877466348,0.5966601614861599,0.5879797248370746,0.5734511047405477
6,cnn,1700,115,True,250,numberbatch,numberbatch-en,0.92689407,67.006147,1.3744338,56.838375,1.1845138000000002,58.73563000000001,0.5872556118754526,0.5872556118754526,0.5872556118754526,0.5715829722098082,0.5263664290580786,0.5715829722098082,0.5921771542416921,0.5872556118754526,0.5638034177979101
7,cnn,1700,115,True,250,numberbatch,numberbatch-en,0.9253898000000002,67.162603,1.3267136999999998,57.73332,1.1376042,59.238504999999996,0.5923244026068066,0.5923244026068066,0.5923244026068066,0.5631481028203537,0.5393921403850914,0.5631481028203537,0.5887204094096278,0.5923244026068066,0.5696559074177829
8,cnn,1700,115,True,250,numberbatch,numberbatch-en,0.92896956,67.10887,1.3472018,57.810783,1.1845927,59.375,0.5944967414916728,0.5944967414916728,0.5944967414916728,0.5591229216146589,0.5296943306585546,0.5591229216146589,0.5941833396902387,0.5944967414916728,0.5753612619177032
9,cnn,1700,115,True,200,numberbatch,numberbatch-en,0.92101204,67.19008000000001,1.3672643,57.49246,1.1580763,60.06465600000001,0.6006517016654598,0.6006517016654598,0.6006517016654598,0.5699944658837254,0.530842092144293,0.5699944658837254,0.5963695860634616,0.6006517016654598,0.5787947794828244
10,cnn,1700,115,True,250,numberbatch,numberbatch-en,0.92709005,67.1073,1.348833,57.694554,1.1299953,60.02873000000001,0.6002896451846488,0.6002896451846488,0.6002896451846488,0.5661721123680116,0.5363886055900438,0.5661721123680116,0.596459393393896,0.6002896451846488,0.5789528388725234
11,cnn,1700,115,True,250,numberbatch,numberbatch-en,0.92906255,66.971534,1.3962442,57.422019999999996,1.1513996000000002,59.17385000000001,0.5908761766835626,0.5908761766835626,0.5908761766835626,0.5694058246103807,0.5307396728638508,0.5694058246103807,0.5940230811347329,0.5908761766835626,0.5702545350378114
12,cnn,1700,115,True,250,numberbatch,numberbatch-en,0.927218,67.08341999999999,1.3590608,57.94033400000001,1.1745242,58.83621,0.5890658942795076,0.5890658942795076,0.5890658942795076,0.5580088177523309,0.5151634797053547,0.5580088177523309,0.5812835775407122,0.5890658942795076,0.5659511053694191
13,cnn,1700,115,True,250,numberbatch,numberbatch-en,0.92944306,67.02161,1.3807578,56.82798000000001,1.1820111999999998,59.604883,0.5952208544532948,0.5952208544532948,0.5952208544532948,0.5516035090961645,0.5311514751571919,0.5516035090961645,0.5775770920835028,0.5952208544532948,0.5660965323688834
14,cnn,1700,115,True,250,numberbatch,numberbatch-en,0.9274239,67.11029400000001,1.3677032,57.055366,1.1953303,58.297414,0.5836350470673425,0.5836350470673425,0.5836350470673425,0.5501636130666913,0.5285887012845093,0.5501636130666913,0.5840280307283164,0.5836350470673425,0.5680084029305318
15,cnn,1700,115,True,150,fasttext,crawl-300d-2M,0.91660017,67.42278999999999,1.3545473,57.82816,1.1390482,58.426725999999995,0.5865314989138306,0.5865314989138306,0.5865314989138306,0.5445515130826629,0.5132738909290444,0.5445515130826629,0.5836376933781448,0.5865314989138306,0.5549544985631113
16,cnn,1700,115,True,100,word2vec,GoogleNews-vectors-negative300,0.9265046,67.31918999999999,1.3481658,57.40696999999999,1.176142,60.20833000000001,0.6020999275887038,0.6020999275887038,0.6020999275887038,0.5788190677076736,0.5320329553927835,0.5788190677076736,0.5996176335473636,0.6020999275887038,0.5829155871462345
