index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,cnn,400,25,True,50,1.0352111199999998,63.419492000000005,1.26136078,57.71500810000001,1.1826871300000001,59.1652293,0.5921433743664012,0.5921433743664012,0.5921433743664012,0.5725511052399817,0.5291463436019926,0.5725511052399817,0.596638784326349,0.5921433743664012,0.5713103172716388,0.004551918664280202,0.17915189943608267,0.010360262032915258,0.22975447227007625,0.013056983567599175,0.3084301291177093,0.0030399811049505072,0.0030399811049505072,0.0030399811049505072,0.014991595092304456,0.007309336269526306,0.014991595092304456,0.010649645031346992,0.0030399811049505072,0.006685293615211665
1,cnn,800,50,True,50,1.001700879,64.54338049999998,1.2934956000000002,57.435096099999996,1.1780585199999998,59.1609189,0.5921795800144822,0.5921795800144822,0.5921795800144822,0.5816271039146005,0.5310903732322916,0.5816271039146005,0.5988307130455615,0.5921795800144822,0.5702665595669021,0.00553316021184692,0.13834133504347423,0.010605996305130571,0.245091379870379,0.014529107874256278,0.6115835834291996,0.006005725367551953,0.006005725367551953,0.006005725367551953,0.029438306115416008,0.007492805750588856,0.029438306115416008,0.014567545809705647,0.006005725367551953,0.008644735264582306
2,cnn,1700,115,True,50,0.987211015,64.96002419999999,1.3010991500000002,57.4268655,1.17802311,59.2859195,0.593519188993483,0.593519188993483,0.593519188993483,0.576519478258817,0.5327871668097217,0.576519478258817,0.5986511087133526,0.593519188993483,0.5735595041215202,0.003531844105617209,0.1358961249621709,0.010120832323397768,0.2749982704621377,0.012088561434720035,0.5262121525583145,0.004981987221492655,0.004981987221492655,0.004981987221492655,0.019025178408489236,0.010121764308232903,0.019025178408489236,0.009763706808839059,0.004981987221492655,0.005277887148583506
3,text cnn,400,25,True,50,1.1484463599999999,60.073295900000005,1.25954524,56.2421471,1.13471014,59.172413600000006,0.5918175235336712,0.5918175235336712,0.5918175235336712,0.5669302881724219,0.5212833051071335,0.5669302881724219,0.5892399319387673,0.5918175235336712,0.568882592940998,0.006302262557596977,0.17451064745768585,0.00608436347811153,0.22142290927064662,0.009593541365383998,0.5710460053613488,0.005952132197988983,0.005952132197988983,0.005952132197988983,0.013585092704199782,0.005332068591840301,0.013585092704199782,0.007683433357693856,0.005952132197988983,0.0034021192320596795
4,text cnn,800,50,True,50,1.14334624,60.2350751,1.26085835,56.30194289999999,1.13378224,59.1954019,0.5922881969587256,0.5922881969587256,0.5922881969587256,0.569210966458465,0.5231547898063607,0.569210966458465,0.5921726981300898,0.5922881969587256,0.5702200264917153,0.004849264296594081,0.17539542957902698,0.0040202346267213165,0.1858929464685704,0.014066515341302958,0.4072295517514082,0.003927195714646773,0.003927195714646773,0.003927195714646773,0.014013946603640238,0.006787884806719907,0.014013946603640238,0.00857914774674875,0.003927195714646773,0.005665222646458287
5,text cnn,1700,115,True,50,1.14352015,60.1885041,1.26169186,56.3288862,1.1448083299999998,59.0732749,0.5910572049239681,0.5910572049239681,0.5910572049239681,0.5668951334776711,0.5223040097484491,0.5668951334776711,0.5914930029875836,0.5910572049239681,0.569371598925931,0.009010031410384266,0.2548454450269603,0.006835674302949169,0.276422424843571,0.00846376432840479,0.4415487539079409,0.004294945606872896,0.004294945606872896,0.004294945606872896,0.008298462593145643,0.007830948720056024,0.008298462593145643,0.007397265952417487,0.004294945606872896,0.005884127589777403
6,dcnn,800,50,True,50,1.1767223000000002,59.2206365,1.278171,56.1053397,1.16951891,58.814655800000004,0.588848660391021,0.588848660391021,0.588848660391021,0.5709191945339727,0.5174492149109959,0.5709191945339727,0.5970054550313242,0.588848660391021,0.5671229801532571,0.008139515648025076,0.2876762897170872,0.01030024304384229,0.2633896963310165,0.012720949561818646,0.7137781694427647,0.006941671809533292,0.006941671809533292,0.006941671809533292,0.012949424652637747,0.007624962171174034,0.012949424652637747,0.010136297804503862,0.006941671809533292,0.009352445056659508
7,dcnn,400,25,True,50,1.18360335,59.1129772,1.28189344,55.974042399999995,1.16758685,58.6860626,0.5874728457639392,0.5874728457639392,0.5874728457639392,0.5542493300456137,0.5150369170867901,0.5542493300456137,0.589780976849626,0.5874728457639392,0.5647875378813882,0.009341171610224623,0.25167568108262117,0.007430289111049247,0.2265305246633829,0.013916681726319166,0.4882999321180457,0.004441488516634867,0.004441488516634867,0.004441488516634867,0.013230485435230597,0.009683869858928114,0.013230485435230597,0.00850280863931523,0.004441488516634867,0.007828786047511867
8,dcnn,1700,115,True,50,1.1812380300000003,58.983404500000006,1.28628862,55.77634380000001,1.1702567900000003,58.856321200000004,0.5894279507603185,0.5894279507603185,0.5894279507603185,0.5655270010540013,0.5168444591067201,0.5655270010540013,0.5922969611048847,0.5894279507603185,0.5682076763236823,0.009846771504525372,0.28871581415612574,0.007973754252379091,0.2840607610200489,0.015483668272046466,0.5443649609417038,0.005179643672188025,0.005179643672188025,0.005179643672188025,0.015430341864286433,0.01390259348043415,0.015430341864286433,0.009647534317860928,0.005179643672188025,0.00732779280090455
9,rcnn,400,25,True,50,0.9705894070000001,65.60835420000001,1.2646526599999999,57.794118400000016,1.1591692699999998,59.81465480000001,0.5983707458363504,0.5983707458363504,0.5983707458363504,0.5818708690122957,0.5393251501674314,0.5818708690122957,0.6033264818586763,0.5983707458363504,0.5825885395477218,0.00627197556601152,0.17761959400972224,0.008578632543735799,0.2510646877069294,0.010803205429876473,0.5280023355120481,0.005216210767137326,0.005216210767137326,0.005216210767137326,0.009198964112497685,0.004974571493692754,0.009198964112497685,0.0072313123003625605,0.005216210767137326,0.0037769838636805197
10,rcnn,800,50,True,50,0.950209701,66.24426109999999,1.27336708,57.965035799999995,1.1487179600000001,59.7478445,0.5979362780593773,0.5979362780593773,0.5979362780593773,0.5856488223451903,0.5443648493409333,0.5856488223451903,0.610028251563435,0.5979362780593773,0.5866257788056669,0.007690776949374665,0.25686804678167824,0.010561344037026929,0.22292821798297704,0.010099563704019836,0.4843030474046076,0.0049296737305093066,0.0049296737305093066,0.0049296737305093066,0.006256468253556303,0.008676502894229065,0.006256468253556303,0.003270269016962325,0.0049296737305093066,0.004590139286139997
11,rcnn,1700,115,True,50,0.9549455609999999,66.1141973,1.2708103899999998,58.0454786,1.1565701000000002,59.8505751,0.5987328023171614,0.5987328023171614,0.5987328023171614,0.5856068194336451,0.5425901612196995,0.5856068194336451,0.60734855317212,0.5987328023171614,0.5860613140725837,0.006838702286953883,0.19277894678047494,0.009503509887808103,0.2307435045832856,0.013502719431202619,0.5730516557723488,0.005762779708972072,0.005762779708972072,0.005762779708972072,0.01292868388233386,0.008122632716562366,0.01292868388233386,0.007445516852257746,0.005762779708972072,0.00476037665701108
12,lstm,400,25,True,50,1.10740946,61.2713327,1.2425889799999996,57.4735503,1.16455625,59.79813149999999,0.5984431571325126,0.5984431571325126,0.5984431571325126,0.5885142180343315,0.5418224296463728,0.5885142180343315,0.6101608387630122,0.5984431571325126,0.5854230338419406,0.0026945149966387154,0.0680523013474043,0.00581243521154816,0.2458109193135843,0.015845469973693543,0.5501247191481543,0.005515868399308643,0.005515868399308643,0.005515868399308643,0.010941227772804799,0.0070511846676771265,0.010941227772804799,0.0045755288504035945,0.005515868399308643,0.004021519689424154
13,lstm,800,50,True,50,1.1256971999999998,60.74410280000001,1.2515679599999998,57.084188600000004,1.15884747,59.9001432,0.5997103548153512,0.5997103548153512,0.5997103548153512,0.5913367124429663,0.5455514788667577,0.5913367124429663,0.6150022315090548,0.5997103548153512,0.5881729825761908,0.004649059710187587,0.14758724756473277,0.006669041327274032,0.13454402511296856,0.019690843987218952,0.7825401216780846,0.007357263265966809,0.007357263265966809,0.007357263265966809,0.008483150243107295,0.005778865708222602,0.008483150243107295,0.006666803172523554,0.007357263265966809,0.007495397296021907
14,lstm,1700,115,True,50,1.1974941899999998,58.505410000000005,1.28922225,55.7506241,1.14561506,59.88793069999999,0.5993482983345401,0.5993482983345401,0.5993482983345401,0.5866110970687518,0.5378551027728862,0.5866110970687518,0.6077494158726731,0.5993482983345401,0.5823055514424459,0.012712900398628421,0.3471033754565529,0.011869850833215078,0.36635026829750605,0.017755832617243023,0.5947980503138195,0.005880740461633039,0.005880740461633039,0.005880740461633039,0.012971589839736371,0.008373116601982726,0.012971589839736371,0.007446905338467044,0.005880740461633039,0.0066067745183737685
15,gru,400,25,True,50,0.9732624040000001,65.50028549999999,1.23249243,58.3061501,1.1311844,60.573274100000006,0.6059377262853005,0.6059377262853005,0.6059377262853005,0.5965576402912606,0.5483842233909477,0.5965576402912606,0.614678712530329,0.6059377262853005,0.5907097909616391,0.002964678346938236,0.12226218077489966,0.007468094665240934,0.19959550740348828,0.028413538975714425,0.6212001437056214,0.006292333778107792,0.006292333778107792,0.006292333778107792,0.018648434064995514,0.007375334983688675,0.018648434064995514,0.010703102989586263,0.006292333778107792,0.0068889653650660385
16,gru,800,50,True,50,0.950533732,66.2240624,1.2333389699999997,58.587316400000006,1.12436485,60.678160000000005,0.6069152787834902,0.6069152787834902,0.6069152787834902,0.5934224175215812,0.556566048603633,0.5934224175215812,0.6156492602819827,0.6069152787834902,0.592900235000488,0.0036273049095400973,0.15929867452555677,0.01080013131227271,0.31405374868367125,0.009340387287146715,0.5202280868789918,0.0053973542807155914,0.0053973542807155914,0.0053973542807155914,0.012991407308311899,0.007913369673927811,0.012991407308311899,0.008882257851881787,0.0053973542807155914,0.006069700643506246
17,gru,1700,115,True,50,0.944683292,66.3795325,1.2446805399999998,58.449814,1.13584135,60.555315499999985,0.605756698044895,0.605756698044895,0.605756698044895,0.6030502998554771,0.5550203525861022,0.6030502998554771,0.6214936057728422,0.605756698044895,0.592518385124349,0.003128366633148312,0.11767929312542418,0.012184386911873043,0.32642961045972857,0.01663965353113195,0.5258407051488008,0.005576270587349992,0.005576270587349992,0.005576270587349992,0.010170298851204488,0.008690376368491416,0.010170298851204488,0.007170256072725245,0.005576270587349992,0.0037215078745832944
