index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.88534194,68.03875000000001,1.4313476,57.94965,1.146339,59.734195,0.5981173062997828,0.5981173062997828,0.5981173062997828,0.5884443645281551,0.5347026638239243,0.5884443645281551,0.6033267495312895,0.5981173062997828,0.5801184324334552
1,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.87767553,68.18398,1.4313183,57.383734,1.1873896000000002,59.33908,0.5941346850108616,0.5941346850108616,0.5941346850108616,0.58156405118968,0.5208874373567504,0.58156405118968,0.5954119981407806,0.5941346850108616,0.5734103199155611
2,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.869553,68.53366,1.448001,57.509285,1.1625524999999999,57.047415,0.5702389572773353,0.5702389572773353,0.5702389572773353,0.5633509604847983,0.5424985635682311,0.5633509604847983,0.5786703551105512,0.5702389572773353,0.5520261796080687
3,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.88296854,68.14065,1.4493629,57.48036999999999,1.1572343,59.231323,0.5930485155684286,0.5930485155684286,0.5930485155684286,0.5490101036655902,0.5229081834612239,0.5490101036655902,0.5815134082838912,0.5930485155684286,0.5652932110405712
4,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8851572,68.04289999999999,1.4268665,57.887787,1.1250518999999999,59.03735999999999,0.5926864590876176,0.5926864590876176,0.5926864590876176,0.5747605160800241,0.5296645955034924,0.5747605160800241,0.5952980457861855,0.5926864590876176,0.5671928730951692
5,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8838583000000001,68.18018000000001,1.4468275,57.38175999999999,1.1371589,59.84914000000001,0.5984793627805938,0.5984793627805938,0.5984793627805938,0.5809628633455091,0.5449848812622641,0.5809628633455091,0.6010801053804673,0.5984793627805938,0.5798625431538341
6,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8808636999999999,68.150514,1.4662012,57.264199999999995,1.1842799,58.908045,0.5897900072411296,0.5897900072411296,0.5897900072411296,0.5633611332512181,0.527257187854333,0.5633611332512181,0.5901954885627689,0.5897900072411296,0.5745661247881954
7,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8851879,68.18028699999999,1.4359024999999999,57.420784000000005,1.1804453000000001,59.784484000000006,0.5970311368573498,0.5970311368573498,0.5970311368573498,0.5930750001436995,0.5414817308285377,0.5930750001436995,0.6060643449869695,0.5970311368573498,0.5825681968209382
8,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.89001256,67.88799,1.4038173999999999,57.69768,1.1535052,60.8477,0.6093410572049239,0.6093410572049239,0.6093410572049239,0.5687324287803169,0.5399097108666121,0.5687324287803169,0.5994821747031462,0.6093410572049239,0.5826831304393134
9,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8782562,68.373954,1.4361416,57.777730000000005,1.1518971000000002,58.39799,0.5854453294713975,0.5854453294713975,0.5854453294713975,0.5719540291485613,0.5221691986237101,0.5719540291485613,0.591652826564509,0.5854453294713975,0.562115797908535
10,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.8808919,68.771213,1.2129382,58.497809999999994,1.1196283999999999,61.0273,0.611151339608979,0.611151339608979,0.611151339608979,0.6085473154983688,0.5558178731145536,0.6085473154983688,0.6200040521678755,0.611151339608979,0.5940523322505641
11,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.87539124,69.12053999999999,1.2160027,58.564719999999994,1.1183197,60.818963999999994,0.6082548877624909,0.6082548877624909,0.6082548877624909,0.5925187382448724,0.5492413145862943,0.5925187382448724,0.6154435745045539,0.6082548877624909,0.5947969451251579
12,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.87904984,68.97704999999999,1.2073938,58.726090000000006,1.1287806999999999,59.81321999999999,0.5981173062997828,0.5981173062997828,0.5981173062997828,0.5765611228261761,0.5443013583841988,0.5765611228261761,0.5984329992168946,0.5981173062997828,0.5820773292298248
13,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.87943244,68.944454,1.2169583000000002,58.40887,1.1417254,59.382180000000005,0.5937726285300506,0.5937726285300506,0.5937726285300506,0.5788045262956242,0.5468821996562802,0.5788045262956242,0.6018572539434741,0.5937726285300506,0.5811596487178785
14,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.87504876,69.050246,1.2099781,58.644056,1.155133,59.956896,0.5995655322230268,0.5995655322230268,0.5995655322230268,0.5943125174376912,0.548258317224212,0.5943125174376912,0.6147841797065272,0.5995655322230268,0.5877350266034719
15,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.88151795,68.80920499999999,1.219861,58.424586,1.1204903999999998,60.172415,0.6017378711078928,0.6017378711078928,0.6017378711078928,0.5872478356311718,0.5497524800763605,0.5872478356311718,0.6060248372010266,0.6017378711078928,0.5888867496614368
16,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.8794445,69.01519,1.2128927,58.78574000000001,1.1171749,61.17815999999999,0.611875452570601,0.611875452570601,0.611875452570601,0.5811609821027831,0.5517248096743604,0.5811609821027831,0.6085150735632429,0.611875452570601,0.5923109886612755
17,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.8770121999999999,68.98801,1.2273233000000001,57.957950000000004,1.1126851,60.668105000000004,0.6075307748008689,0.6075307748008689,0.6075307748008689,0.5854091411810174,0.5457010499546392,0.5854091411810174,0.6086221957818717,0.6075307748008689,0.5929295890018926
18,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.8848154,68.60213,1.2060479,58.77525,1.137584,59.777296,0.5977552498189718,0.5977552498189718,0.5977552498189718,0.5863566885837685,0.5330713599670253,0.5863566885837685,0.601673469565696,0.5977552498189718,0.5847493586490986
19,text cnn,200,40,True,300,fasttext,crawl-300d-2M,0.87866926,68.979955,1.2128489,58.598136999999994,1.1518916000000001,59.626436000000005,0.5970311368573498,0.5970311368573498,0.5970311368573498,0.5880880064662698,0.5523360356658448,0.5880880064662698,0.6157506537741528,0.5970311368573498,0.5893581846984319
20,dcnn,600,25,True,250,fasttext,crawl-300d-2M,0.93611836,67.187047,1.3115138000000002,57.4809,1.1816043999999999,59.130746,0.5912382331643736,0.5912382331643736,0.5912382331643736,0.5819799880440623,0.5299147428683118,0.5819799880440623,0.6106451499693498,0.5912382331643736,0.5778064286302459
21,dcnn,600,25,True,250,fasttext,crawl-300d-2M,0.93400097,66.90860400000001,1.3072921,57.5983,1.1700144,60.021550000000005,0.6010137581462708,0.6010137581462708,0.6010137581462708,0.5833141866573706,0.5335337259042868,0.5833141866573706,0.6029379759964942,0.6010137581462708,0.5825498144857463
22,dcnn,600,25,True,250,fasttext,crawl-300d-2M,0.94138646,66.81615,1.275175,58.072305,1.146879,59.734195,0.5981173062997828,0.5981173062997828,0.5981173062997828,0.5843554068141766,0.5239831336471947,0.5843554068141766,0.5913160118900856,0.5981173062997828,0.5715537788332624
23,dcnn,600,25,True,250,fasttext,crawl-300d-2M,0.9532255999999999,66.380984,1.3041705,57.499534,1.1994637,59.92097,0.5992034757422158,0.5992034757422158,0.5992034757422158,0.5971043058404178,0.5353443116886392,0.5971043058404178,0.6174753522475327,0.5992034757422158,0.5834984182024822
