index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
0,cnn,5,10,0.0,0.0818,0.9182,0.0,0.0818,0.9182
1,cnn,5,15,0.0,0.20314,0.79686,0.0,0.20314,0.79686
2,cnn,5,20,0.0,0.11116,0.88884,0.0,0.11116,0.88884
3,cnn,5,25,0.0,0.01254,0.98746,0.0,0.01254,0.98746
4,cnn,5,30,0.0,0.01282,0.98718,0.0,0.01282,0.98718
5,cnn,5,35,0.0,0.0732,0.9268,0.0,0.0732,0.9268
6,cnn,5,40,0.0,0.02702,0.97298,0.0,0.02702,0.97298
7,cnn,5,45,0.0,0.07662,0.92338,0.0,0.07662,0.92338
8,cnn,5,50,0.0,0.01144,0.98856,0.0,0.01144,0.98856
9,cnn,10,15,0.0,0.99998,2e-05,0.0,0.99998,2e-05
10,cnn,10,20,0.0,0.9998,0.0002,0.0,0.9998,0.0002
11,cnn,10,25,0.0,0.99124,0.00876,0.0,0.99124,0.00876
12,cnn,10,30,0.0,0.99824,0.00176,0.0,0.99824,0.00176
13,cnn,10,35,0.0,0.99998,2e-05,0.0,0.99998,2e-05
14,cnn,10,40,0.0,1.0,0.0,0.0,1.0,0.0
15,cnn,10,45,0.0,1.0,0.0,0.0,1.0,0.0
16,cnn,10,50,0.0,0.99996,4e-05,0.0,0.99996,4e-05
17,cnn,15,20,0.0,0.9998,0.0002,0.0,0.9998,0.0002
18,cnn,15,25,0.0,0.98668,0.01332,0.0,0.98668,0.01332
19,cnn,15,30,0.0,0.99244,0.00756,0.0,0.99244,0.00756
20,cnn,15,35,0.0,0.99998,2e-05,0.0,0.99998,2e-05
21,cnn,15,40,0.0,0.99988,0.00012,0.0,0.99988,0.00012
22,cnn,15,45,0.0,0.99784,0.00216,0.0,0.99784,0.00216
23,cnn,15,50,0.0,0.99936,0.00064,0.0,0.99936,0.00064
24,cnn,20,25,4e-05,0.99708,0.00288,4e-05,0.99708,0.00288
25,cnn,20,30,2e-05,0.99664,0.00334,2e-05,0.99664,0.00334
