index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.8954828000000001,67.63556,1.394833,58.106154,1.1328213,59.806037,0.5988414192614048,0.5988414192614048,0.5988414192614048,0.5704962662211996,0.5367378930773364,0.5704962662211996,0.5960781652731756,0.5988414192614048,0.5771074415203662
1,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.89823496,67.722267,1.3902434,57.83691999999999,1.1496629999999999,59.06609,0.5897900072411296,0.5897900072411296,0.5897900072411296,0.5818055894880836,0.5628855528654583,0.5818055894880836,0.5920004909445502,0.5897900072411296,0.5694777559959184
2,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.89065945,67.973524,1.3812438,57.958880000000015,1.1687557,59.66235399999999,0.5973931933381608,0.5973931933381608,0.5973931933381608,0.5645757779244246,0.5406411273428895,0.5645757779244246,0.6000618120509895,0.5973931933381608,0.5849844808438319
3,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.8928349,67.86995,1.397416,58.186054,1.143418,60.24425,0.6024619840695149,0.6024619840695149,0.6024619840695149,0.5805749794275945,0.5379896020841096,0.5805749794275945,0.6041413051589201,0.6024619840695149,0.5816927994715133
4,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.8993542999999999,67.57191999999999,1.3808719999999999,58.08386999999999,1.1848822,59.91379,0.5999275887038378,0.5999275887038378,0.5999275887038378,0.5577527156100256,0.5380551830597685,0.5577527156100256,0.5916205769738105,0.5999275887038378,0.576585211867166
5,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.9040303,67.632157,1.3777677,57.75945,1.1526113000000002,59.633619999999986,0.5963070238957278,0.5963070238957278,0.5963070238957278,0.5446368171046234,0.5402338795926184,0.5446368171046234,0.5835505679982103,0.5963070238957278,0.5719541820052743
6,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.89501536,67.83453,1.3827858,57.81270000000001,1.1269145,59.36063,0.5959449674149168,0.5959449674149168,0.5959449674149168,0.6076881727053028,0.5283998230012538,0.6076881727053028,0.6126835394777606,0.5959449674149168,0.5744160833287284
7,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.89953625,67.597836,1.382994,57.91470000000001,1.1590933,59.260059999999996,0.5941346850108616,0.5941346850108616,0.5941346850108616,0.601827896763348,0.5245753132092711,0.601827896763348,0.6050440232348244,0.5941346850108616,0.5617659724301194
8,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.89721614,67.64568,1.3914624,58.272994,1.1412868,59.98563,0.6006517016654598,0.6006517016654598,0.6006517016654598,0.5868156028764093,0.5391578367279691,0.5868156028764093,0.6012614505738201,0.6006517016654598,0.5832085857890263
9,cnn attn,600,25,True,300,fasttext,crawl-300d-2M,0.8967196,67.70656000000001,1.3924462,58.38668,1.1558843,59.87786999999999,0.5995655322230268,0.5995655322230268,0.5995655322230268,0.6159620069253917,0.5345952710663479,0.6159620069253917,0.6246908264382814,0.5995655322230268,0.5830928362827626
10,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.9050096,68.03951,1.2121948,58.506656,1.1525918,60.136489999999995,0.6013758146270818,0.6013758146270818,0.6013758146270818,0.5870753067210909,0.5357593804726096,0.5870753067210909,0.6054730342964542,0.6013758146270818,0.5830730699388177
11,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.9030382,68.2008,1.22157,58.04966700000001,1.1178988,60.09339,0.6017378711078928,0.6017378711078928,0.6017378711078928,0.5892374640167496,0.545010319968995,0.5892374640167496,0.6069828272836519,0.6017378711078928,0.5836044770246209
12,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.90607476,68.00613,1.1999604,58.702180000000006,1.1484423000000001,60.06465600000001,0.6006517016654598,0.6006517016654598,0.6006517016654598,0.5786557214453122,0.5421581777082985,0.5786557214453122,0.6027020837431536,0.6006517016654598,0.5854384948083832
13,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.89756644,68.22034000000001,1.2117133999999998,58.954333999999996,1.1542299999999999,60.42385,0.6042722664735699,0.6042722664735699,0.6042722664735699,0.5953580761054568,0.5374596038213543,0.5953580761054568,0.6171939569390487,0.6042722664735699,0.5883706246126861
14,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.89867616,68.305373,1.2080095,58.676945999999994,1.1394273000000001,59.81321999999999,0.5981173062997828,0.5981173062997828,0.5981173062997828,0.5836615120932839,0.5475260829577128,0.5836615120932839,0.608546304523621,0.5981173062997828,0.5864105421694433
15,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.9100031999999999,67.909926,1.2094851999999998,58.50957,1.1129603000000001,60.567530000000005,0.6057204923968139,0.6057204923968139,0.6057204923968139,0.5825944159845821,0.5456648148142699,0.5825944159845821,0.6102905306120866,0.6057204923968139,0.5903111870744412
16,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.9021731,68.2103,1.2312264,58.33391999999999,1.1391683000000001,60.53161,0.6053584359160029,0.6053584359160029,0.6053584359160029,0.5952668082157383,0.5437736769435895,0.5952668082157383,0.6062222364776112,0.6053584359160029,0.5860264164796984
17,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.9008779,68.206775,1.2208226,58.39486999999999,1.1314108,60.416669999999996,0.6049963794351919,0.6049963794351919,0.6049963794351919,0.5858882139963306,0.5411003655325153,0.5858882139963306,0.6036856490642344,0.6049963794351919,0.5834056956076975
18,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.8979610999999998,68.28936999999999,1.2153482,58.333062999999996,1.1287364,60.603446000000005,0.6060825488776249,0.6060825488776249,0.6060825488776249,0.5974169578420195,0.5474932726850452,0.5974169578420195,0.6161961043669668,0.6060825488776249,0.5929773009685203
19,text cnn attn,200,40,True,300,fasttext,crawl-300d-2M,0.9010945,68.10039,1.2013056999999998,59.0427,1.1376882,60.28017,0.6028240405503259,0.6028240405503259,0.6028240405503259,0.587978474941825,0.5489707583292512,0.587978474941825,0.6050399557065023,0.6028240405503259,0.5851628554637736
20,dcnn attn,600,25,True,200,fasttext,crawl-300d-2M,0.9424648000000001,66.70865,1.2993771,57.63703,1.2083883999999998,59.382180000000005,0.5937726285300506,0.5937726285300506,0.5937726285300506,0.5427541298223874,0.542948341691754,0.5427541298223874,0.5759854449144466,0.5937726285300506,0.5721906618564426
21,dcnn attn,600,25,True,200,fasttext,crawl-300d-2M,0.96413475,65.87205499999999,1.3022478000000002,57.546730000000004,1.1695455,59.33908,0.5941346850108616,0.5941346850108616,0.5941346850108616,0.5286632451251917,0.5323344388080261,0.5286632451251917,0.5787167701131034,0.5941346850108616,0.5708087487122441
22,dcnn attn,600,25,True,200,fasttext,crawl-300d-2M,0.9553143,66.36227,1.3122615,57.549180000000014,1.1753155,60.136489999999995,0.6013758146270818,0.6013758146270818,0.6013758146270818,0.5748968996729126,0.5335730213986044,0.5748968996729126,0.6021606422341486,0.6013758146270818,0.5787555441400474
23,dcnn attn,600,25,True,200,fasttext,crawl-300d-2M,0.9457162,66.64694,1.3194329,57.226580000000006,1.1509006000000002,60.06465600000001,0.6006517016654598,0.6006517016654598,0.6006517016654598,0.5840739716411114,0.5354245028398162,0.5840739716411114,0.6057023082586249,0.6006517016654598,0.5851423392023561
24,dcnn attn,600,25,True,200,fasttext,crawl-300d-2M,0.9385826999999999,66.882646,1.3378108,57.49918,1.193586,59.92097,0.5992034757422158,0.5992034757422158,0.5992034757422158,0.5764530616721714,0.535122528262343,0.5764530616721714,0.5982557693519615,0.5992034757422158,0.5780084891601687
25,dcnn attn,600,25,True,200,fasttext,crawl-300d-2M,0.95424896,66.389126,1.3042113000000002,57.72663,1.1832833,60.100573000000004,0.6010137581462708,0.6010137581462708,0.6010137581462708,0.5578021965958844,0.5308456548374872,0.5578021965958844,0.5913289890131765,0.6010137581462708,0.5794900117714885
