index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,bi gru,1200,30,True,200,0.763758779,72.42284469999998,1.49994946,58.51101759999999,1.1084098399999998,61.165228699999986,0.6119840695148443,0.6119840695148443,0.6119840695148443,0.6018307854713553,0.5618775768670943,0.6018307854713553,0.6195852578028005,0.6119840695148443,0.5958870241170052,0.0041650080115715055,0.18390554437297835,0.016591391084414826,0.4441416630498811,0.017948488664459288,0.6937152623343118,0.006678282030330417,0.006678282030330417,0.006678282030330417,0.015019173553479143,0.008249358328706834,0.015019173553479143,0.008862635699662579,0.006678282030330417,0.0060264368661177275
1,bi lstm,800,10,True,300,0.755696703,72.5857428,1.6407802400000002,57.9437551,1.1435017,59.7341952,0.5981173062997828,0.5981173062997828,0.5981173062997828,0.5934829733971061,0.5413919565891133,0.5934829733971061,0.6088436768217074,0.5981173062997828,0.583482698366965,0.0035403657317007514,0.14407826974699747,0.014730373568560036,0.16948944303633479,0.0174005891631417,0.6215740223373406,0.006101484267325359,0.006101484267325359,0.006101484267325359,0.015277229387371614,0.0041136870373341735,0.015277229387371614,0.011145222346763392,0.006101484267325359,0.005110009554513382
2,cnn attn,600,25,True,300,0.896908406,67.7189984,1.38720643,58.0318402,1.1515330400000001,59.6810331,0.597501810282404,0.597501810282404,0.597501810282404,0.5812135825046404,0.5383271482027022,0.5812135825046404,0.6011132758124342,0.597501810282404,0.5764285349534707,0.0037528997229910833,0.13219261232694507,0.006825163137496731,0.20958576232060647,0.017050833192949175,0.3619649287997243,0.003668719906091821,0.003668719906091821,0.003668719906091821,0.02271905037364524,0.010094556837103188,0.02271905037364524,0.011654633731898716,0.003668719906091821,0.0072965594482132514
3,dcnn attn,600,25,True,200,0.947445943,66.59132890000002,1.3182031799999998,57.472842,1.1809991800000001,59.96048680000001,0.5996017378711078,0.5996017378711078,0.5996017378711078,0.5656498593449941,0.5389232756741756,0.5656498593449941,0.59578186591232,0.5996017378711078,0.5804538692406096,0.007942144909955689,0.31158014825061603,0.014027507787423262,0.23299209949218797,0.01843906344396764,0.34564703221118287,0.00320419417318112,0.00320419417318112,0.00320419417318112,0.017817640292172858,0.007127807433894034,0.017817640292172858,0.010646600933374935,0.00320419417318112,0.0055996440068539445
4,deep gru 2lyr,1200,30,True,200,0.927773491,67.06685599999999,1.3349407699999998,57.9557842,1.1682037099999998,60.03735569999999,0.6006154960173787,0.6006154960173787,0.6006154960173787,0.5834530168682784,0.5440293494060466,0.5834530168682784,0.6058751848976403,0.6006154960173787,0.5851944261656299,0.005991000709216449,0.1910313785952441,0.012116707266969992,0.35367645630616984,0.015770975931293726,0.6398003990346519,0.006477675121882068,0.006477675121882068,0.006477675121882068,0.010832418772231378,0.006066113818305769,0.010832418772231378,0.005237462926847267,0.006477675121882068,0.004908244712324978
5,deep gru 3lyr,1200,30,True,200,0.928502819,66.9864843,1.36160145,57.4825125,1.18101207,59.17241359999999,0.5922157856625633,0.5922157856625633,0.5922157856625633,0.582710927085363,0.5410718081051968,0.582710927085363,0.6052112506414649,0.5922157856625633,0.5802072598830756,0.0060617968301897645,0.18087789884157704,0.014694963191458974,0.28473342535480173,0.029356614908589606,1.0097976857898259,0.009436725881934298,0.009436725881934298,0.009436725881934298,0.013438486897249417,0.012810590652308551,0.013438486897249417,0.007301508674540853,0.009436725881934298,0.009363455890218197
6,deep lstm 2lyr,800,10,True,300,0.846752373,69.5362212,1.44880765,58.3202807,1.1512626799999999,59.93965320000001,0.6001086169442432,0.6001086169442432,0.6001086169442432,0.5939501028474985,0.5452250380574254,0.5939501028474985,0.608230766984765,0.6001086169442432,0.5837320748020638,0.0036495400638194607,0.12417151117511517,0.014087842601118469,0.16739435695058547,0.01680228625235926,0.6788378982674578,0.006461465712373192,0.006461465712373192,0.006461465712373192,0.014883407754337623,0.010158510573351428,0.014883407754337623,0.010831924920625974,0.006461465712373192,0.007952590734470884
7,deep lstm 3lyr,800,10,True,300,0.8883991689999998,68.25718739999999,1.42402409,58.09775299999999,1.1519911999999999,60.015805,0.6007965242577842,0.6007965242577842,0.6007965242577842,0.5942808287004032,0.5455624737653508,0.5942808287004032,0.6103047536229299,0.6007965242577842,0.5859235669945362,0.004021167263432209,0.12403260120289228,0.012604254333222365,0.23772956043182739,0.01725038632082715,0.7004214878894953,0.006459098441470398,0.006459098441470398,0.006459098441470398,0.010535513606249847,0.011097481721341866,0.010535513606249847,0.008123662181951203,0.006459098441470398,0.005815091974399891
8,gru attn,1200,30,True,200,0.872646259,68.90546029999999,1.3747888399999997,58.43295880000001,1.1314279900000002,60.59123530000001,0.6065170166545981,0.6065170166545981,0.6065170166545981,0.5951171221409307,0.552349943394566,0.5951171221409307,0.6127510287403024,0.6065170166545981,0.5921404443569183,0.00321764581802854,0.15542041355773314,0.00942524643829895,0.14655849884739083,0.013536095472841899,0.47302476810606037,0.004841880344917144,0.004841880344917144,0.004841880344917144,0.015755829861736244,0.006206234418371402,0.015755829861736244,0.01013846715615344,0.004841880344917144,0.00405450347841847
9,gru crf,1200,30,True,200,-3.4175192,65.4573896,-3.18298134,57.3454375,-7.295715970000001,56.8944445,0.46799420709630696,0.46799420709630696,0.46799420709630696,0.4198678680300384,0.4042782406312561,0.4198678680300384,0.4393387379834303,0.46799420709630696,0.43618522985282365,0.06773902190674311,0.36692996461880084,0.06461208977079551,0.514807474087641,0.06517678737937009,0.888762024043466,0.00352352041053923,0.00352352041053923,0.00352352041053923,0.011675773064178895,0.009760677961563472,0.011675773064178895,0.009765300952443188,0.00352352041053923,0.008324841235256125
