index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
0,cnn,100,200,0.0,0.00212,0.99788,0.0,0.00212,0.99788
1,cnn,100,300,0.0,0.00014,0.99986,0.0,0.00014,0.99986
2,cnn,100,400,0.0,0.00218,0.99782,0.0,0.00218,0.99782
3,cnn,100,500,0.0,0.00018,0.99982,0.0,0.00018,0.99982
4,cnn,100,600,0.0,0.00028,0.99972,0.0,0.00028,0.99972
5,cnn,100,700,0.0,0.00038,0.99962,0.0,0.00038,0.99962
6,cnn,100,800,0.0,0.00194,0.99806,0.0,0.00194,0.99806
7,cnn,100,900,0.0,0.0005,0.9995,0.0,0.0005,0.9995
8,cnn,100,1000,0.0,0.00066,0.99934,0.0,0.00066,0.99934
9,cnn,100,1100,0.0,0.02198,0.97802,0.0,0.02198,0.97802
10,cnn,100,1200,0.0,0.03756,0.96244,0.0,0.03756,0.96244
11,cnn,100,1300,0.0,0.00292,0.99708,0.0,0.00292,0.99708
12,cnn,100,1400,0.0,0.00104,0.99896,0.0,0.00104,0.99896
13,cnn,100,1500,0.0,0.0087,0.9913,0.0,0.0087,0.9913
14,cnn,100,1600,0.0,0.0131,0.9869,0.0,0.0131,0.9869
15,cnn,200,300,0.0,0.99902,0.00098,0.0,0.99902,0.00098
16,cnn,200,400,2e-05,0.99996,2e-05,2e-05,0.99996,2e-05
17,cnn,200,500,0.0,0.98406,0.01594,0.0,0.98406,0.01594
18,cnn,200,600,0.0,0.99976,0.00024,0.0,0.99976,0.00024
19,cnn,200,700,0.0,0.99998,2e-05,0.0,0.99998,2e-05
20,cnn,200,800,0.0,0.99994,6e-05,0.0,0.99994,6e-05
21,cnn,200,900,0.0,0.9997,0.0003,0.0,0.9997,0.0003
22,cnn,200,1000,0.0,1.0,0.0,0.0,1.0,0.0
23,cnn,200,1100,0.00024,0.99972,4e-05,0.00024,0.99972,4e-05
24,cnn,200,1200,0.0,1.0,0.0,0.0,1.0,0.0
25,cnn,200,1300,2e-05,0.99998,0.0,2e-05,0.99998,0.0
26,cnn,200,1400,0.0,1.0,0.0,0.0,1.0,0.0
27,cnn,200,1500,0.0,1.0,0.0,0.0,1.0,0.0
28,cnn,200,1600,0.0,1.0,0.0,0.0,1.0,0.0
29,cnn,300,400,0.00336,0.99664,0.0,0.00336,0.99664,0.0
30,cnn,300,500,0.0,1.0,0.0,0.0,1.0,0.0
31,cnn,300,600,0.0,1.0,0.0,0.0,1.0,0.0
32,cnn,300,700,0.0,1.0,0.0,0.0,1.0,0.0
