index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,100,115,True,50,glove,glove.6B.50d,1.1270466000000001,60.54480999999999,1.2714653999999999,56.361000000000004,1.1739583999999998,58.54166999999999,0.5868935553946416,0.5868935553946416,0.5868935553946416,0.5511192143039737,0.5193705869226345,0.5511192143039737,0.5898198472050663,0.5868935553946416,0.5669427390028021
1,cnn,100,115,True,50,glove,glove.6B.50d,1.1201828,60.838926,1.282125,56.58517,1.2244051999999999,58.22556999999999,0.5829109341057205,0.5829109341057205,0.5829109341057205,0.5658163413732269,0.5151307751311437,0.5658163413732269,0.5921178407543841,0.5829109341057205,0.5641766379927706
2,cnn,100,115,True,50,glove,glove.6B.50d,1.1216141000000002,60.747796,1.2750885,56.299835,1.1972227,58.65661,0.5872556118754526,0.5872556118754526,0.5872556118754526,0.5458197433504982,0.5201540603401863,0.5458197433504982,0.5865653950519123,0.5872556118754526,0.5654794446982905
3,cnn,100,115,True,50,glove,glove.6B.50d,1.1169763000000001,60.94421,1.271855,56.932205,1.1859381000000002,58.477014000000004,0.5854453294713975,0.5854453294713975,0.5854453294713975,0.5573725666942345,0.5210713195141268,0.5573725666942345,0.5883194008038337,0.5854453294713975,0.560678687088626
4,cnn,100,115,True,50,glove,glove.6B.50d,1.1307206,60.512364,1.2740167,56.82792,1.181929,58.82903,0.5897900072411296,0.5897900072411296,0.5897900072411296,0.5836422842563819,0.5165888452807367,0.5836422842563819,0.6015268583241673,0.5897900072411296,0.5683216622460802
5,cnn,100,115,True,50,glove,glove.6B.50d,1.1211805000000001,60.85676599999999,1.2952784,56.467557,1.2021358999999998,58.261496,0.5832729905865315,0.5832729905865315,0.5832729905865315,0.5711373561192696,0.4988172016911034,0.5711373561192696,0.5918309491978271,0.5832729905865315,0.561577405531162
6,cnn,100,115,True,50,glove,glove.6B.50d,1.1216761,60.828669999999995,1.2769705,56.55125399999999,1.1893103,57.830459999999995,0.5789283128167995,0.5789283128167995,0.5789283128167995,0.5361853860988465,0.5013387489043316,0.5361853860988465,0.5719444818560621,0.5789283128167995,0.5554197446851986
7,cnn,100,115,True,50,glove,glove.6B.50d,1.1163322,60.89591,1.2804067,56.44501,1.222459,57.24855999999999,0.5738595220854453,0.5738595220854453,0.5738595220854453,0.5670956784794544,0.4942668586741176,0.5670956784794544,0.5853638692784565,0.5738595220854453,0.5542300607104266
8,cnn,100,115,True,50,glove,glove.6B.50d,1.1163813999999999,60.83185999999999,1.2730304,56.46999,1.218119,57.64368000000001,0.5778421433743663,0.5778421433743663,0.5778421433743663,0.5502596327701358,0.5015475648335012,0.5502596327701358,0.5789573437858835,0.5778421433743663,0.5523200634859022
9,cnn,100,115,True,50,glove,glove.6B.50d,1.1163343000000001,60.943400000000004,1.2832757,56.78423,1.2097621,57.9023,0.5796524257784215,0.5796524257784215,0.5796524257784215,0.5626505992496676,0.5057075546206584,0.5626505992496676,0.5841807899658585,0.5796524257784215,0.5582466291707067
10,cnn,200,115,True,50,glove,glove.6B.50d,1.0654335,62.416404,1.2538649,57.600410000000004,1.1520567,59.15948000000001,0.5923244026068066,0.5923244026068066,0.5923244026068066,0.5871109515588024,0.5242044062561549,0.5871109515588024,0.5989113100971739,0.5923244026068066,0.5709260400958593
11,cnn,200,115,True,50,glove,glove.6B.50d,1.0639555,62.576056,1.2529267,57.62602,1.1732167,59.202580000000005,0.5919623461259956,0.5919623461259956,0.5919623461259956,0.5643133290495479,0.5226613015514789,0.5643133290495479,0.5836044200354699,0.5919623461259956,0.5655947973449215
12,cnn,200,115,True,50,glove,glove.6B.50d,1.0596478999999999,62.828857000000006,1.2592510000000001,57.52988,1.1730341999999998,60.09339,0.6017378711078928,0.6017378711078928,0.6017378711078928,0.5940276831695933,0.5419369353502675,0.5940276831695933,0.6016047028964453,0.6017378711078928,0.5808843078403808
13,cnn,200,115,True,50,glove,glove.6B.50d,1.0630468000000002,62.67991999999999,1.2662235000000002,57.324909999999996,1.2041643999999998,59.59051999999999,0.5966690803765388,0.5966690803765388,0.5966690803765388,0.5717103477520361,0.5323080695295116,0.5717103477520361,0.5920590834157429,0.5966690803765388,0.5730380713324794
14,cnn,200,115,True,50,glove,glove.6B.50d,1.0668651000000002,62.389886000000004,1.2685024999999999,57.15279000000001,1.1869165000000002,58.21121,0.5843591600289645,0.5843591600289645,0.5843591600289645,0.5847800981010616,0.5137946428955321,0.5847800981010616,0.5995087542287276,0.5843591600289645,0.5563813218586049
15,cnn,200,115,True,50,glove,glove.6B.50d,1.0616326,62.65550999999999,1.2462026000000002,57.805704999999996,1.1951067,58.800286,0.5887038377986966,0.5887038377986966,0.5887038377986966,0.5768492703350816,0.5272450658322468,0.5768492703350816,0.5941308531366501,0.5887038377986966,0.5640913206623891
16,cnn,200,115,True,50,glove,glove.6B.50d,1.0659353,62.43785,1.2686853,57.52663,1.1866443000000002,59.41092,0.5948587979724838,0.5948587979724838,0.5948587979724838,0.5634172983091404,0.5320169006135145,0.5634172983091404,0.5940399700868494,0.5948587979724838,0.5749962279335323
