'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_glove_100_1,cnn,1700,115,True,100,glove,glove.840B.300d,0.92858887,0.66895825,1.3469638,0.57488024,1.1448331,0.5956178,0.5955829109341058,0.5955829109341058,0.5955829109341058,0.5703615793526586,0.5390151391390757,0.5703615793526586,0.5961786546233071,0.5955829109341058,0.5824977266761898
cnn_glove_100_2,cnn,1700,115,True,100,glove,glove.840B.300d,0.9348857,0.6687954,1.3177029,0.5780085,1.1590627,0.59058905,0.5905141202027516,0.5905141202027516,0.5905141202027516,0.6056575221687889,0.5407055409282012,0.6056575221687889,0.6141936085909532,0.5905141202027516,0.5788709374899312
cnn_glove_100_3,cnn,1700,115,True,100,glove,glove.840B.300d,0.9327932,0.6677255,1.3523289,0.5762013,1.1785189,0.58254313,0.5839971035481535,0.5839971035481535,0.5839971035481535,0.5714253677881383,0.5267807653739359,0.5714253677881383,0.5990400820907348,0.5839971035481535,0.5643854446476468
cnn_glove_100_4,cnn,1700,115,True,100,glove,glove.840B.300d,0.93152314,0.6688396,1.3575897,0.5628019,1.1878433,0.5952586,0.5952208544532948,0.5952208544532948,0.5952208544532948,0.5722617098898342,0.5368636752669304,0.5722617098898342,0.58957138820509,0.5952208544532948,0.5714845033370362
cnn_glove_100_5,cnn,1700,115,True,100,glove,glove.840B.300d,0.93251544,0.66801393,1.3714315,0.5714979,1.1659228,0.5788793,0.5811006517016655,0.5811006517016655,0.5811006517016655,0.5643232056398004,0.5138185409806141,0.5643232056398004,0.5864809423688789,0.5811006517016655,0.5590692218324527
cnn_glove_100_6,cnn,1700,115,True,100,glove,glove.840B.300d,0.9319065,0.66864884,1.347838,0.5754002,1.1616515,0.58951145,0.5894279507603186,0.5894279507603186,0.5894279507603186,0.5246867058985415,0.534274607792924,0.5246867058985415,0.5748183979996456,0.5894279507603186,0.5723141006080883
cnn_glove_100_7,cnn,1700,115,True,100,glove,glove.840B.300d,0.9319181,0.66917604,1.3271251,0.57812923,1.1661977,0.59777296,0.5977552498189718,0.5977552498189718,0.5977552498189718,0.5829720037189156,0.5437904553397666,0.5829720037189156,0.6143827556889843,0.5977552498189718,0.5800828264570037
cnn_glove_100_8,cnn,1700,115,True,100,glove,glove.840B.300d,0.9226778,0.6711551,1.3483883,0.5754918,1.2092091,0.5931034,0.5930485155684286,0.5930485155684286,0.5930485155684286,0.5783268004326848,0.5321914736015274,0.5783268004326848,0.6005360580793037,0.5930485155684286,0.5736719094355919
cnn_glove_100_9,cnn,1700,115,True,100,glove,glove.840B.300d,0.9351962,0.66763866,1.3503138,0.577026,1.175395,0.594181,0.5941346850108616,0.5941346850108616,0.5941346850108616,0.5846720813767006,0.542045026824583,0.5846720813767006,0.5952894994287213,0.5941346850108616,0.5715620646006679
cnn_glove_100_10,cnn,1700,115,True,100,glove,glove.840B.300d,0.92692816,0.6701517,1.3662311,0.57525367,1.1392698,0.6012931,0.6020999275887038,0.6020999275887038,0.6020999275887038,0.5639895104108047,0.526645345299387,0.5639895104108047,0.5913343028340888,0.6020999275887038,0.5719320024210552
text_cnn_glove_100_1,text_cnn,1700,115,True,100,glove,glove.840B.300d,1.0432011,0.63329625,1.2120572,0.57549435,1.1107906,0.6014368,0.6006517016654598,0.6006517016654598,0.6006517016654598,0.5891304406750185,0.5485973521704031,0.5891304406750185,0.5968047359043507,0.6006517016654598,0.5801999837060258
text_cnn_glove_100_2,text_cnn,1700,115,True,100,glove,glove.840B.300d,1.045578,0.63280576,1.2103919,0.5819151,1.1447977,0.59770113,0.5984793627805938,0.5984793627805938,0.5984793627805938,0.593154818473328,0.5382309493130576,0.593154818473328,0.6048492989714367,0.5984793627805938,0.577848978094067
text_cnn_glove_100_3,text_cnn,1700,115,True,100,glove,glove.840B.300d,1.0416802,0.6351234,1.2079085,0.5828042,1.1246117,0.6034483,0.6042722664735699,0.6042722664735699,0.6042722664735699,0.5941162925667498,0.5310017166287592,0.5941162925667498,0.6060352017028705,0.6042722664735699,0.5797776982129141
text_cnn_glove_100_4,text_cnn,1700,115,True,100,glove,glove.840B.300d,1.0442876,0.6332827,1.2122066,0.5746044,1.1486455,0.59015805,0.5908761766835626,0.5908761766835626,0.5908761766835626,0.5825230347441698,0.5387976335277997,0.5825230347441698,0.6082227885182421,0.5908761766835626,0.5864138109910998
text_cnn_glove_100_5,text_cnn,1700,115,True,100,glove,glove.840B.300d,1.0385084,0.6349273,1.2166879,0.5764997,1.1141863,0.6016523,0.6024619840695149,0.6024619840695149,0.6024619840695149,0.5735153697508018,0.5409328299412007,0.5735153697508018,0.5950924291256519,0.6024619840695149,0.578832556633599
text_cnn_glove_100_6,text_cnn,1700,115,True,100,glove,glove.840B.300d,1.0514014,0.6326083,1.2200364,0.5754896,1.0995332,0.6045977,0.6046343229543809,0.6046343229543809,0.6046343229543809,0.5892346990981171,0.5461005524499957,0.5892346990981171,0.6078052614014914,0.6046343229543809,0.5865461396814262
text_cnn_glove_100_7,text_cnn,1700,115,True,100,glove,glove.840B.300d,1.0453718,0.63225484,1.2167647,0.57751447,1.1216357,0.5956178,0.5955829109341058,0.5955829109341058,0.5955829109341058,0.5787653732318251,0.5404120206192516,0.5787653732318251,0.6013708472053025,0.5955829109341058,0.5830304611971134
text_cnn_glove_100_8,text_cnn,1700,115,True,100,glove,glove.840B.300d,1.0490404,0.632307,1.2208023,0.57780737,1.1282496,0.6028017,0.6028240405503259,0.6028240405503259,0.6028240405503259,0.5949349067770436,0.5512435401642856,0.5949349067770436,0.618209960389361,0.6028240405503259,0.5921214131307042
text_cnn_glove_100_9,text_cnn,1700,115,True,100,glove,glove.840B.300d,1.0506064,0.63062036,1.2060966,0.5816331,1.1244982,0.6073994,0.6082548877624909,0.6082548877624909,0.6082548877624909,0.5931808880150936,0.5497612418883132,0.5931808880150936,0.6153525205218784,0.6082548877624909,0.5917171697011435
