'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_seq=115_voc=1.7k_1,cnn,1700,115,True,50,glove,glove.6B.50d,0.9918014,0.6480792,1.3068476,0.5702637,1.183651,0.5928161,0.5919623461259956,0.5919623461259956,0.5919623461259956,0.5569699964501622,0.5488777941471318,0.5569699964501622,0.5965699838020047,0.5919623461259956,0.5746534207908244
cnn_seq=115_voc=1.7k_2,cnn,1700,115,True,50,glove,glove.6B.50d,0.9863568,0.6492883,1.3025578,0.57354105,1.1718678,0.59619254,0.5977552498189718,0.5977552498189718,0.5977552498189718,0.5704328280922281,0.5418910111138618,0.5704328280922281,0.5957101191594096,0.5977552498189718,0.5794912064441412
cnn_seq=115_voc=1.7k_3,cnn,1700,115,True,50,glove,glove.6B.50d,0.983578,0.64878833,1.2823704,0.5759073,1.1944119,0.5938218,0.5937726285300506,0.5937726285300506,0.5937726285300506,0.5703950638225757,0.5262888779568375,0.5703950638225757,0.5885478562339648,0.5937726285300506,0.5719237010777437
cnn_seq=115_voc=1.7k_4,cnn,1700,115,True,50,glove,glove.6B.50d,0.9853704,0.6502564,1.3133645,0.575278,1.1838391,0.58692527,0.5876176683562636,0.5876176683562636,0.5876176683562636,0.571642341685303,0.519278314728946,0.571642341685303,0.5980376187123101,0.5876176683562636,0.5646199949487468
cnn_seq=115_voc=1.7k_5,cnn,1700,115,True,50,glove,glove.6B.50d,0.98602724,0.65125173,1.30009,0.57385,1.196705,0.59841955,0.5992034757422158,0.5992034757422158,0.5992034757422158,0.5645853534171831,0.5360638744629652,0.5645853534171831,0.5953935530057061,0.5992034757422158,0.5771020759889147
cnn_seq=115_voc=1.7k_6,cnn,1700,115,True,50,glove,glove.6B.50d,0.98554,0.64887166,1.3059727,0.57442564,1.1569289,0.59015805,0.5908761766835626,0.5908761766835626,0.5908761766835626,0.5560016903455488,0.5276309981036252,0.5560016903455488,0.5873861652655182,0.5908761766835626,0.5712926848550032
cnn_seq=115_voc=1.7k_7,cnn,1700,115,True,50,glove,glove.6B.50d,0.983299,0.6522756,1.3088129,0.57380736,1.1683544,0.59015805,0.5908761766835626,0.5908761766835626,0.5908761766835626,0.607983754961035,0.5251150886185363,0.607983754961035,0.6173857217743483,0.5908761766835626,0.5732342395451152
cnn_seq=115_voc=1.7k_8,cnn,1700,115,True,50,glove,glove.6B.50d,0.98801136,0.6500325,1.2840714,0.5805143,1.1754663,0.59806037,0.5988414192614048,0.5988414192614048,0.5988414192614048,0.5679233388610972,0.5414835163872734,0.5679233388610972,0.590668181348763,0.5988414192614048,0.5762491694514797
cnn_seq=115_voc=1.7k_9,cnn,1700,115,True,50,glove,glove.6B.50d,0.98759425,0.6490448,1.3037801,0.5736581,1.1710074,0.59885055,0.5988414192614048,0.5988414192614048,0.5988414192614048,0.6060170443781678,0.53995790546301,0.6060170443781678,0.6084005048302299,0.5988414192614048,0.5808183804234097
cnn_seq=115_voc=1.7k_10,cnn,1700,115,True,50,glove,glove.6B.50d,0.9945317,0.6481139,1.3031241,0.5714411,1.1779993,0.58318967,0.5854453294713975,0.5854453294713975,0.5854453294713975,0.5932433705748688,0.5212842871150293,0.5932433705748688,0.6084113830012716,0.5854453294713975,0.5662101676898239
text_cnn_seq=115_voc=1.7k_1,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.1527563,0.59854406,1.2577416,0.564497,1.1515044,0.58369255,0.5843591600289645,0.5843591600289645,0.5843591600289645,0.5704182937291702,0.5217041720920339,0.5704182937291702,0.5987498728818054,0.5843591600289645,0.5701183671046248
text_cnn_seq=115_voc=1.7k_2,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.1631122,0.5975643,1.2612163,0.56228477,1.1470567,0.5909483,0.5908761766835626,0.5908761766835626,0.5908761766835626,0.5562162646372077,0.5313132171584218,0.5562162646372077,0.596567471314261,0.5908761766835626,0.5744180195816612
text_cnn_seq=115_voc=1.7k_3,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.1383413,0.60237056,1.2698396,0.5608219,1.1407272,0.5938218,0.5937726285300506,0.5937726285300506,0.5937726285300506,0.555576382041195,0.5347049555995385,0.555576382041195,0.6005754320749578,0.5937726285300506,0.5772468302469378
text_cnn_seq=115_voc=1.7k_4,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.1384224,0.60299265,1.2679515,0.56282395,1.136433,0.58943963,0.5901520637219406,0.5901520637219406,0.5901520637219406,0.572938362575577,0.5247199059817064,0.572938362575577,0.590737392997485,0.5901520637219406,0.5663348341517308
text_cnn_seq=115_voc=1.7k_5,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.1331967,0.6062175,1.2555536,0.56890583,1.1408395,0.59454024,0.5944967414916728,0.5944967414916728,0.5944967414916728,0.5697305055526912,0.5218345770165734,0.5697305055526912,0.5916078132901876,0.5944967414916728,0.5696780822002779
text_cnn_seq=115_voc=1.7k_6,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.1397518,0.60138065,1.2526821,0.5654352,1.1650153,0.5851293,0.5858073859522085,0.5858073859522085,0.5858073859522085,0.5668494941410511,0.5121472386769435,0.5668494941410511,0.5781788323244795,0.5858073859522085,0.5569894601981379
text_cnn_seq=115_voc=1.7k_7,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.1479524,0.6012429,1.264408,0.5602809,1.1388948,0.5866379,0.5865314989138306,0.5865314989138306,0.5865314989138306,0.5716250102191498,0.5210896858365052,0.5716250102191498,0.5967907630343791,0.5865314989138306,0.5713181361052414
text_cnn_seq=115_voc=1.7k_8,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.141882,0.60231423,1.2530833,0.5641887,1.13787,0.5963362,0.5963070238957278,0.5963070238957278,0.5963070238957278,0.5739838352577044,0.5234552702357556,0.5739838352577044,0.5921626398296408,0.5963070238957278,0.5748771499652224
text_cnn_seq=115_voc=1.7k_9,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.1443233,0.60160726,1.2715601,0.559623,1.1442262,0.59518677,0.5959449674149168,0.5959449674149168,0.5959449674149168,0.5547236785605473,0.5239728022648006,0.5547236785605473,0.5805920843975727,0.5959449674149168,0.5684629584342363
text_cnn_seq=115_voc=1.7k_10,text_cnn,1700,115,True,50,glove,glove.6B.50d,1.1354631,0.6046163,1.2628825,0.56402737,1.1455162,0.5915948,0.5923244026068066,0.5923244026068066,0.5923244026068066,0.5768895080624169,0.5080982726222129,0.5768895080624169,0.588967727731067,0.5923244026068066,0.5642721512712393
dcnn_seq=115_voc=1.7k_1,dcnn,1700,115,True,50,glove,glove.6B.50d,1.1946983,0.5857793,1.2941298,0.5561287,1.1723473,0.5862069,0.5868935553946416,0.5868935553946416,0.5868935553946416,0.5852075665252481,0.508266237186878,0.5852075665252481,0.6055861618882727,0.5868935553946416,0.5671871362653618
dcnn_seq=115_voc=1.7k_2,dcnn,1700,115,True,50,glove,glove.6B.50d,1.1765149,0.5922323,1.2819328,0.5606978,1.1566974,0.5926724,0.5934105720492396,0.5934105720492396,0.5934105720492396,0.5654262102126325,0.5223798762667978,0.5654262102126325,0.5895469520876697,0.5934105720492396,0.5717206817328552
dcnn_seq=115_voc=1.7k_3,dcnn,1700,115,True,50,glove,glove.6B.50d,1.1927247,0.5884776,1.29992,0.55572087,1.1487536,0.59518677,0.5959449674149168,0.5959449674149168,0.5959449674149168,0.5783709369258275,0.5178119923050284,0.5783709369258275,0.6037051730951715,0.5959449674149168,0.5760726186591767
dcnn_seq=115_voc=1.7k_4,dcnn,1700,115,True,50,glove,glove.6B.50d,1.178795,0.59111696,1.2854841,0.56045246,1.1596718,0.58908045,0.5897900072411296,0.5897900072411296,0.5897900072411296,0.5481017231200886,0.5258478392650022,0.5481017231200886,0.5854564298894408,0.5897900072411296,0.5688778382139777
dcnn_seq=115_voc=1.7k_5,dcnn,1700,115,True,50,glove,glove.6B.50d,1.1925609,0.58550805,1.2825235,0.5535565,1.1699104,0.59058905,0.5905141202027516,0.5905141202027516,0.5905141202027516,0.5770881456169432,0.5098931735093747,0.5770881456169432,0.5998565784269498,0.5905141202027516,0.5716701468487436
dcnn_seq=115_voc=1.7k_6,dcnn,1700,115,True,50,glove,glove.6B.50d,1.1761315,0.5908218,1.2792082,0.55959964,1.1985443,0.5804598,0.5811006517016655,0.5811006517016655,0.5811006517016655,0.5339281819682259,0.5129116179869287,0.5339281819682259,0.5760494503814539,0.5811006517016655,0.5566657174273155
dcnn_seq=115_voc=1.7k_7,dcnn,1700,115,True,50,glove,glove.6B.50d,1.1775225,0.59169084,1.2824235,0.55593747,1.1544086,0.59375,0.5944967414916728,0.5944967414916728,0.5944967414916728,0.5580436960534464,0.5186137594991841,0.5580436960534464,0.5830357755775565,0.5944967414916728,0.5680068871248659
dcnn_seq=115_voc=1.7k_8,dcnn,1700,115,True,50,glove,glove.6B.50d,1.1659145,0.5935662,1.2782723,0.5596259,1.1820266,0.58908045,0.5897900072411296,0.5897900072411296,0.5897900072411296,0.5681051141352726,0.5251818061692938,0.5681051141352726,0.5971382659251749,0.5897900072411296,0.5709576786383137
dcnn_seq=115_voc=1.7k_9,dcnn,1700,115,True,50,glove,glove.6B.50d,1.1863761,0.5871099,1.2978991,0.55464184,1.1824608,0.5785201,0.5807385952208545,0.5807385952208545,0.5807385952208545,0.5658797266733381,0.48733081309189,0.5658797266733381,0.5865945784459753,0.5807385952208545,0.5545123101724763
dcnn_seq=115_voc=1.7k_10,dcnn,1700,115,True,50,glove,glove.6B.50d,1.1711419,0.5920375,1.2810929,0.5612732,1.1777471,0.5900862,0.5916002896451846,0.5916002896451846,0.5916002896451846,0.575118709308991,0.5402074757868218,0.575118709308991,0.596000245331181,0.5916002896451846,0.5764057481537377
