'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_final_1,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.88534194,0.6803875,1.4313476,0.5794965,1.146339,0.59734195,0.5981173062997828,0.5981173062997828,0.5981173062997828,0.5884443645281551,0.5347026638239243,0.5884443645281551,0.6033267495312895,0.5981173062997828,0.5801184324334552
cnn_final_2,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.87767553,0.6818398,1.4313183,0.57383734,1.1873896,0.5933908,0.5941346850108616,0.5941346850108616,0.5941346850108616,0.58156405118968,0.5208874373567504,0.58156405118968,0.5954119981407806,0.5941346850108616,0.5734103199155611
cnn_final_3,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.869553,0.6853366,1.448001,0.57509285,1.1625525,0.57047415,0.5702389572773353,0.5702389572773353,0.5702389572773353,0.5633509604847983,0.5424985635682311,0.5633509604847983,0.5786703551105512,0.5702389572773353,0.5520261796080687
cnn_final_4,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.88296854,0.6814065,1.4493629,0.5748037,1.1572343,0.59231323,0.5930485155684286,0.5930485155684286,0.5930485155684286,0.5490101036655902,0.5229081834612239,0.5490101036655902,0.5815134082838912,0.5930485155684286,0.5652932110405712
cnn_final_5,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8851572,0.680429,1.4268665,0.57887787,1.1250519,0.5903736,0.5926864590876176,0.5926864590876176,0.5926864590876176,0.5747605160800241,0.5296645955034924,0.5747605160800241,0.5952980457861855,0.5926864590876176,0.5671928730951692
cnn_final_6,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8838583,0.6818018,1.4468275,0.5738176,1.1371589,0.5984914,0.5984793627805938,0.5984793627805938,0.5984793627805938,0.5809628633455091,0.5449848812622641,0.5809628633455091,0.6010801053804673,0.5984793627805938,0.5798625431538341
cnn_final_7,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8808637,0.68150514,1.4662012,0.572642,1.1842799,0.58908045,0.5897900072411296,0.5897900072411296,0.5897900072411296,0.563361133251218,0.527257187854333,0.563361133251218,0.5901954885627689,0.5897900072411296,0.5745661247881954
cnn_final_8,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8851879,0.68180287,1.4359025,0.57420784,1.1804453,0.59784484,0.5970311368573498,0.5970311368573498,0.5970311368573498,0.5930750001436995,0.5414817308285377,0.5930750001436995,0.6060643449869695,0.5970311368573498,0.5825681968209382
cnn_final_9,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.89001256,0.6788799,1.4038174,0.5769768,1.1535052,0.608477,0.6093410572049239,0.6093410572049239,0.6093410572049239,0.5687324287803169,0.5399097108666121,0.5687324287803169,0.5994821747031462,0.6093410572049239,0.5826831304393134
cnn_final_10,cnn,600,25,True,300,fasttext,crawl-300d-2M,0.8782562,0.68373954,1.4361416,0.5777773,1.1518971,0.5839799,0.5854453294713975,0.5854453294713975,0.5854453294713975,0.5719540291485613,0.5221691986237101,0.5719540291485613,0.591652826564509,0.5854453294713975,0.562115797908535
text_cnn_final_1,text_cnn,200,40,True,300,fasttext,crawl-300d-2M,0.8848154,0.6860213,1.2060479,0.5877525,1.137584,0.59777296,0.5977552498189718,0.5977552498189718,0.5977552498189718,0.5863566885837685,0.5330713599670253,0.5863566885837685,0.601673469565696,0.5977552498189718,0.5847493586490986
text_cnn_final_2,text_cnn,200,40,True,300,fasttext,crawl-300d-2M,0.88151795,0.68809205,1.219861,0.58424586,1.1204904,0.60172415,0.6017378711078928,0.6017378711078928,0.6017378711078928,0.5872478356311718,0.5497524800763605,0.5872478356311718,0.6060248372010266,0.6017378711078928,0.5888867496614368
