'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_200vocab_1,cnn,200,115,True,50,glove,glove.6B.50d,1.0654335,0.62416404,1.2538649,0.5760041,1.1520567,0.5915948,0.5923244026068066,0.5923244026068066,0.5923244026068066,0.5871109515588024,0.5242044062561549,0.5871109515588024,0.5989113100971739,0.5923244026068066,0.5709260400958593
cnn_200vocab_2,cnn,200,115,True,50,glove,glove.6B.50d,1.0639555,0.62576056,1.2529267,0.5762602,1.1732167,0.5920258,0.5919623461259956,0.5919623461259956,0.5919623461259956,0.5643133290495479,0.5226613015514789,0.5643133290495479,0.5836044200354699,0.5919623461259956,0.5655947973449215
cnn_200vocab_3,cnn,200,115,True,50,glove,glove.6B.50d,1.0596479,0.62828857,1.259251,0.5752988,1.1730342,0.6009339,0.6017378711078928,0.6017378711078928,0.6017378711078928,0.5940276831695933,0.5419369353502675,0.5940276831695933,0.6016047028964453,0.6017378711078928,0.5808843078403808
cnn_200vocab_4,cnn,200,115,True,50,glove,glove.6B.50d,1.0630468,0.6267992,1.2662235,0.5732491,1.2041644,0.5959052,0.5966690803765388,0.5966690803765388,0.5966690803765388,0.5717103477520361,0.5323080695295116,0.5717103477520361,0.592059083415743,0.5966690803765388,0.5730380713324794
cnn_200vocab_5,cnn,200,115,True,50,glove,glove.6B.50d,1.0668651,0.62389886,1.2685025,0.5715279,1.1869165,0.5821121,0.5843591600289645,0.5843591600289645,0.5843591600289645,0.5847800981010616,0.5137946428955321,0.5847800981010616,0.5995087542287276,0.5843591600289645,0.5563813218586049
cnn_200vocab_6,cnn,200,115,True,50,glove,glove.6B.50d,1.0616326,0.6265551,1.2462026,0.57805705,1.1951067,0.58800286,0.5887038377986966,0.5887038377986966,0.5887038377986966,0.5768492703350816,0.5272450658322468,0.5768492703350816,0.5941308531366501,0.5887038377986966,0.5640913206623891
cnn_200vocab_7,cnn,200,115,True,50,glove,glove.6B.50d,1.0659353,0.6243785,1.2686853,0.5752663,1.1866443,0.5941092,0.5948587979724838,0.5948587979724838,0.5948587979724838,0.5634172983091404,0.5320169006135145,0.5634172983091404,0.5940399700868494,0.5948587979724838,0.5749962279335323
cnn_200vocab_8,cnn,200,115,True,50,glove,glove.6B.50d,1.0603966,0.6272735,1.264731,0.57382536,1.1963738,0.59015805,0.5908761766835626,0.5908761766835626,0.5908761766835626,0.5936850163256471,0.5435804809725536,0.5936850163256471,0.6167870066092829,0.5908761766835626,0.578839190278364
cnn_200vocab_9,cnn,200,115,True,50,glove,glove.6B.50d,1.0535469,0.62834346,1.2588887,0.57486665,1.2030298,0.5822557,0.5829109341057205,0.5829109341057205,0.5829109341057205,0.5710810767637738,0.5222846996593079,0.5710810767637738,0.5939391522838451,0.5829109341057205,0.5674125497559103
cnn_200vocab_10,cnn,200,115,True,50,glove,glove.6B.50d,1.0690717,0.6241682,1.2568985,0.5747907,1.1843928,0.5801006,0.5807385952208545,0.5807385952208545,0.5807385952208545,0.5426276472240169,0.5161459660829043,0.5426276472240169,0.5751165245798303,0.5807385952208545,0.5547001012013301
