'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_seq=25_voc=2.5k_1,cnn,2500,25,True,50,glove,glove.6B.50d,0.8241222,0.73877054,0.8060111,0.7449169,0.93000734,0.7098912,0.7111329082883766,0.7111329082883766,0.7111329082883766,0.43799237503570454,0.33966884327409613,0.43799237503570454,0.6787496428288994,0.7111329082883766,0.6763059903977563
cnn_seq=25_voc=2.5k_2,cnn,2500,25,True,50,glove,glove.6B.50d,0.82098013,0.7398333,0.80461156,0.7482753,0.9296795,0.7169713,0.7182442373712604,0.7182442373712604,0.7182442373712604,0.4269264478787031,0.27599147496959187,0.4269264478787031,0.6888272978622525,0.7182442373712604,0.6859327375519235
cnn_seq=25_voc=2.5k_3,cnn,2500,25,True,50,glove,glove.6B.50d,0.8232583,0.73906046,0.8045228,0.74549335,0.9270419,0.71439034,0.7162824914173614,0.7162824914173614,0.7162824914173613,0.4337205836826068,0.31185207224980327,0.4337205836826068,0.6919471407886083,0.7162824914173614,0.6850219373407214
cnn_seq=25_voc=2.5k_4,cnn,2500,25,True,50,glove,glove.6B.50d,0.8218976,0.73919964,0.7891807,0.7512206,0.92213726,0.7167969,0.7177538008827857,0.7177538008827857,0.7177538008827857,0.42724294996043793,0.31961584522913217,0.42724294996043793,0.6832389068147506,0.7177538008827857,0.685713677425447
cnn_seq=25_voc=2.5k_5,cnn,2500,25,True,50,glove,glove.6B.50d,0.8229578,0.7389309,0.80361015,0.7461795,0.9349638,0.71379745,0.7150564001961746,0.7150564001961746,0.7150564001961746,0.4816348802761798,0.37954928285210854,0.4816348802761798,0.6909383915941669,0.7150564001961746,0.6820612127610544
cnn_seq=25_voc=2.5k_6,cnn,2500,25,True,50,glove,glove.6B.50d,0.8226508,0.73898125,0.7982619,0.74739075,0.9248871,0.7126465,0.7135850907307504,0.7135850907307504,0.7135850907307504,0.4867251559314252,0.3409280690086485,0.4867251559314252,0.6812433374835157,0.7135850907307504,0.6835972451019976
cnn_seq=25_voc=2.5k_7,cnn,2500,25,True,50,glove,glove.6B.50d,0.82100916,0.7392459,0.79942477,0.7470337,0.91242695,0.7146345,0.7165277096615988,0.7165277096615988,0.7165277096615988,0.41333279513651633,0.3082458060594411,0.41333279513651633,0.6809657356338491,0.7165277096615988,0.6838530734126759
cnn_seq=25_voc=2.5k_8,cnn,2500,25,True,50,glove,glove.6B.50d,0.8191,0.7393672,0.7946308,0.7494609,0.91768044,0.721296,0.7229033840117705,0.7229033840117705,0.7229033840117705,0.45747577441167625,0.39107022458529206,0.45747577441167625,0.6928379839775578,0.7229033840117705,0.6972195536388192
cnn_seq=25_voc=2.5k_9,cnn,2500,25,True,50,glove,glove.6B.50d,0.82547295,0.7388688,0.80217624,0.7490268,0.91602665,0.71428573,0.7155468366846494,0.7155468366846494,0.7155468366846494,0.48763814805833705,0.3541947587474014,0.48763814805833705,0.6987823381641285,0.7155468366846494,0.6832995543668634
cnn_seq=25_voc=2.5k_10,cnn,2500,25,True,50,glove,glove.6B.50d,0.82160014,0.73990464,0.8024838,0.745386,0.9148056,0.7081822,0.709416380578715,0.709416380578715,0.7094163805787151,0.45676887245532793,0.38425796999180073,0.45676887245532793,0.6817223502411861,0.709416380578715,0.6731813430361744
