experiment_name,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
cnn_punct_1,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.7637783,0.7602553,0.90040314,0.74034727,0.9198253,0.7096029,0.711448885,0.711448885,0.711448885,0.3953627,0.322333989,0.3953627,0.675673118,0.711448885,0.679273307
cnn_punct_2,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.7591205,0.7613394,0.85942584,0.74516743,0.9412692,0.71486,0.715616573,0.715616573,0.715616573,0.45025047,0.348303157,0.45025047,0.696629495,0.715616573,0.689583331
cnn_punct_3,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.7586173,0.76155734,0.8715525,0.7449947,0.9284454,0.71015626,0.711448885,0.711448885,0.711448885,0.437268708,0.345656953,0.437268708,0.680657801,0.711448885,0.675133426
cnn_punct_4,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.7600291,0.7606364,0.86790085,0.74660194,0.9039378,0.71430665,0.715616573,0.715616573,0.715616573,0.459058745,0.36838346,0.459058745,0.699358137,0.715616573,0.687975416
cnn_punct_5,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.7594859,0.7614939,0.886374,0.7450896,0.9117104,0.7162598,0.717577838,0.717577838,0.717577838,0.421320863,0.341661345,0.421320863,0.686744089,0.717577838,0.686182885
cnn_punct_6,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.76244223,0.75937575,0.8650711,0.74814224,0.91558105,0.71266276,0.71341015,0.71341015,0.71341015,0.480653906,0.349752023,0.480653906,0.70131025,0.71341015,0.679025389
cnn_punct_7,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.76214045,0.76108044,0.89019936,0.74435055,0.9049579,0.7162598,0.717577838,0.717577838,0.717577838,0.373838074,0.350219583,0.373838074,0.680637374,0.717577838,0.687405336
cnn_punct_8,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.76031816,0.7615051,0.87371564,0.74552685,0.88826764,0.72556967,0.726648688,0.726648688,0.726648688,0.434212635,0.358552293,0.434212635,0.689268355,0.726648688,0.69519501
cnn_punct_9,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.758576,0.7613007,0.8885462,0.74470377,0.8940335,0.7230957,0.724442265,0.724442265,0.724442265,0.431532719,0.338744962,0.431532719,0.693187026,0.724442265,0.694804509
cnn_punct_10,cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.7579452,0.7615275,0.8883636,0.7410521,0.93701726,0.7098796,0.711448885,0.711448885,0.711448885,0.468936369,0.321262194,0.468936369,0.697019346,0.711448885,0.682649652
text_cnn_punct_1,text_cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.7713835,0.75054127,0.75125957,0.7541589,0.8529523,0.72556967,0.726648688,0.726648688,0.726648688,0.478161983,0.359486368,0.478161983,0.695839,0.726648688,0.69982057
text_cnn_punct_2,text_cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.77638465,0.7502097,0.752967,0.75634336,0.84829056,0.7277995,0.728609953,0.728609953,0.728609953,0.442944096,0.336850957,0.442944096,0.69544619,0.728609953,0.700309428
text_cnn_punct_3,text_cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.77580434,0.7492118,0.75130546,0.7558999,0.8589724,0.7258138,0.726893847,0.726893847,0.726893847,0.484207723,0.374302622,0.484207723,0.694838456,0.726893847,0.698865456
text_cnn_punct_4,text_cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.76663274,0.75147873,0.7424966,0.75697505,0.85393614,0.72700197,0.728364795,0.728364795,0.728364795,0.496770914,0.370306806,0.496770914,0.696684222,0.728364795,0.700965161
text_cnn_punct_5,text_cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.7703947,0.7501468,0.7503653,0.75311023,0.8475682,0.72993165,0.731306693,0.731306693,0.731306693,0.439836416,0.360356356,0.439836416,0.699625903,0.731306693,0.705183314
text_cnn_punct_6,text_cnn,10000,128,TRUE,50,glove,glove.6B.50d,0.7728505,0.7498265,0.75979793,0.75218445,0.8555179,0.72599286,0.727629321,0.727629321,0.727629321,0.441303001,0.341867715,0.441303001,0.693218956,0.727629321,0.696297544
