'experiment_name','model_name','vocab_size','max_seq_length','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_5kvocab_1,cnn,5000,128,50,glove,glove.6B.50d,0.7600139,0.7627309,0.9181358,0.7438371,0.9194178,0.71765953,0.7195391027212552,0.7195391027212552,0.7195391027212552,0.41402492689172643,0.3074939199320224,0.41402492689172643,0.6892214135509418,0.7195391027212552,0.689702537465906
cnn_5kvocab_2,cnn,5000,128,50,glove,glove.6B.50d,0.7587605,0.7631013,0.91379875,0.7443568,0.9432047,0.721875,0.7232164746261338,0.7232164746261338,0.7232164746261338,0.4105091532779411,0.3151334774090088,0.4105091532779411,0.6983929648690294,0.7232164746261338,0.6935517967984423
cnn_5kvocab_3,cnn,5000,128,50,glove,glove.6B.50d,0.7566753,0.7639523,0.9156397,0.7453479,0.95660764,0.7060384,0.7070360382446678,0.7070360382446678,0.7070360382446678,0.3550907813642476,0.2860003386954286,0.3550907813642476,0.6689798164337083,0.7070360382446678,0.6711447617545283
cnn_5kvocab_4,cnn,5000,128,50,glove,glove.6B.50d,0.75617975,0.7645704,0.9055202,0.74450773,0.93448055,0.7187337,0.7197842608482471,0.7197842608482471,0.7197842608482471,0.47630182737470605,0.32720730255920527,0.47630182737470605,0.6990951234668937,0.7197842608482471,0.6904829949093396
cnn_5kvocab_5,cnn,5000,128,50,glove,glove.6B.50d,0.75935614,0.76378715,0.90805316,0.74317586,0.93691516,0.70893556,0.7102230938955626,0.7102230938955626,0.7102230938955627,0.3908949370937454,0.29718317968061697,0.3908949370937454,0.682646760180563,0.7102230938955626,0.676493816489713
cnn_5kvocab_6,cnn,5000,128,50,glove,glove.6B.50d,0.7602141,0.7632092,0.9233592,0.74305916,0.92460024,0.71988934,0.7215003677371905,0.7215003677371905,0.7215003677371905,0.40368100806947294,0.3197550278966753,0.40368100806947294,0.6914512338156259,0.7215003677371905,0.6910553130807842
cnn_5kvocab_7,cnn,5000,128,50,glove,glove.6B.50d,0.75648797,0.76462066,0.91071737,0.7476459,0.9213913,0.7123535,0.7136553076734494,0.7136553076734494,0.7136553076734493,0.337126447249509,0.2957798108632906,0.337126447249509,0.6852743061368958,0.7136553076734494,0.6806802675438051
cnn_5kvocab_8,cnn,5000,128,50,glove,glove.6B.50d,0.7587746,0.76272684,0.889366,0.74258155,0.95732296,0.7038086,0.7050747732287326,0.7050747732287326,0.7050747732287326,0.3939719134392825,0.342197381920738,0.3939719134392825,0.6781182635934861,0.7050747732287326,0.670630603936591
cnn_5kvocab_9,cnn,5000,128,50,glove,glove.6B.50d,0.75855106,0.7637789,0.92085433,0.7435633,0.9302544,0.7142741,0.7158617308163766,0.7158617308163766,0.7158617308163767,0.4311350220256779,0.32798571312446506,0.4311350220256779,0.6849184288874587,0.7158617308163766,0.6812174952147082
cnn_5kvocab_10,cnn,5000,128,50,glove,glove.6B.50d,0.7598735,0.7632424,0.9231863,0.7418658,0.9496277,0.7099121,0.7112037264035302,0.7112037264035302,0.7112037264035302,0.4251497652998822,0.30319595161895885,0.4251497652998822,0.6742343016596263,0.7112037264035302,0.6747535857215711
text_cnn_5kvocab_1,text_cnn,5000,128,50,glove,glove.6B.50d,0.81503177,0.7392096,0.762185,0.7513093,0.85381883,0.7174805,0.7188036283402794,0.7188036283402794,0.7188036283402796,0.39976747502704896,0.3236320844491286,0.39976747502704896,0.684986696203643,0.7188036283402794,0.689191270843354
text_cnn_5kvocab_2,text_cnn,5000,128,50,glove,glove.6B.50d,0.80551827,0.7410775,0.7495393,0.7547027,0.86292887,0.7204427,0.7215003677371905,0.7215003677371905,0.7215003677371905,0.43680889467032286,0.34221105748108865,0.43680889467032286,0.6932034182840133,0.7215003677371905,0.6930936508683034
text_cnn_5kvocab_3,text_cnn,5000,128,50,glove,glove.6B.50d,0.8129984,0.73959637,0.7573617,0.75210047,0.86255884,0.720166,0.7215003677371905,0.7215003677371905,0.7215003677371905,0.4746007602843707,0.31956452304088145,0.4746007602843707,0.6973484740373758,0.7215003677371905,0.688727468953574
text_cnn_5kvocab_4,text_cnn,5000,128,50,glove,glove.6B.50d,0.81087583,0.73945785,0.7558442,0.75438994,0.86136115,0.72355145,0.7251777396420691,0.7251777396420691,0.7251777396420691,0.3928715930193519,0.31727770707892317,0.3928715930193519,0.692392937409773,0.7251777396420691,0.6933283062661284
text_cnn_5kvocab_5,text_cnn,5000,128,50,glove,glove.6B.50d,0.8058193,0.7409415,0.7498666,0.7533724,0.84747446,0.7265137,0.7278744790389802,0.7278744790389802,0.7278744790389802,0.4264713890512789,0.3476184493226432,0.4264713890512789,0.6952155410536461,0.7278744790389802,0.698134361668643
text_cnn_5kvocab_6,text_cnn,5000,128,50,glove,glove.6B.50d,0.8153973,0.73890096,0.756709,0.75169903,0.86720335,0.71674806,0.7180681539593038,0.7180681539593038,0.7180681539593038,0.4372270234392507,0.30956237604185277,0.4372270234392507,0.6856537864799428,0.7180681539593038,0.6874753779741819
text_cnn_5kvocab_7,text_cnn,5000,128,50,glove,glove.6B.50d,0.81018704,0.739878,0.75556,0.753195,0.8370325,0.7248047,0.7261583721500368,0.7261583721500368,0.7261583721500368,0.412964231297284,0.3328375271795431,0.412964231297284,0.6910453216893855,0.7261583721500368,0.6983406025224788
text_cnn_5kvocab_8,text_cnn,5000,128,50,glove,glove.6B.50d,0.8116121,0.7401234,0.7646265,0.7472064,0.8784138,0.7113444,0.7129198332924737,0.7129198332924737,0.7129198332924738,0.41036109172970214,0.2951957912691154,0.41036109172970214,0.6841042464515508,0.7129198332924737,0.6744025275389653
text_cnn_5kvocab_9,text_cnn,5000,128,50,glove,glove.6B.50d,0.8128775,0.73960316,0.75540155,0.7524482,0.8555391,0.72403973,0.725668055896053,0.725668055896053,0.725668055896053,0.41815270728543846,0.3217489879249136,0.41815270728543846,0.6872431499356856,0.725668055896053,0.6945165174133949
text_cnn_5kvocab_10,text_cnn,5000,128,50,glove,glove.6B.50d,0.8146609,0.7387818,0.759807,0.7520118,0.86337507,0.7211426,0.7224810002451582,0.7224810002451582,0.7224810002451582,0.48770594186828886,0.34166109523921173,0.48770594186828886,0.7112765498105065,0.7224810002451582,0.689940886536526
dcnn_5kvocab_1,dcnn,5000,128,50,glove,glove.6B.50d,0.81053853,0.740339,0.76405877,0.7480847,0.84336674,0.7308757,0.7325324834518264,0.7325324834518264,0.7325324834518264,0.40859029782995054,0.34333014060150063,0.40859029782995054,0.7017288225233398,0.7325324834518264,0.7066837790152067
dcnn_5kvocab_2,dcnn,5000,128,50,glove,glove.6B.50d,0.80566204,0.7409467,0.7614871,0.75152946,0.833351,0.7364909,0.7381711203726403,0.7381711203726403,0.7381711203726402,0.402871153946928,0.33750888779834354,0.402871153946928,0.7023598318081575,0.7381711203726403,0.7109274497988384
dcnn_5kvocab_3,dcnn,5000,128,50,glove,glove.6B.50d,0.8090822,0.74084276,0.7682473,0.7488486,0.8714459,0.7208659,0.7224810002451582,0.7224810002451582,0.7224810002451582,0.3590112584936055,0.29484688056274355,0.3590112584936055,0.6876738003425019,0.7224810002451582,0.6891205126718547
dcnn_5kvocab_4,dcnn,5000,128,50,glove,glove.6B.50d,0.8104023,0.74033993,0.77134687,0.74707025,0.86907905,0.72117513,0.7222358421181663,0.7222358421181663,0.7222358421181664,0.4181155358998464,0.3227181424289712,0.4181155358998464,0.6900972054408077,0.7222358421181663,0.6898312261300847
dcnn_5kvocab_5,dcnn,5000,128,50,glove,glove.6B.50d,0.8120319,0.73974633,0.76283556,0.7481314,0.8522782,0.7205892,0.7224810002451582,0.7224810002451582,0.7224810002451582,0.4352102040399193,0.3299577189741548,0.4352102040399193,0.6928800448003772,0.7224810002451582,0.6935104404928513
dcnn_5kvocab_6,dcnn,5000,128,50,glove,glove.6B.50d,0.81176364,0.73899305,0.7639393,0.75058657,0.8572261,0.72403973,0.725668055896053,0.725668055896053,0.725668055896053,0.44270959802220655,0.3300016937883053,0.44270959802220655,0.6920762297646623,0.725668055896053,0.6936071881128129
dcnn_5kvocab_7,dcnn,5000,128,50,glove,glove.6B.50d,0.80711204,0.7398625,0.7643694,0.748329,0.85415214,0.7250163,0.7266486884040206,0.7266486884040206,0.7266486884040205,0.4740272932957932,0.36756858156438643,0.4740272932957932,0.7123909635066523,0.7266486884040206,0.693720386469318
