index,model_name,embed_type,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
0,cnn,glove,100,150,0.0,1.0,0.0,0.0,1.0,0.0
1,cnn,glove,100,200,0.00064,0.99912,0.00024,0.00064,0.99912,0.00024
2,cnn,glove,100,250,0.0002,0.9998,0.0,0.0002,0.9998,0.0
3,cnn,glove,100,300,0.00326,0.99674,0.0,0.00326,0.99674,0.0
4,cnn,glove,200,150,0.0,0.99998,2e-05,0.0,0.99998,2e-05
5,cnn,glove,200,250,0.0,1.0,0.0,0.0,1.0,0.0
6,cnn,glove,250,150,0.0,1.0,0.0,0.0,1.0,0.0
7,cnn,glove,300,150,0.0,0.99994,6e-05,0.0,0.99994,6e-05
8,cnn,glove,300,200,0.0,1.0,0.0,0.0,1.0,0.0
9,cnn,glove,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,cnn,fasttext,150,100,0.0,0.99998,2e-05,0.0,0.99998,2e-05
1,cnn,fasttext,200,100,0.0,0.99874,0.00126,0.0,0.99874,0.00126
2,cnn,fasttext,200,150,0.0,1.0,0.0,0.0,1.0,0.0
3,cnn,fasttext,250,100,0.0,0.99966,0.00034,0.0,0.99966,0.00034
4,cnn,fasttext,250,150,0.0,1.0,0.0,0.0,1.0,0.0
5,cnn,fasttext,250,200,0.0,1.0,0.0,0.0,1.0,0.0
6,cnn,fasttext,300,100,0.0,0.99204,0.00796,0.0,0.99204,0.00796
7,cnn,fasttext,300,150,0.0,0.99986,0.00014,0.0,0.99986,0.00014
8,cnn,fasttext,300,200,0.0,1.0,0.0,0.0,1.0,0.0
9,cnn,fasttext,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,cnn,numberbatch,100,250,0.00476,0.99524,0.0,0.00476,0.99524,0.0
1,cnn,numberbatch,100,300,0.0386,0.9614,0.0,0.0386,0.9614,0.0
2,cnn,numberbatch,150,100,0.0,0.99998,2e-05,0.0,0.99998,2e-05
3,cnn,numberbatch,150,250,4e-05,0.99996,0.0,4e-05,0.99996,0.0
4,cnn,numberbatch,150,300,0.00188,0.99812,0.0,0.00188,0.99812,0.0
5,cnn,numberbatch,200,100,0.0,0.96174,0.03826,0.0,0.96174,0.03826
6,cnn,numberbatch,200,150,0.0,1.0,0.0,0.0,1.0,0.0
7,cnn,numberbatch,200,250,0.00024,0.99974,2e-05,0.00024,0.99974,2e-05
8,cnn,numberbatch,200,300,0.00138,0.99846,0.00016,0.00138,0.99846,0.00016
9,cnn,numberbatch,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,cnn,word2vec,100,250,0.00016,0.99984,0.0,0.00016,0.99984,0.0
1,cnn,word2vec,100,300,0.01074,0.98926,0.0,0.01074,0.98926,0.0
2,cnn,word2vec,150,100,0.0,1.0,0.0,0.0,1.0,0.0
3,cnn,word2vec,150,250,0.0,1.0,0.0,0.0,1.0,0.0
4,cnn,word2vec,150,300,4e-05,0.99996,0.0,4e-05,0.99996,0.0
5,cnn,word2vec,200,100,0.0,1.0,0.0,0.0,1.0,0.0
6,cnn,word2vec,200,150,0.0,1.0,0.0,0.0,1.0,0.0
7,cnn,word2vec,200,250,0.0,1.0,0.0,0.0,1.0,0.0
8,cnn,word2vec,200,300,0.0,1.0,0.0,0.0,1.0,0.0
