index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
0,cnn,deps-100,deps-150,0.0,0.99998,2e-05,0.0,0.99998,2e-05
1,cnn,deps-100,deps-200,2e-05,0.99998,0.0,2e-05,0.99998,0.0
2,cnn,deps-100,glove-150,0.0,1.0,0.0,0.0,1.0,0.0
3,cnn,deps-100,glove-200,0.0,1.0,0.0,0.0,1.0,0.0
4,cnn,deps-100,glove-250,0.0,1.0,0.0,0.0,1.0,0.0
5,cnn,deps-100,glove-300,0.0,1.0,0.0,0.0,1.0,0.0
6,cnn,deps-100,numberbatch-250,0.0003,0.9997,0.0,0.0003,0.9997,0.0
7,cnn,deps-100,numberbatch-300,0.00014,0.99986,0.0,0.00014,0.99986,0.0
8,cnn,deps-150,glove-150,0.0,1.0,0.0,0.0,1.0,0.0
9,cnn,deps-150,glove-200,0.0,0.99998,2e-05,0.0,0.99998,2e-05
10,cnn,deps-150,glove-250,0.0,1.0,0.0,0.0,1.0,0.0
11,cnn,deps-150,glove-300,0.0,1.0,0.0,0.0,1.0,0.0
12,cnn,deps-200,deps-150,0.0,0.99938,0.00062,0.0,0.99938,0.00062
13,cnn,deps-200,glove-150,0.0,0.99976,0.00024,0.0,0.99976,0.00024
14,cnn,deps-200,glove-200,0.0,0.99994,6e-05,0.0,0.99994,6e-05
15,cnn,deps-200,glove-250,0.0,1.0,0.0,0.0,1.0,0.0
16,cnn,deps-200,glove-300,0.0,1.0,0.0,0.0,1.0,0.0
17,cnn,deps-250,deps-100,0.0,0.99982,0.00018,0.0,0.99982,0.00018
18,cnn,deps-250,deps-150,0.0,0.99792,0.00208,0.0,0.99792,0.00208
19,cnn,deps-250,deps-200,0.0,1.0,0.0,0.0,1.0,0.0
20,cnn,deps-250,glove-150,0.0,0.99986,0.00014,0.0,0.99986,0.00014
21,cnn,deps-250,glove-200,0.0,0.9927,0.0073,0.0,0.9927,0.0073
22,cnn,deps-250,glove-250,0.0,0.99978,0.00022,0.0,0.99978,0.00022
23,cnn,deps-250,glove-300,0.0,0.9998,0.0002,0.0,0.9998,0.0002
24,cnn,deps-250,numberbatch-250,0.0,1.0,0.0,0.0,1.0,0.0
25,cnn,deps-250,numberbatch-300,0.0,0.99996,4e-05,0.0,0.99996,4e-05
26,cnn,deps-300,deps-100,0.0,1.0,0.0,0.0,1.0,0.0
27,cnn,deps-300,deps-150,0.0,0.99838,0.00162,0.0,0.99838,0.00162
28,cnn,deps-300,deps-200,0.0,1.0,0.0,0.0,1.0,0.0
29,cnn,deps-300,deps-250,0.0,1.0,0.0,0.0,1.0,0.0
30,cnn,deps-300,glove-150,0.0,1.0,0.0,0.0,1.0,0.0
31,cnn,deps-300,glove-200,0.0,0.9999,0.0001,0.0,0.9999,0.0001
32,cnn,deps-300,glove-250,0.0,1.0,0.0,0.0,1.0,0.0
33,cnn,deps-300,glove-300,0.0,1.0,0.0,0.0,1.0,0.0
34,cnn,deps-300,numberbatch-250,0.0,1.0,0.0,0.0,1.0,0.0
35,cnn,deps-300,numberbatch-300,0.0,0.99998,2e-05,0.0,0.99998,2e-05
36,cnn,fasttext-100,deps-100,0.00158,0.99842,0.0,0.00158,0.99842,0.0
37,cnn,fasttext-100,deps-150,0.00332,0.99668,0.0,0.00332,0.99668,0.0
38,cnn,fasttext-100,deps-200,0.01852,0.98148,0.0,0.01852,0.98148,0.0
39,cnn,fasttext-100,deps-250,0.06452,0.93548,0.0,0.06452,0.93548,0.0
40,cnn,fasttext-100,deps-300,0.02108,0.97892,0.0,0.02108,0.97892,0.0
41,cnn,fasttext-100,glove-150,8e-05,0.99992,0.0,8e-05,0.99992,0.0
42,cnn,fasttext-100,glove-200,0.00064,0.99936,0.0,0.00064,0.99936,0.0
43,cnn,fasttext-100,glove-250,0.00036,0.99964,0.0,0.00036,0.99964,0.0
44,cnn,fasttext-100,glove-300,2e-05,0.99998,0.0,2e-05,0.99998,0.0
45,cnn,fasttext-100,numberbatch-250,0.05196,0.94804,0.0,0.05196,0.94804,0.0
46,cnn,fasttext-100,numberbatch-300,0.06678,0.93322,0.0,0.06678,0.93322,0.0
47,cnn,fasttext-100,word2vec-300,0.05372,0.94628,0.0,0.05372,0.94628,0.0
48,cnn,fasttext-150,deps-100,0.0,1.0,0.0,0.0,1.0,0.0
49,cnn,fasttext-150,deps-150,0.0,1.0,0.0,0.0,1.0,0.0
50,cnn,fasttext-150,deps-200,0.0078,0.9922,0.0,0.0078,0.9922,0.0
51,cnn,fasttext-150,deps-250,0.0603,0.9397,0.0,0.0603,0.9397,0.0
52,cnn,fasttext-150,deps-300,0.0054,0.9946,0.0,0.0054,0.9946,0.0
53,cnn,fasttext-150,fasttext-100,0.0,1.0,0.0,0.0,1.0,0.0
54,cnn,fasttext-150,glove-150,0.0,1.0,0.0,0.0,1.0,0.0
55,cnn,fasttext-150,glove-200,0.0,1.0,0.0,0.0,1.0,0.0
56,cnn,fasttext-150,glove-250,0.00026,0.99974,0.0,0.00026,0.99974,0.0
57,cnn,fasttext-150,glove-300,0.0,1.0,0.0,0.0,1.0,0.0
58,cnn,fasttext-150,numberbatch-100,0.0,1.0,0.0,0.0,1.0,0.0
59,cnn,fasttext-150,numberbatch-150,0.00016,0.99984,0.0,0.00016,0.99984,0.0
60,cnn,fasttext-150,numberbatch-200,0.02746,0.97254,0.0,0.02746,0.97254,0.0
61,cnn,fasttext-150,numberbatch-250,0.00788,0.99212,0.0,0.00788,0.99212,0.0
62,cnn,fasttext-150,numberbatch-300,0.06822,0.93178,0.0,0.06822,0.93178,0.0
63,cnn,fasttext-150,word2vec-100,0.0,1.0,0.0,0.0,1.0,0.0
64,cnn,fasttext-150,word2vec-150,4e-05,0.99996,0.0,4e-05,0.99996,0.0
65,cnn,fasttext-150,word2vec-200,0.0,1.0,0.0,0.0,1.0,0.0
66,cnn,fasttext-150,word2vec-250,0.0,1.0,0.0,0.0,1.0,0.0
67,cnn,fasttext-150,word2vec-300,0.01366,0.98634,0.0,0.01366,0.98634,0.0
68,cnn,fasttext-200,deps-100,0.0,1.0,0.0,0.0,1.0,0.0
69,cnn,fasttext-200,deps-150,0.0,1.0,0.0,0.0,1.0,0.0
