index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.821044294,0.7481490550000001,0.9157192290000001,0.735253608,0.964762572,0.702167973,0.704094140720765,0.704094140720765,0.704094140720765,0.42369706792354744,0.3175333922211413,0.42369706792354744,0.6756579886590632,0.704094140720765,0.6693243873206052
1,cnn,5000,25,False,150,fasttext,crawl-300d-2M,0.8310643630000001,0.7459980529999999,0.9105793999999999,0.7360603269999999,0.9590495490000001,0.703356136,0.7051483206668301,0.7051483206668301,0.7051483206668301,0.41856576463004097,0.31493316288181705,0.41856576463004097,0.6746587296815603,0.7051483206668301,0.6705520116864394
2,cnn,5000,25,False,200,fasttext,crawl-300d-2M,0.840953128,0.743669403,0.9183233269999999,0.734493254,0.9681540390000002,0.702000331,0.7038980142191714,0.7038980142191714,0.7038980142191714,0.41430873819638575,0.3159490361518884,0.41430873819638575,0.6737982437206482,0.7038980142191714,0.6705593700182348
3,cnn,5000,25,False,250,fasttext,crawl-300d-2M,0.850052378,0.7416343350000001,0.91305275,0.7346348380000001,0.9651928299999998,0.70040691,0.7023535180191225,0.7023535180191225,0.7023535180191225,0.41820853996156515,0.31318663868834695,0.41820853996156515,0.6736796393327573,0.7023535180191225,0.6685555343978746
4,cnn,5000,25,False,300,fasttext,crawl-300d-2M,0.856194389,0.740171925,0.90967945,0.734562791,0.973231752,0.6999186159999999,0.7018632017651385,0.7018632017651385,0.7018632017651385,0.4042981397059058,0.3019735322487664,0.4042981397059058,0.6727637555477111,0.7018632017651385,0.667509108481014
5,text cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.727624371,0.771679427,0.8123380430000001,0.748414706,0.8909179949999999,0.7202506679999999,0.7221132630546703,0.7221132630546703,0.7221132630546703,0.46334251649404895,0.35589171526946994,0.46334251649404895,0.6957606432578006,0.7221132630546703,0.6963059684412141
6,text cnn,5000,25,False,150,fasttext,crawl-300d-2M,0.689593072,0.784330501,0.848648145,0.746230237,0.890553984,0.7183496280000001,0.7201765138514341,0.7201765138514341,0.7201765138514341,0.4329739779031662,0.3448369916628563,0.4329739779031662,0.6932784944376197,0.7201765138514341,0.6935578728428283
7,text cnn,5000,25,False,200,fasttext,crawl-300d-2M,0.662067915,0.793285968,0.883156001,0.745233689,0.891631729,0.717122414,0.7189997548418731,0.7189997548418731,0.7189997548418732,0.4460036260513725,0.3501382496012325,0.4460036260513725,0.6927370745720896,0.7189997548418731,0.6925842880493894
8,text cnn,5000,25,False,250,fasttext,crawl-300d-2M,0.6470947340000001,0.7978798330000001,0.895407488,0.7458383070000001,0.8809699459999999,0.7192366609999999,0.7212061779848001,0.7212061779848001,0.7212061779848001,0.4478211918883058,0.3416618634742719,0.4478211918883058,0.6940363036010906,0.7212061779848001,0.6951693483747975
9,text cnn,5000,25,False,300,fasttext,crawl-300d-2M,0.629995345,0.8032274879999999,0.9214716129999999,0.74501431,0.8832451079999999,0.720091152,0.7220642314292719,0.7220642314292719,0.7220642314292719,0.4308714700487055,0.3327069905447616,0.4308714700487055,0.6949467976264686,0.7220642314292719,0.6957425651242013
