index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,bi gru,2500,25,True,50,0.9875734249999999,72.2100891,0.929778364,73.62327330000001,0.969996446,70.67487220000001,0.708386463952918,0.708386463952918,0.7083864639529182,0.3682107759807718,0.2686695785723914,0.3682107759807718,0.6729061690788872,0.708386463952918,0.6689066640815139,0.005339932660620455,0.10365977729138542,0.012983012943106496,0.3272125647458641,0.016389682335555756,1.006998161717593,0.01020846427245254,0.01020846427245254,0.0102084642724526,0.023781000197788348,0.009748307969465745,0.023781000197788348,0.00504921077206135,0.01020846427245254,0.01471703180457017
1,bi gru,5000,50,True,50,0.9877154690000001,72.31589269999999,0.92138474,73.98952249999999,0.961285399,71.4979763,0.7167484060814123,0.7167484060814123,0.7167484060814125,0.36928732644165035,0.26795666138746277,0.36928732644165035,0.6755564225267118,0.7167484060814123,0.6806287678916828,0.0066651950486612856,0.11488499720449764,0.01195332965476336,0.2426887322432481,0.01861666307519364,0.5017894276810325,0.0051052137759716116,0.0051052137759716116,0.005105213775971595,0.01952277515355728,0.012149624329037018,0.01952277515355728,0.005003082744478335,0.0051052137759716116,0.007616920040759781
2,bi gru,10000,128,True,50,0.9896654249999999,72.35344520000001,0.923614619,73.90641409999999,0.9561294490000002,71.5778442,0.7173614516920058,0.7173614516920058,0.7173614516920059,0.3697122455664835,0.28026040785984624,0.3697122455664835,0.6814109001893682,0.7173614516920058,0.6822055505635944,0.007108820676984124,0.1809127958638877,0.012845349590035762,0.3541739505370037,0.017064306720460175,0.5333012567138966,0.005320225047733465,0.005320225047733465,0.005320225047733515,0.035518687680970454,0.01320174853667032,0.035518687680970454,0.007479872358270755,0.005320225047733465,0.008284459315985222
3,bi lstm,2500,25,True,50,0.8960821260000001,73.5269981,0.860465033,74.7091581,0.9596731329999999,71.7044502,0.7185384992643453,0.7185384992643453,0.7185384992643453,0.3759660152713473,0.28311126979759005,0.3759660152713473,0.6828987207690284,0.7185384992643453,0.680935444678122,0.003204072191974137,0.06147811091482471,0.008389656732399099,0.16444081229795288,0.01378618796195431,0.43091149983231175,0.004380195515047451,0.004380195515047451,0.00438019551504747,0.029168527900607435,0.009533038677797354,0.029168527900607435,0.006500493531811588,0.004380195515047451,0.0069057665777437355
4,bi lstm,5000,50,True,50,0.8817399480000001,73.93821510000001,0.855325098,74.9071847,0.9545158339999998,72.1348347,0.723050514958313,0.723050514958313,0.7230505149583129,0.3968373803395531,0.2919296196746503,0.3968373803395531,0.6875357726732861,0.723050514958313,0.6902917976300409,0.009713901391451306,0.17399572391007037,0.010052137638433791,0.2477919703810905,0.021991175483420253,1.0725984949145209,0.010730738413244479,0.010730738413244479,0.010730738413244463,0.022223564253886764,0.014048743009966074,0.022223564253886764,0.008980107908684722,0.010730738413244479,0.009714408800200547
5,bi lstm,10000,128,True,50,0.8755781020000001,74.02989669999998,0.850431089,74.8465984,0.950787865,72.22691019999999,0.723786169691025,0.723786169691025,0.723786169691025,0.37509039501057184,0.2931230536449198,0.37509039501057184,0.6876906600635815,0.723786169691025,0.6900969525690426,0.013576363162801898,0.2549251215736562,0.006663724090017268,0.2018035671418022,0.018653642381670374,0.5551035551842326,0.005572925920089042,0.005572925920089042,0.00557292592008909,0.030406687622015007,0.020711773810972996,0.030406687622015007,0.006261486816559758,0.005572925920089042,0.00877777627980511
6,cnn,2500,25,True,50,0.8223049079999999,73.92162630000003,0.800491382,74.74383800000001,0.9229656539999999,71.4289212,0.7156449239823444,0.7156449239823444,0.7156449239823444,0.45094579828269143,0.34053743469673153,0.45094579828269143,0.6869253125388914,0.7156449239823444,0.6836186325033433,0.001800059830177249,0.03885688074645684,0.0052558631205472115,0.2047311749343497,0.007552369583225314,0.3686086056172203,0.003783396028940378,0.003783396028940378,0.0037833960289403393,0.027208762702908312,0.03748169186425956,0.027208762702908312,0.006631517568242679,0.003783396028940378,0.0063394106688869035
7,cnn,5000,50,True,50,0.803640004,74.612622,0.8158040719999999,74.8581508,0.9274587440000003,71.4109719,0.7156410885020839,0.7156410885020839,0.7156410885020839,0.4492622693895494,0.34598510906243,0.4492622693895494,0.6852347118528984,0.7156410885020839,0.6840419636481271,0.001918850090388078,0.043633646477101995,0.00897963750175156,0.23531490130735086,0.018336400456031098,0.45340761965499515,0.004677961402417626,0.004677961402417626,0.004677961402417622,0.03459721062520729,0.023828711992172222,0.03459721062520729,0.006197094131023094,0.004677961402417626,0.006946640837071007
8,cnn,10000,128,True,50,0.7877135049999999,75.25540840000001,0.83689259,74.71067380000001,0.9142198949999999,71.8675134,0.7198087766609463,0.7198087766609463,0.7198087766609463,0.44353139228816296,0.33818664391773806,0.44353139228816296,0.6922905647500871,0.7198087766609463,0.6898658712764618,0.001591674393644413,0.03270739877968211,0.009199488278869999,0.30235225912016067,0.010116511840237858,0.4531215262735724,0.004563791184728036,0.004563791184728036,0.004563791184728062,0.049331251451531666,0.018861816185708646,0.049331251451531666,0.007629486653259834,0.004563791184728036,0.004750954284228768
9,dcnn,2500,25,True,50,0.845011066,73.09234469999998,0.782089485,74.55703849999999,0.8596332199999999,72.3018961,0.7245708680725846,0.7245708680725846,0.7245708680725846,0.41321418200894267,0.3246521195779723,0.41321418200894267,0.6934321967711489,0.7245708680725846,0.6943791190338333,0.0021234686883346713,0.03371721297646263,0.005445432112341208,0.17578574055382626,0.011425117432887363,0.42088462011774735,0.004346508270489142,0.004346508270489142,0.004346508270489163,0.024110794642227328,0.012767629390032433,0.024110794642227328,0.00452293133646119,0.004346508270489142,0.005883987905090754
