index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.81600744,74.22508599999999,0.8111513000000001,74.544436,0.92281157,70.49386,0.7064737616478666,0.7064737616478666,0.7064737616478666,0.4455364162243653,0.3640039284046428,0.4455364162243653,0.6746469917259525,0.7064737616478666,0.6686310200297916
1,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8123733,74.17365000000001,0.8033387,74.567777,0.9276542999999999,71.29255,0.7148111819519373,0.7148111819519373,0.7148111819519373,0.39901187957156026,0.34457674365620433,0.39901187957156026,0.688475150003206,0.7148111819519373,0.6861362297285047
2,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8136503,74.26705,0.8010418,74.963826,0.92454153,70.420617,0.7057381069151545,0.7057381069151545,0.7057381069151545,0.43710962929867664,0.3438666081483377,0.43710962929867664,0.6843736750400345,0.7057381069151545,0.6727893241326259
3,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8149259,74.173284,0.8036281999999999,74.95566,0.91013926,71.44600999999999,0.716037273173124,0.716037273173124,0.716037273173124,0.4700672201987924,0.35401601680007755,0.4700672201987924,0.6862536046840636,0.716037273173124,0.6853646107254373
4,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.81340027,74.16287700000001,0.80204755,74.64175999999999,0.9245008,70.305526,0.7042667974497303,0.7042667974497303,0.7042667974497303,0.4438807662890872,0.3379068416062891,0.4438807662890872,0.6728333538335296,0.7042667974497303,0.6687647782841757
5,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8118736,74.27014000000001,0.8006573,74.785054,0.9455662,70.71358599999999,0.708680725846003,0.708680725846003,0.708680725846003,0.4344778079950525,0.33745502441596026,0.4344778079950525,0.685352193514621,0.708680725846003,0.6813648878561267
6,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.816208,74.18745,0.80284035,74.67653000000001,0.92096514,71.250695,0.7140755272192251,0.7140755272192251,0.7140755272192251,0.3922962920185398,0.31479244157451763,0.3922962920185398,0.6771775190109066,0.7140755272192251,0.6844273490356879
7,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8130246,74.194986,0.80732036,74.466956,0.89898473,71.82616999999999,0.7192251103482099,0.7192251103482099,0.7192251103482099,0.5126616245720143,0.3725906349426644,0.5126616245720143,0.6976434907362217,0.7192251103482099,0.6882032269610929
8,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.81272703,74.22758999999999,0.8065946999999999,74.72181,0.9162007,72.031945,0.721922511034821,0.721922511034821,0.721922511034821,0.4636527992160714,0.3756094149649477,0.4636527992160714,0.6905388308004039,0.721922511034821,0.6911534563049732
9,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.81505436,74.22788,0.8079626,74.67676399999999,0.9257476,71.84361,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.4576793170849788,0.3703782554833471,0.4576793170849788,0.6903541074623119,0.7197155468366846,0.6909117227188583
10,text cnn,5500,25,True,300,numberbatch,numberbatch-en,0.71157753,77.45956000000001,0.75378186,75.95616999999999,0.83684534,73.423547,0.7358999509563512,0.7358999509563512,0.7358999509563512,0.5116586163021053,0.3445151444953828,0.5116586163021053,0.7101706501616839,0.7358999509563512,0.7073627538718481
11,text cnn,5500,25,True,300,numberbatch,numberbatch-en,0.71486557,77.384084,0.7586816999999999,75.74286000000001,0.8384037,73.095703,0.7319764590485532,0.7319764590485532,0.7319764590485534,0.5025861394942105,0.3642533113675116,0.5025861394942105,0.7086648715151707,0.7319764590485532,0.7050291234403043
12,text cnn,5500,25,True,300,numberbatch,numberbatch-en,0.7114324000000001,77.443314,0.7577333,75.78276999999999,0.82160383,73.82115,0.7395782246199117,0.7395782246199117,0.7395782246199116,0.5047430271737375,0.3874888854154596,0.5047430271737375,0.7183962349548825,0.7395782246199117,0.718774095630621
13,text cnn,5500,25,True,300,numberbatch,numberbatch-en,0.71174544,77.43938,0.7496941,75.88195,0.8224186,73.05733599999999,0.7322216772927905,0.7322216772927905,0.7322216772927905,0.4819623077667627,0.3722760993738748,0.4819623077667627,0.7088895621016211,0.7322216772927905,0.7098227548711764
14,text cnn,5500,25,True,300,numberbatch,numberbatch-en,0.7150344,77.38423,0.7612878000000001,75.600725,0.83469826,73.095703,0.7319764590485532,0.7319764590485532,0.7319764590485534,0.5328110099396672,0.3758221621420508,0.5328110099396672,0.7090471691824364,0.7319764590485532,0.7028137173842234
