index,model_name,embedding_type,vocab_size,max_seq_length,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,bert,bert,10000,128,False,768,0.468006164,84.2949616,1.0072591229999999,76.8694452,0.7554235360000001,76.06787019999999,0.7620985535670508,0.7620985535670508,0.7620985535670508,0.5245801046702965,0.4274893232955968,0.5245801046702965,0.7380233847385677,0.7620985535670508,0.7380544357524758,0.004149082800357994,0.19202232086411555,0.018631053293227055,0.23643305617014165,0.00888437382543729,0.4175047670207686,0.0040584181898386485,0.0040584181898386485,0.004058418189838606,0.022017631458210382,0.011948225209280608,0.022017631458210382,0.004310848038936714,0.0040584181898386485,0.0052612938030786385
1,roberta,roberta,10000,128,True,768,0.5289449811,81.8949163,0.7726373434999999,78.16626192,0.7401580033000001,76.21720970999999,0.7622701643,0.7622701643,0.7622701643,0.5157488460999999,0.41618389699999997,0.5157488460999999,0.738720959,0.7622701643,0.7368290050999999,0.03127581944585418,0.9467177066224977,0.030779340319180323,0.33361413618679026,0.01177109495304748,0.5558662705485822,0.005538922077997307,0.005538922077997307,0.005538922077997307,0.030670213148740584,0.015554265589142077,0.030670213148740584,0.006882114287804718,0.005538922077997307,0.007000972340659116
2,gpt2,gpt2,10000,128,True,768,0.5836418628000001,79.52311457,0.7699121117999999,77.47249723000002,0.8023584664,75.15567421,0.7515567540999999,0.7515567540999999,0.7515567540999999,0.4878487289,0.39706035879999996,0.4878487289,0.7262460047,0.7515567540999999,0.7266688732,0.025344137384951667,0.7350124005220633,0.03268742070478249,0.43804764437182275,0.04589064842266357,0.6245206875385749,0.006245199739594643,0.006245199739594643,0.006245199739594643,0.028728175274458673,0.01906052271803556,0.028728175274458673,0.0059954759420259105,0.006245199739594643,0.005982765156524888
3,dialogpt,dialogpt,10000,128,True,768,0.602710914626944,79.08338964583314,0.7632582246383697,77.82090783018403,0.7946890115894378,75.30031800313111,0.7530031870103702,0.7530031870103702,0.7530031870103702,0.4941659058098523,0.4046650294345303,0.4941659058098523,0.7269100102202161,0.7530031870103702,0.7280379054047771,0.013649312730384602,0.32813381212332576,0.03624024863817429,0.43676700490094883,0.03494424580313221,0.37453082905570506,0.003745298039476563,0.003745298039476563,0.0037452980394765654,0.03146091291874699,0.018369235199033218,0.03146091291874699,0.005496662830514559,0.003745298039476563,0.003709622559109577
4,xlnet,xlnet,10000,128,True,768,0.5369284510000001,81.38679564,0.8308662713,78.15403699999999,0.7638239681000001,75.88379383,0.7588379503,0.7588379503,0.7588379503,0.4952356955,0.4207047636,0.4952356955,0.7351835135000001,0.7588379503,0.734448051,0.02310165685573584,0.7356259351660134,0.04526640164552855,0.4636794137876193,0.01168852120757424,0.45146456631974624,0.004514653392268584,0.004514653392268584,0.004514653392268584,0.022119649362327968,0.017494052391239145,0.022119649362327968,0.007074061924587436,0.004514653392268584,0.006870550463777738
5,convert,convert,10000,128,True,512,0.60473959,78.3114394,0.9113695500000002,76.5389906,0.8218247759999999,74.30663969999999,0.7444962000490316,0.7444962000490316,0.7444962000490316,0.4939890004502151,0.39022875860938316,0.4939890004502151,0.720869711245024,0.7444962000490316,0.7188932480373201,0.0015491556425643103,0.062321151123655424,0.013357040152666038,0.2208615346829111,0.01432537289818563,0.3437694423065931,0.00350308383644058,0.00350308383644058,0.003503083836440614,0.02470057928784007,0.017478216755826708,0.02470057928784007,0.003376686877098567,0.00350308383644058,0.004791604588879775
6,elmo,elmo,10000,128,True,1024,0.6829762309999998,77.1326657,0.7346705400000001,75.99929990000001,0.8305974749999999,73.1891255,0.7336356950232901,0.7336356950232901,0.7336356950232901,0.4792061809266328,0.40366451826245964,0.4792061809266328,0.7077102516522057,0.7336356950232901,0.7094656781879813,0.0019572362471576574,0.06546130030797961,0.005843922596483376,0.1971089967271052,0.009151593998784213,0.5310388649433099,0.005290027898982017,0.005290027898982017,0.005290027898981996,0.01946343635146741,0.014865905217160654,0.01946343635146741,0.0055727983780125626,0.005290027898982017,0.005243395767779773
7,use,use,10000,128,True,512,0.7535951169999999,75.2549398,0.7274294330000002,76.2035731,0.8373789500000001,73.50634800000002,0.736209855356705,0.736209855356705,0.736209855356705,0.4784706537339184,0.39574576686106266,0.4784706537339184,0.714371974685399,0.736209855356705,0.712386385625054,0.0004902117775241213,0.029627743315275748,0.002784375953734466,0.14672453821093215,0.004909358834140718,0.37956804147668394,0.003808508686027968,0.003808508686027968,0.003808508686027959,0.027048187357868958,0.006988393023364067,0.027048187357868958,0.005916686459000885,0.003808508686027968,0.004558763657821579
8,mlstm char lm,mlstm_char_lm,10000,128,True,4096,0.692108876,76.20055110000001,0.761838888,75.77733839999999,0.849324126,73.47591049999998,0.7362098553567051,0.7362098553567051,0.7362098553567051,0.49007803960892077,0.38821525803863255,0.49007803960892077,0.7123416708366707,0.7362098553567051,0.711722002564865,0.005091189800153015,0.11390038126992227,0.007999628996691446,0.25202963954053553,0.015741863764249922,0.6140724682118847,0.005964954675457937,0.005964954675457937,0.005964954675457935,0.03232767336046693,0.030831097115619394,0.03232767336046693,0.009044081296105868,0.005964954675457937,0.007939801813345682
9,nnlm,nnlm,10000,128,True,128,0.8089947869999999,74.3606218,0.8276553929999999,73.44434710000002,0.955394736,70.1228839,0.7022064231429272,0.7022064231429272,0.7022064231429272,0.41294714774412256,0.33588527833678195,0.41294714774412256,0.6682486621410566,0.7022064231429272,0.6725564980409235,0.0008252275983166048,0.028974028710786366,0.0017319836471132567,0.07238209909524246,0.007315713338070722,0.26169856664425195,0.002627884716030722,0.002627884716030722,0.002627884716030722,0.020603957974678896,0.011672950249151492,0.020603957974678896,0.002303269878437821,0.002627884716030722,0.002999121223027288
