index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
0,cnn,5,10,0.0,0.0,1.0,0.0,0.0,1.0
1,cnn,5,15,0.0,0.0,1.0,0.0,0.0,1.0
2,cnn,5,20,0.0,0.0,1.0,0.0,0.0,1.0
3,cnn,5,25,0.0,0.0,1.0,0.0,0.0,1.0
4,cnn,5,30,0.0,0.0,1.0,0.0,0.0,1.0
5,cnn,5,35,0.0,0.0,1.0,0.0,0.0,1.0
6,cnn,5,40,0.0,0.0,1.0,0.0,0.0,1.0
7,cnn,5,45,0.0,2e-05,0.99998,0.0,2e-05,0.99998
8,cnn,5,50,0.0,0.0,1.0,0.0,0.0,1.0
9,cnn,10,15,0.0,0.00032,0.99968,0.0,0.00032,0.99968
10,cnn,10,20,0.0,0.00016,0.99984,0.0,0.00016,0.99984
11,cnn,10,25,0.0,0.0,1.0,0.0,0.0,1.0
12,cnn,10,30,0.0,0.0,1.0,0.0,0.0,1.0
13,cnn,10,35,0.0,0.0,1.0,0.0,0.0,1.0
14,cnn,10,40,0.0,0.0,1.0,0.0,0.0,1.0
15,cnn,10,45,0.0,0.0,1.0,0.0,0.0,1.0
16,cnn,10,50,0.0,0.0,1.0,0.0,0.0,1.0
17,cnn,15,20,0.0,0.9996,0.0004,0.0,0.9996,0.0004
18,cnn,15,25,0.0,0.49284,0.50716,0.0,0.49284,0.50716
19,cnn,15,30,0.0,0.9155,0.0845,0.0,0.9155,0.0845
20,cnn,15,35,0.0,0.99768,0.00232,0.0,0.99768,0.00232
21,cnn,15,40,0.0,0.88466,0.11534,0.0,0.88466,0.11534
22,cnn,15,45,0.0,0.52648,0.47352,0.0,0.52648,0.47352
23,cnn,15,50,0.0,0.93042,0.06958,0.0,0.93042,0.06958
24,cnn,20,25,0.0,0.90286,0.09714,0.0,0.90286,0.09714
25,cnn,20,30,0.0,0.9689,0.0311,0.0,0.9689,0.0311
26,cnn,20,35,0.0,0.9872,0.0128,0.0,0.9872,0.0128
27,cnn,20,40,0.0,0.94822,0.05178,0.0,0.94822,0.05178
28,cnn,20,45,0.0,0.72706,0.27294,0.0,0.72706,0.27294
29,cnn,20,50,0.0,0.92094,0.07906,0.0,0.92094,0.07906
30,cnn,25,30,0.0,1.0,0.0,0.0,1.0,0.0
31,cnn,25,35,0.0,1.0,0.0,0.0,1.0,0.0
32,cnn,25,40,0.0,1.0,0.0,0.0,1.0,0.0
33,cnn,25,45,0.0,1.0,0.0,0.0,1.0,0.0
34,cnn,25,50,0.0,0.99998,2e-05,0.0,0.99998,2e-05
35,cnn,30,35,0.0,1.0,0.0,0.0,1.0,0.0
36,cnn,30,40,0.0,1.0,0.0,0.0,1.0,0.0
37,cnn,30,45,0.0,1.0,0.0,0.0,1.0,0.0
38,cnn,30,50,0.0,0.99998,2e-05,0.0,0.99998,2e-05
39,cnn,35,40,0.0,1.0,0.0,0.0,1.0,0.0
40,cnn,35,45,0.0,1.0,0.0,0.0,1.0,0.0
41,cnn,35,50,0.0,1.0,0.0,0.0,1.0,0.0
42,cnn,40,45,0.0,1.0,0.0,0.0,1.0,0.0
43,cnn,40,50,0.0,1.0,0.0,0.0,1.0,0.0
44,cnn,45,50,0.0,1.0,0.0,0.0,1.0,0.0
45,text cnn,5,10,0.0,0.0,1.0,0.0,0.0,1.0
46,text cnn,5,15,0.0,0.0,1.0,0.0,0.0,1.0
47,text cnn,5,20,0.0,0.0,1.0,0.0,0.0,1.0
48,text cnn,5,25,0.0,0.0,1.0,0.0,0.0,1.0
49,text cnn,5,30,0.0,2e-05,0.99998,0.0,2e-05,0.99998
50,text cnn,5,35,0.0,0.0,1.0,0.0,0.0,1.0
51,text cnn,5,40,0.0,0.0,1.0,0.0,0.0,1.0
52,text cnn,5,45,0.0,0.0,1.0,0.0,0.0,1.0
53,text cnn,5,50,0.0,0.0,1.0,0.0,0.0,1.0
54,text cnn,10,15,0.0,0.00194,0.99806,0.0,0.00194,0.99806
55,text cnn,10,20,0.0,0.0,1.0,0.0,0.0,1.0
56,text cnn,10,25,0.0,0.0,1.0,0.0,0.0,1.0
57,text cnn,10,30,0.0,0.00026,0.99974,0.0,0.00026,0.99974
58,text cnn,10,35,0.0,0.0,1.0,0.0,0.0,1.0
59,text cnn,10,40,0.0,4e-05,0.99996,0.0,4e-05,0.99996
60,text cnn,10,45,0.0,4e-05,0.99996,0.0,4e-05,0.99996
61,text cnn,10,50,0.0,0.00022,0.99978,0.0,0.00022,0.99978
62,text cnn,15,20,0.0,0.9772,0.0228,0.0,0.9772,0.0228
63,text cnn,15,25,0.0,0.86258,0.13742,0.0,0.86258,0.13742
64,text cnn,15,30,0.0,0.99634,0.00366,0.0,0.99634,0.00366
65,text cnn,15,35,0.0,0.92058,0.07942,0.0,0.92058,0.07942
66,text cnn,15,40,0.0,0.95934,0.04066,0.0,0.95934,0.04066
67,text cnn,15,45,0.0,0.9993,0.0007,0.0,0.9993,0.0007
68,text cnn,15,50,2e-05,0.97072,0.02926,2e-05,0.97072,0.02926
69,text cnn,20,25,0.0,1.0,0.0,0.0,1.0,0.0
70,text cnn,20,30,0.00018,0.99982,0.0,0.00018,0.99982,0.0
71,text cnn,20,35,0.0,1.0,0.0,0.0,1.0,0.0
72,text cnn,20,40,0.0,0.9999,0.0001,0.0,0.9999,0.0001
73,text cnn,20,45,0.0,1.0,0.0,0.0,1.0,0.0
74,text cnn,20,50,0.00074,0.99926,0.0,0.00074,0.99926,0.0
75,text cnn,25,30,0.01188,0.98812,0.0,0.01188,0.98812,0.0
76,text cnn,25,35,0.00142,0.99858,0.0,0.00142,0.99858,0.0
77,text cnn,25,40,0.00026,0.99974,0.0,0.00026,0.99974,0.0
78,text cnn,25,45,0.00304,0.99696,0.0,0.00304,0.99696,0.0
79,text cnn,25,50,0.0009,0.9991,0.0,0.0009,0.9991,0.0
80,text cnn,30,35,0.0,0.99412,0.00588,0.0,0.99412,0.00588
81,text cnn,30,40,2e-05,0.9969,0.00308,2e-05,0.9969,0.00308
82,text cnn,30,45,2e-05,0.99894,0.00104,2e-05,0.99894,0.00104
