index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.78408533,74.92063,0.7937166,75.043875,0.9015574000000001,72.19935699999999,0.7226581657675331,0.7226581657675331,0.7226581657675331,0.5065969896612836,0.3817030256330475,0.5065969896612836,0.7017262451055699,0.7226581657675331,0.6955011214542619
1,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.78662735,74.82082,0.7939411,74.96009000000001,0.88703376,73.28404,0.7341834232466895,0.7341834232466895,0.7341834232466896,0.5172334047698689,0.3779895278101801,0.5172334047698689,0.7096448270331235,0.7341834232466895,0.7062973115035168
2,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.784647,74.89348000000001,0.8059911999999999,74.507564,0.9093439,70.964706,0.7108876900441393,0.7108876900441393,0.7108876900441393,0.5106143281902342,0.3997630783081528,0.5106143281902342,0.6838798122743306,0.7108876900441393,0.6774691999340461
3,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.7824452,74.9445,0.7822749,75.241786,0.8805575999999999,73.06431500000001,0.7319764590485532,0.7319764590485532,0.7319764590485534,0.5226097616140455,0.3574768092250085,0.5226097616140455,0.7096572249170705,0.7319764590485532,0.7038982880294763
4,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.783609,74.956554,0.79456764,74.814224,0.9217314,71.59249,0.7175085826385483,0.7175085826385483,0.7175085826385483,0.4289961461259373,0.3615074171516268,0.4289961461259373,0.6832564432227589,0.7175085826385483,0.6831221183070592
5,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.78423923,74.90839,0.8069016,74.51689999999999,0.91152716,72.3005,0.724619911721432,0.724619911721432,0.724619911721432,0.4330895988247819,0.3649951151540991,0.4330895988247819,0.6911146725884655,0.724619911721432,0.6938942438232076
6,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.78143066,74.998385,0.7895918000000001,75.39395,0.88384104,72.405136,0.7253555664541442,0.7253555664541442,0.7253555664541442,0.4203422396759897,0.3343592180608775,0.4203422396759897,0.6973783714668156,0.7253555664541442,0.6969747423454216
7,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.7806801999999999,74.95692,0.803483,75.024503,0.92211944,71.9029,0.7209416380578715,0.7209416380578715,0.7209416380578715,0.3955665178159394,0.3261957995133415,0.3955665178159394,0.6840699734055178,0.7209416380578715,0.6930989433075714
8,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.78221375,74.974304,0.80638164,74.60232,0.9121956,72.23424,0.7236390387444825,0.7236390387444825,0.7236390387444825,0.4627281599749534,0.3573308990844701,0.4627281599749534,0.6929314602326269,0.7236390387444825,0.6952862466258287
9,cnn attn,2500,45,True,100,numberbatch,numberbatch-en,0.7852354,74.94852,0.7903848000000001,75.013536,0.9268857,71.48786,0.7167729279058362,0.7167729279058362,0.7167729279058361,0.5358079572504341,0.37089245871795296,0.5358079572504341,0.6937959828150039,0.7167729279058362,0.6903060031274003
10,text cnn attn,5500,25,True,300,numberbatch,numberbatch-en,0.72464037,77.15484500000001,0.76114666,75.390685,0.83081645,73.301476,0.7346738597351643,0.7346738597351643,0.7346738597351642,0.5235179748116501,0.38114883381291503,0.5235179748116501,0.7110251455731815,0.7346738597351643,0.7143254564946829
11,text cnn attn,5500,25,True,300,numberbatch,numberbatch-en,0.7282605,77.09581,0.76079476,75.6474,0.8242722,74.089706,0.7422756253065228,0.7422756253065228,0.7422756253065228,0.4447144433476288,0.38632105852856746,0.4447144433476288,0.7110481948786322,0.7422756253065228,0.7182537273601113
12,text cnn attn,5500,25,True,300,numberbatch,numberbatch-en,0.7239401,77.131265,0.7573757,75.64787,0.83736986,73.186386,0.7332025502697399,0.7332025502697399,0.7332025502697401,0.5169385067986747,0.3569633627934512,0.5169385067986747,0.7072984583391818,0.7332025502697399,0.7070025989508976
13,text cnn attn,5500,25,True,300,numberbatch,numberbatch-en,0.7210533,77.30229999999999,0.7548189999999999,75.825244,0.83713555,73.413086,0.7351642962236391,0.7351642962236391,0.7351642962236391,0.5039519141950972,0.3775347967002077,0.5039519141950972,0.7065645545599298,0.7351642962236391,0.7102352001836255
14,text cnn attn,5500,25,True,300,numberbatch,numberbatch-en,0.7248507,77.173465,0.7641204,75.667244,0.8467783999999999,72.893417,0.7302599313388917,0.7302599313388917,0.7302599313388917,0.5138425965514006,0.3894078149028841,0.5138425965514006,0.7126671077173816,0.7302599313388917,0.7041670874367802
15,text cnn attn,5500,25,True,300,numberbatch,numberbatch-en,0.7244239,77.160597,0.75446135,75.90786,0.8345758,73.55957,0.7366356056890633,0.7366356056890633,0.7366356056890632,0.4266740952377031,0.3668214589497465,0.4266740952377031,0.7053607507137021,0.7366356056890633,0.7118636338167954
16,text cnn attn,5500,25,True,300,numberbatch,numberbatch-en,0.72435886,77.15749,0.7585795999999999,75.70621999999999,0.838252,73.07129,0.7317312408043158,0.7317312408043158,0.731731240804316,0.4844326654806826,0.3813147159191638,0.4844326654806826,0.7023460151423313,0.7317312408043158,0.7048853115125586
17,text cnn attn,5500,25,True,300,numberbatch,numberbatch-en,0.72543,77.105457,0.75334847,75.762,0.8291269,73.69210000000001,0.7385973516429623,0.7385973516429623,0.7385973516429623,0.4667717643160385,0.3864982446421442,0.4667717643160385,0.7114699703394183,0.7385973516429623,0.7168463472106416
