index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,bi gru,8000,25,True,100,0.953950907,73.1617351,0.9100125059999999,74.34627019999999,0.912703825,72.340959,0.7249632172633644,0.7249632172633644,0.7249632172633647,0.37932763207549597,0.2878526535291492,0.37932763207549597,0.6851206907891754,0.7249632172633644,0.6905737546289967,0.006038742922397088,0.11569458720503832,0.010131678388951055,0.2634158382034005,0.011850197526187019,0.2786017545374247,0.0028484749406080694,0.0028484749406080694,0.002848474940608082,0.024764610650176096,0.01070329887946312,0.024764610650176096,0.006715885621698771,0.0028484749406080694,0.004758340010700134
1,bi lstm,7000,25,True,300,0.8414570139999998,75.78831140000001,0.962763955,74.94097180000001,0.9161336949999999,72.2649273,0.7241049534085336,0.7241049534085336,0.7241049534085336,0.3857726015121533,0.2966155556860966,0.3857726015121533,0.6892260638985889,0.7241049534085336,0.6882960038350173,0.014901971217149748,0.2891723437307037,0.016669795100106036,0.20217125630228405,0.01574926744911526,0.7798270970347007,0.007990796021346615,0.007990796021346615,0.007990796021346664,0.030006533933084743,0.01428708766708047,0.030006533933084743,0.006238058462620136,0.007990796021346615,0.012291295461439082
2,cnn attn,2500,45,True,100,0.7835213120000001,74.93225029999999,0.796723428,74.91187479999999,0.9056793000000001,72.1435544,0.7228543403629231,0.7228543403629231,0.7228543403629231,0.47335851039034677,0.36322133486587566,0.47335851039034677,0.6947455013061284,0.7228543403629231,0.6935848218457791,0.0018258767619651847,0.04986707626403166,0.008496324209179167,0.29978491108860134,0.016800807111030228,0.7019106748260145,0.006944291273220865,0.006944291273220865,0.006944291273220906,0.050890237005343196,0.021683353177012036,0.050890237005343196,0.009896216980569058,0.006944291273220865,0.008604246345257924
3,dcnn attn,7500,30,True,200,0.7591978699999999,75.6815366,0.7793510790000001,75.0087288,0.8844368260000002,72.1916837,0.7233692986758214,0.7233692986758214,0.7233692986758216,0.444179619299058,0.3514885412166,0.444179619299058,0.6952279866258558,0.7233692986758214,0.6980524752179879,0.002990082012256856,0.07815789662983325,0.00657514517756319,0.224963362550836,0.013638138952079397,0.30157463506515225,0.002918566440671305,0.002918566440671305,0.002918566440671343,0.02963070570308078,0.02399311643230772,0.02963070570308078,0.0064072435785370915,0.002918566440671305,0.003455338112024369
4,deep gru 2lyr,8000,25,True,100,0.8250883200000001,75.019606,0.84839232,75.32227900000001,0.9173759739999999,72.7835516,0.7291564492398235,0.7291564492398235,0.7291564492398235,0.402625997325843,0.2988143155415153,0.402625997325843,0.6920801149606193,0.7291564492398235,0.6967903519469183,0.002350072055112812,0.04717054408326607,0.006696008947904881,0.1805196183367483,0.012561901819027782,0.3698462537121815,0.003666903393192379,0.003666903393192379,0.0036669033931924005,0.022361101647330493,0.01035575752150148,0.022361101647330493,0.005822825018768369,0.003666903393192379,0.004316921930596644
5,deep gru 3lyr,8000,25,True,100,0.82593745,75.070786,0.859353313,75.09428800000002,0.9195935689999999,72.4344311,0.725649828347229,0.725649828347229,0.725649828347229,0.39170421013118,0.30200248987755696,0.39170421013118,0.6909379224585458,0.725649828347229,0.6917184431029008,0.003056078709068561,0.05858028649260505,0.009728136938853682,0.1915377085774709,0.011281980208824099,0.579815694886352,0.0058382773947712446,0.0058382773947712446,0.005838277394771232,0.0288356990547423,0.012955105875734722,0.0288356990547423,0.006446462187372645,0.0058382773947712446,0.007723935631404578
6,deep lstm 2lyr,7000,25,True,300,0.783674485,76.63102710000001,0.9191593789999999,75.39826150000002,0.8920614889999999,73.279506,0.7340117704757235,0.7340117704757235,0.7340117704757235,0.40028900310025495,0.3056973603013939,0.40028900310025495,0.7003936719197976,0.7340117704757235,0.7011538665359915,0.004461129425777597,0.07850417994738336,0.011520139804972913,0.14065200988116403,0.01017559221478472,0.5382411914584967,0.00543189008588088,0.00543189008588088,0.005431890085880883,0.022355121114800126,0.010380268622027775,0.022355121114800126,0.006322586479049392,0.00543189008588088,0.006388157692460842
7,deep lstm 3lyr,7000,25,True,300,0.77633314,77.03933029999999,0.9471976190000001,75.3680201,0.9033728740000001,73.2610216,0.7338891613536047,0.7338891613536047,0.7338891613536047,0.4039970726513239,0.3046971405378452,0.4039970726513239,0.6974081381383173,0.7338891613536047,0.7018345652817636,0.00643585169614539,0.14052286534625544,0.013220905925858928,0.19516759806863387,0.01342649151940975,0.4406613196045222,0.004323389201510893,0.004323389201510893,0.004323389201510885,0.02224007367707166,0.005748679983739281,0.02224007367707166,0.00686590674209373,0.004323389201510893,0.005074635036327737
8,gru attn,8000,25,True,100,0.875645355,74.20792279999999,0.8596842739999999,74.99129529999999,0.9180983050000002,72.50732450000001,0.7265080922020599,0.7265080922020599,0.7265080922020598,0.3858304457109826,0.2986180632992925,0.3858304457109826,0.6926488716581286,0.7265080922020599,0.6924687157616168,0.002584578810089015,0.05773329956657898,0.009824186329857546,0.195190378088248,0.012879338972761554,0.30314525061950987,0.003016727069573422,0.003016727069573422,0.0030167270695733808,0.025516396633344405,0.015078507804481662,0.025516396633344405,0.006610697432165447,0.003016727069573422,0.004348120076524769
9,gru crf,8000,25,True,100,-25.646254300000003,70.9076299,-26.6057505,70.51248140000001,-51.09655529999999,65.08227509999999,0.5678518881804806,0.5678518881804806,0.5678518881804806,0.27125283619121443,0.23131718187774597,0.27125283619121443,0.5782625147886673,0.5678518881804806,0.532352241143369,0.023784204782211917,0.14734457587004057,0.02718428976551691,0.34558171487224687,0.0360329946547462,1.8371857282784758,0.015779751146294207,0.015779751146294207,0.015779751146294207,0.025272882832280814,0.021014313921486394,0.025272882832280814,0.015681591401669488,0.015779751146294207,0.014810630238046726
10,lstm attn,7000,25,True,300,0.842574552,75.11387930000001,0.8578826110000002,75.67435939999999,0.898694911,72.8519106,0.7298430603236882,0.7298430603236882,0.7298430603236882,0.40790520472257585,0.3063290875254337,0.40790520472257585,0.6947752502126311,0.7298430603236882,0.6956641725639674,0.004590610567637676,0.06569987664803317,0.005719917282264077,0.11357293894840276,0.012721675348866816,0.5909410272763984,0.005766019058411315,0.005766019058411315,0.0057660190584113424,0.019986259577760866,0.01092213352930967,0.019986259577760866,0.007414761219142894,0.005766019058411315,0.00750872012144021
11,lstm crf,7000,25,True,300,-38.6605852,72.91694290000001,-39.555600000000005,70.8931053,-76.354002,63.268363,0.5599313388916135,0.5599313388916135,0.5599313388916135,0.27048459675080455,0.22342023291476626,0.27048459675080455,0.5642160590505982,0.5599313388916135,0.5417319316983891,0.03969677569274467,0.09251140139998293,0.04044422530953886,0.29465048765841556,0.0653250086890333,4.196348676766795,0.03908463944748706,0.03908463944748706,0.03908463944748706,0.023494374685748897,0.030440944921643016,0.023494374685748897,0.013299433398869338,0.03908463944748706,0.030614717592300028
12,rcnn attn,7500,40,True,200,0.936992121,73.5964835,0.9023879059999999,74.6934498,0.934617755,71.8352393,0.7197891123099559,0.7197891123099559,0.7197891123099559,0.3711620454379581,0.29025139017825796,0.3711620454379581,0.682585008556425,0.7197891123099559,0.6841851978878821,0.003729017381716465,0.05479777523515049,0.006202119997838035,0.20261762285195387,0.013404385733464077,0.6967717858623342,0.006958948333691126,0.006958948333691126,0.006958948333691153,0.022481108655611582,0.012687834802114646,0.022481108655611582,0.006147782661731759,0.006958948333691126,0.009351740046963312
