index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.8237844350000001,0.747453497,0.9174551580000001,0.7357544540000001,0.9713847430000001,0.7016927159999999,0.7035057612159844,0.7035057612159844,0.7035057612159844,0.4263856806629681,0.31777476618426614,0.4263856806629681,0.6724588215400905,0.7035057612159844,0.6711977700030476
1,cnn,5000,25,False,150,numberbatch,numberbatch-en,0.8348161199999999,0.745215123,0.9155651539999999,0.733965965,0.9740278040000001,0.701105132,0.7031380240254965,0.7031380240254965,0.7031380240254965,0.4150227928535224,0.31262464635816845,0.4150227928535224,0.6730455844547166,0.7031380240254965,0.6703980448138679
2,cnn,5000,25,False,200,numberbatch,numberbatch-en,0.843174788,0.7433382819999999,0.9222884919999998,0.733396508,0.9731313179999999,0.7000520770000002,0.7021083598921303,0.7021083598921303,0.7021083598921303,0.42165258265723204,0.3132371126435627,0.42165258265723204,0.6731831761916185,0.7021083598921303,0.6685863739899265
3,cnn,5000,25,False,250,numberbatch,numberbatch-en,0.851663139,0.741577768,0.920317869,0.7336855910000001,0.9822415699999999,0.7016471559999999,0.7034322137778868,0.7034322137778868,0.7034322137778868,0.41713037174743545,0.3043335335251497,0.41713037174743545,0.6764333932182979,0.7034322137778868,0.6689140118000775
4,cnn,5000,25,False,300,numberbatch,numberbatch-en,0.8595155560000001,0.7394973690000001,0.9123627129999999,0.7336649,0.9812154129999998,0.6993229120000001,0.7013483696984556,0.7013483696984556,0.7013483696984556,0.4269396471511002,0.3048165591571862,0.4269396471511002,0.6713337646438794,0.7013483696984556,0.6657957638177867
5,text cnn,5000,25,False,100,numberbatch,numberbatch-en,0.746742111,0.769491202,0.806130195,0.748023873,0.8879590669999999,0.7207698730000001,0.7225790634959549,0.7225790634959549,0.7225790634959549,0.4545971442458273,0.3543251726108048,0.4545971442458273,0.6954666370008683,0.7225790634959549,0.6954450121981108
6,text cnn,5000,25,False,150,numberbatch,numberbatch-en,0.722180555,0.777701928,0.8224765749999999,0.748799632,0.8868830299999999,0.7226155679999999,0.724515812699191,0.724515812699191,0.724515812699191,0.44329112686957445,0.3549387600304873,0.44329112686957445,0.6962312672580004,0.724515812699191,0.6975276171564102
7,text cnn,5000,25,False,200,numberbatch,numberbatch-en,0.704957509,0.7833153480000001,0.842254552,0.747275953,0.881994344,0.721834318,0.7237313066928168,0.7237313066928168,0.7237313066928168,0.4352091151798425,0.3487601215697669,0.4352091151798425,0.6942490788328373,0.7237313066928168,0.6969984345605694
8,text cnn,5000,25,False,250,numberbatch,numberbatch-en,0.6946098980000001,0.7866109659999999,0.849550386,0.7482112040000001,0.8839130049999999,0.722872744,0.7246629075753861,0.7246629075753861,0.7246629075753861,0.4496802664749505,0.3567721923038269,0.4496802664749505,0.6972823696126536,0.7246629075753861,0.6978214010809827
9,text cnn,5000,25,False,300,numberbatch,numberbatch-en,0.6850844909999999,0.789316711,0.860101549,0.7476493639999999,0.8839052439999999,0.72165204,0.7234371169404266,0.7234371169404266,0.7234371169404266,0.46232587136406644,0.35742514601790765,0.46232587136406644,0.6975493311778085,0.7234371169404266,0.6965610794899575
10,dcnn,5000,25,False,100,numberbatch,numberbatch-en,0.8134560429999999,0.747511283,0.8316023999999999,0.739740177,0.93714586,0.715948883,0.7180436381466047,0.7180436381466047,0.7180436381466047,0.4198225062918556,0.33434381711282424,0.4198225062918556,0.6891743930376343,0.7180436381466047,0.6906451006599251
11,dcnn,5000,25,False,150,numberbatch,numberbatch-en,0.793026527,0.7542152280000001,0.848664299,0.7393658220000001,0.9278336360000001,0.7185351630000001,0.7204461877911253,0.7204461877911253,0.7204461877911253,0.40966585973414144,0.33540168238914264,0.40966585973414144,0.6892700451819327,0.7204461877911253,0.6929103672058513
12,dcnn,5000,25,False,200,numberbatch,numberbatch-en,0.780217347,0.7580473879999999,0.8583014039999999,0.7398732060000001,0.9289632629999998,0.71496094,0.7169404265751409,0.7169404265751409,0.716940426575141,0.41082245179508153,0.33799711715665925,0.41082245179508153,0.6879656861714818,0.7169404265751409,0.6895143365686991
13,dcnn,5000,25,False,250,numberbatch,numberbatch-en,0.7747425480000001,0.7599258809999999,0.863964563,0.7388243659999999,0.9298156010000002,0.717890635,0.719882324099044,0.719882324099044,0.719882324099044,0.4152222358442348,0.3375940163011676,0.4152222358442348,0.6875611180867834,0.719882324099044,0.6907308063352681
14,dcnn,5000,25,False,300,numberbatch,numberbatch-en,0.763598899,0.7629637720000001,0.8737967680000001,0.7387693009999998,0.928117969,0.7176351100000001,0.7195145869085561,0.7195145869085561,0.7195145869085561,0.40620617985116414,0.33745949353435045,0.40620617985116414,0.6890652832674207,0.7195145869085561,0.6919456332722931
15,rcnn,5000,25,False,100,numberbatch,numberbatch-en,1.0266509199999998,0.720287718,0.97310851,0.7341893840000001,1.0119986669999999,0.707843415,0.7099043883304732,0.7099043883304732,0.7099043883304732,0.33433271001906173,0.25185140408495854,0.33433271001906173,0.670070487403076,0.7099043883304732,0.67054033380749
16,rcnn,5000,25,False,150,numberbatch,numberbatch-en,1.01997545,0.7227536139999999,0.963971827,0.7353640830000001,1.006519447,0.706720376,0.7087766609463104,0.7087766609463104,0.7087766609463104,0.32459975310291267,0.2556358579698369,0.32459975310291267,0.668025531781379,0.7087766609463104,0.6694892287131048
17,rcnn,5000,25,False,200,numberbatch,numberbatch-en,1.0157723699999999,0.722964742,0.9667899969999999,0.734763178,0.994473505,0.7048323559999999,0.7067418484922776,0.7067418484922776,0.7067418484922776,0.34063336286908114,0.25798248257771966,0.34063336286908114,0.671576521648283,0.7067418484922776,0.6660485194687304
18,rcnn,5000,25,False,250,numberbatch,numberbatch-en,1.01232006,0.723757514,0.958419576,0.7379725269999999,0.985522063,0.7076969369999999,0.7097572934542781,0.7097572934542781,0.7097572934542781,0.33457642794725556,0.252588848175055,0.33457642794725556,0.6740902832611854,0.7097572934542781,0.67080882833834
19,rcnn,5000,25,False,300,numberbatch,numberbatch-en,1.0145556199999999,0.7235345389999999,0.9647092240000001,0.7358213630000001,0.9951843649999998,0.7077001920000001,0.7097327776415788,0.7097327776415788,0.7097327776415788,0.3402088891779241,0.2697233860633123,0.3402088891779241,0.6720608106615293,0.7097327776415788,0.6709907754533332
20,lstm,5000,25,False,100,numberbatch,numberbatch-en,0.9369436419999999,0.7318441750000001,0.9115485590000001,0.742241873,1.004063473,0.7093391849999999,0.7113508212797254,0.7113508212797254,0.7113508212797254,0.34846184549716525,0.260170050583275,0.34846184549716525,0.6816044963140067,0.7113508212797254,0.6725793563022268
