,no_punc,no_punc,no_punc,no_punc,no_punc,punc,punc,punc,punc,punc
,label,support,precision,recall,f1-score,label,support,precision,recall,f1-score
0,weighted avg,4078,0.6988043121976154,0.7227562530652281,0.6978978384868071,weighted avg,4078,0.7042283340519336,0.7294261893084846,0.7011801088199832
1,micro avg,4078,0.7227562530652281,0.7227562530652281,0.7227562530652281,micro avg,4078,0.7294261893084846,0.7294261893084846,0.7294261893084846
2,macro avg,4078,0.46341466310685187,0.36390683384171063,0.37214646121799977,macro avg,4078,0.46572311690322693,0.3532796497197535,0.37258428284004574
3,sd,1317,0.7628450269858885,0.8270311313591495,0.7934046363913085,sd,1317,0.7271121203695342,0.8880789673500381,0.7993435026112191
4,b,764,0.7336547156464173,0.9434554973821989,0.8252987870796806,b,764,0.7525650568970784,0.9390052356020944,0.835464790377803
5,sv,718,0.656431155725229,0.6495821727019498,0.6523902648512367,sv,718,0.7203035833434066,0.5523676880222842,0.6242892899128114
6,%,349,0.774820677295072,0.7822349570200573,0.7783864139926682,%,349,0.7937782123938413,0.8154727793696275,0.8041437211534699
7,aa,207,0.7635085634776626,0.42512077294685985,0.5439026348667172,aa,207,0.7229370784813962,0.41932367149758465,0.5282949848980121
8,qy,84,0.6841644123903254,0.75,0.7143407316558792,qy,84,0.6923270562350352,0.7857142857142856,0.7348977342192023
9,fc,81,0.7633424807705158,0.562962962962963,0.6452489891840079,fc,81,0.8158202716823407,0.5876543209876542,0.6824517371032967
10,ba,76,0.7344797178130512,0.8,0.7657802547770701,ba,76,0.755305844707834,0.8052631578947368,0.7787571276915791
11,ny,73,0.0,0.0,0.0,ny,73,0.17142857142857143,0.01643835616438356,0.028321839080459765
12,qw,55,0.7017994679131023,0.6472727272727272,0.672406213917094,qw,55,0.6991179337231969,0.7418181818181818,0.7192431108861573
13,qy^d,36,0.5072222222222222,0.1388888888888889,0.21618486656849828,qy^d,36,0.5319444444444444,0.16111111111111112,0.23941613941613943
14,bk,28,0.5653846153846154,0.2642857142857143,0.30598569157392685,bk,28,0.5272030651340996,0.22857142857142856,0.3004267425320057
15,ad,27,0.6012121212121213,0.2592592592592593,0.36095123463544515,ad,27,0.6693528693528693,0.22962962962962963,0.3367320261437909
16,nn,26,0.5306122448979592,1.0,0.6933333333333334,nn,26,0.5432397959183675,0.9461538461538461,0.6857011494252874
17,bf,23,0.4,0.017391304347826087,0.03333333333333333,bf,23,0.05,0.008695652173913044,0.014814814814814814
18,h,23,0.8245614035087719,0.6521739130434783,0.7282229965156796,h,23,0.8366755793226381,0.582608695652174,0.6821550233601884
19,b^m,21,0.4133333333333333,0.05714285714285714,0.09576586376586377,b^m,21,0.18619277662755923,0.11428571428571428,0.1297987556052072
20,bh,21,0.5124498586620002,0.49523809523809526,0.5020539152759949,bh,21,0.6960894660894661,0.6095238095238096,0.6463624482909791
21,^2,19,0.07787480063795854,0.05263157894736842,0.061984549806105925,^2,19,0.1812121212121212,0.07368421052631578,0.09956112852664578
22,^q,17,0.42666666666666664,0.11764705882352941,0.18299642386598905,^q,17,0.27999999999999997,0.047058823529411764,0.07846889952153109
23,qo,16,0.633030303030303,0.7875,0.7004815961472309,qo,16,0.7156862745098039,0.75,0.7320855614973262
24,"fo_o_fw_""_by_bc",15,1.0,0.09333333333333334,0.1691176470588235,"fo_o_fw_""_by_bc",15,0.5714285714285714,0.10666666666666669,0.1388888888888889
25,qh,12,0.3948412698412698,0.2833333333333333,0.3275438596491228,qh,12,0.4523809523809524,0.3,0.3505653021442495
26,na,10,0.0,0.0,0.0,na,10,0.0,0.0,0.0
27,br,9,0.7,0.26666666666666666,0.38461538461538464,br,9,0.862857142857143,0.4444444444444445,0.5799450549450549
28,^h,7,0.4833333333333333,0.14285714285714285,0.21080808080808083,^h,7,0.5333333333333333,0.14285714285714285,0.2188888888888889
29,ft,7,0.0,0.0,0.0,ft,7,0.0,0.0,0.0
30,aap_am,7,0.0,0.0,0.0,aap_am,7,0.0,0.0,0.0
31,no,6,0.0,0.0,0.0,no,6,0.0,0.0,0.0
32,ng,6,0.43999999999999995,0.29999999999999993,0.35151515151515145,ng,6,0.7166666666666666,0.3333333333333333,0.4477777777777778
33,fp,5,1.0,0.6,0.7420634920634921,fp,5,1.0,0.27999999999999997,0.42857142857142866
34,arp_nd,3,0.0,0.0,0.0,arp_nd,3,0.0,0.0,0.0
35,ar,3,0.0,0.0,0.0,ar,3,0.0,0.0,0.0
36,qrr,2,0.7,0.8,0.7,qrr,2,0.4666666666666666,0.4,0.4133333333333333
37,fa,2,0.7999999999999999,1.0,0.8800000000000001,fa,2,1.0,1.0,1.0
38,qw^d,1,0.0,0.0,0.0,qw^d,1,0.0,0.0,0.0
39,bd,1,0.4,0.4,0.4,bd,1,0.4,0.4,0.4
40,t1,1,0.0,0.0,0.0,t1,1,0.0,0.0,0.0
41,oo_co_cc,0,0.0,0.0,0.0,oo_co_cc,0,0.0,0.0,0.0
