index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,5000,25,False,100,random,random,1.0043968699999999,0.700598814,0.9221351569999999,0.720187795,1.0622034800000002,0.681933578,0.6839421427,0.6839421427,0.6839421427,0.36745492840000005,0.25946319679999996,0.36745492840000005,0.6557968707,0.6839421427,0.6418516339000001
1,cnn,5000,25,False,150,random,random,1.00885574,0.700825679,0.9326046179999998,0.719500874,1.0538502099999998,0.682215171,0.6841137533999999,0.6841137533999999,0.6841137533999999,0.3283547657,0.23872951520000002,0.3283547657,0.6516373357,0.6841137533999999,0.6437449597
2,cnn,5000,25,False,200,random,random,1.01108823,0.700718553,0.9449295769999999,0.7157790230000001,1.06402482,0.683269841,0.6853395441,0.6853395441,0.6853395441,0.3143965809,0.2424844562,0.3143965809,0.6492505069,0.6853395441,0.6444291723
3,cnn,5000,25,False,250,random,random,1.0181143900000003,0.6995522999999999,0.9440440210000001,0.717877143,1.0642312400000002,0.684358705,0.686516303015445,0.686516303015445,0.686516303015445,0.3280265610460448,0.24468920597108884,0.3280265610460448,0.653455164706157,0.686516303015445,0.6450234870013194
4,cnn,5000,25,False,300,random,random,1.02502394,0.6981338609999999,0.9478479100000001,0.7182166450000002,1.07836701,0.6804654909999999,0.6824957097327775,0.6824957097327775,0.6824957097327775,0.3376902044868043,0.2415224194840432,0.3376902044868043,0.6491530287307209,0.6824957097327775,0.6405224678564795
5,text cnn,5000,25,False,100,random,random,1.118504497,0.731660253,1.1692080189999998,0.720450126,1.08200852,0.6936702290000001,0.6957832803,0.6957832803,0.6957832803,0.4451762465,0.3258730922,0.4451762465,0.6641586982000001,0.6957832803,0.6648753135000001
6,text cnn,5000,25,False,150,random,random,0.9179586870000002,0.7523592769999999,1.0963718789999999,0.720935556,1.1108616599999999,0.6978678380000001,0.6998038736,0.6998038736,0.6998038736,0.4202855674,0.30985638690000006,0.4202855674,0.6655101213,0.6998038736,0.6681605879
7,text cnn,5000,25,False,200,random,random,0.8412986590000001,0.764510436,1.0838831899999999,0.724342796,1.11004291,0.6988867230000001,0.7008825692999999,0.7008825692999999,0.7008825692999999,0.4242592036,0.31214112810000005,0.4242592036,0.6683198959999999,0.7008825692999999,0.6696662622
8,text cnn,5000,25,False,250,random,random,0.7784683689999999,0.770980927,1.08408309,0.728347021,1.05004414,0.6987239460000001,0.7008580534444717,0.7008580534444717,0.7008580534444717,0.418549796627,0.30709593744056524,0.418549796627,0.6671038023828879,0.7008580534444717,0.6688918748123903
9,text cnn,5000,25,False,300,random,random,0.917624846,0.767523641,1.2054973299999996,0.725859787,1.1962677449999999,0.695292959,0.6975239029173819,0.6975239029173819,0.6975239029173819,0.4265956970645474,0.31916345235121824,0.4265956970645474,0.666767522433853,0.6975239029173819,0.6679615000278417
10,dcnn,5000,25,False,100,random,random,0.856240734,0.7305420380000001,0.8388634070000001,0.732542939,0.9602633819999999,0.701093728,0.7034322138,0.7034322138,0.7034322138,0.45326482859999995,0.3452775789,0.45326482859999995,0.6743670911,0.7034322138,0.6741576330000001
11,dcnn,5000,25,False,150,random,random,0.8339894939999999,0.736896614,0.855495705,0.730622513,0.959331852,0.702400695,0.7046334886000001,0.7046334886000001,0.7046334886000001,0.4346008845,0.33312705789999997,0.4346008845,0.6719862987,0.7046334886000001,0.6730349282000001
12,dcnn,5000,25,False,200,random,random,0.81694381,0.7419230710000001,0.8601027670000001,0.7314798,0.9493182199999998,0.705693347,0.707967639,0.707967639,0.707967639,0.4506308067,0.34450807299999997,0.4506308067,0.6813895005,0.707967639,0.6805470039000001
13,dcnn,5000,25,False,250,random,random,0.801334568,0.7465255329999999,0.862009963,0.734470688,0.9528789760000003,0.705668931,0.7079431233145379,0.7079431233145379,0.7079431233145379,0.4425611522957714,0.34320999334946484,0.4425611522957714,0.6768645681094845,0.7079431233145379,0.6788834719793525
14,dcnn,5000,25,False,300,random,random,0.7958531580000001,0.749755262,0.8603451759999998,0.7353829010000001,0.9606779339999999,0.7023535040000001,0.7047805834763421,0.7047805834763421,0.7047805834763423,0.42780624232380643,0.34760000950930414,0.42780624232380643,0.6725176986002064,0.7047805834763421,0.6758522020916143
15,rcnn,5000,25,False,100,random,random,1.09192136,0.6989338249999999,1.01991424,0.717061094,1.08832571,0.6858170389999999,0.6880362834,0.6880362834,0.6880362834,0.31287942409999997,0.2421571086,0.31287942409999997,0.6451407746,0.6880362834,0.6473458865999999
16,rcnn,5000,25,False,150,random,random,1.1025742,0.6977397989999998,1.0327969399999997,0.70829709,1.0966184600000002,0.6769075339999999,0.6792841382000001,0.6792841382000001,0.6792841382000001,0.29872271689999996,0.23450968849999998,0.29872271689999996,0.6395051984,0.6792841382000001,0.6350656413
17,rcnn,5000,25,False,200,random,random,1.1147397300000002,0.6946229500000001,1.03104646,0.708613709,1.1075961799999998,0.674571925,0.677077715,0.677077715,0.677077715,0.3078888673,0.2308977112,0.3078888673,0.6382435497,0.677077715,0.6342095069000001
18,rcnn,5000,25,False,250,random,random,1.11827358,0.6940400079999999,1.0406186099999999,0.706214048,1.13641233,0.6740722530000001,0.6764648198087767,0.6764648198087767,0.6764648198087767,0.3053077900557679,0.22945015248461922,0.3053077900557679,0.6365117198561429,0.6764648198087767,0.6340607625169191
