index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,10000,128,False,50,glove,glove.6B.50d,0.7602453140000001,0.7610071829999999,0.879155223,0.744597645,0.914504545,0.715265314,0.7165236577592549,0.7165236577592549,0.7165236577592549,0.435243518870038,0.34448699588173737,0.435243518870038,0.6900484990652205,0.7165236577592549,0.6857228260851083
1,cnn,10000,128,True,50,glove,glove.6B.50d,0.811374592,0.7507395600000001,0.9322474299999998,0.7349150480000001,0.9644064689999998,0.7059944709999999,0.7079921549399363,0.7079921549399363,0.7079921549399363,0.438103497848959,0.3251567007019867,0.438103497848959,0.6777589584486605,0.7079921549399363,0.6754483290722023
2,text cnn,10000,128,False,50,glove,glove.6B.50d,0.7721024199999998,0.75020819,0.750357718,0.7561101159999999,0.8543440459999999,0.727905289,0.729271880362834,0.729271880362834,0.729271880362834,0.4655648699090877,0.35404047821201773,0.4655648699090877,0.6981079549618302,0.729271880362834,0.7014287519560997
3,text cnn,10000,128,True,50,glove,glove.6B.50d,0.81928014,0.7402564309999999,0.791545541,0.7464312710000001,0.902899243,0.717819036,0.7195881343466536,0.7195881343466536,0.7195881343466536,0.42485256585288267,0.3288043538562041,0.42485256585288267,0.6887005920199345,0.7195881343466536,0.6907854750346776
4,dcnn,10000,128,False,50,glove,glove.6B.50d,0.810561359,0.7398189000000001,0.763793608,0.750176118,0.849003615,0.7279801610000001,0.7295415543025252,0.7295415543025252,0.7295415543025252,0.4296948858897565,0.3402590581933402,0.4296948858897565,0.6989473724056279,0.7295415543025252,0.7022197578967618
5,dcnn,10000,128,True,50,glove,glove.6B.50d,0.8725685610000001,0.7281282539999999,0.812301003,0.7395993649999999,0.897696629,0.7181722199999999,0.7200539347879382,0.7200539347879382,0.7200539347879382,0.4241832839044185,0.3290298540912683,0.4241832839044185,0.6894040613631628,0.7200539347879382,0.6885970134430075
6,rcnn,10000,128,False,50,glove,glove.6B.50d,1.0255302144444445,0.7273193555555557,0.9779933700000001,0.740616441111111,0.9660098455555555,0.7199815688888889,0.7215003677371906,0.7215003677371906,0.7215003677371906,0.36782368676302685,0.2724744039638314,0.36782368676302685,0.683426519163409,0.7215003677371906,0.6828533443054053
7,rcnn,10000,128,True,50,glove,glove.6B.50d,1.0381643727272727,0.7177551672727271,0.9737372981818182,0.7337377245454545,1.0104418818181815,0.7083732663636364,0.7102899552029242,0.7102899552029242,0.7102899552029242,0.3121959517912429,0.25536124832221335,0.3121959517912429,0.6681277346166686,0.7102899552029242,0.6728147968995065
8,lstm,10000,128,False,50,glove,glove.6B.50d,0.843778099,0.7504294139999999,0.8683342210000001,0.75251976,0.9372516299999999,0.7233968310000001,0.724883549889679,0.724883549889679,0.724883549889679,0.37578563303511325,0.3052563719086529,0.37578563303511325,0.6898698423066667,0.724883549889679,0.6927142080903672
9,lstm,10000,128,True,50,glove,glove.6B.50d,0.9070192359999998,0.737767686,0.9119143920000001,0.743395426,0.9832727450000001,0.7154329340000001,0.7175533218926208,0.7175533218926208,0.7175533218926208,0.317312064325506,0.2592863486063041,0.317312064325506,0.6751989179672481,0.7175533218926208,0.6795605359864716
10,bi lstm,10000,128,False,50,glove,glove.6B.50d,0.8671388400000002,0.7457558099999999,0.8794045350000002,0.7487941979999999,0.955779833,0.7228320469999998,0.7243442020102966,0.7243442020102966,0.7243442020102966,0.36265457226707853,0.29710588658749887,0.36265457226707853,0.6887845129623184,0.7243442020102966,0.6913588839679663
11,bi lstm,10000,128,True,50,glove,glove.6B.50d,0.938850064,0.7316961980000001,0.9271579149999999,0.739105208,1.0065110330000002,0.7146907439999999,0.7168913949497426,0.7168913949497426,0.7168913949497426,0.2947673413123477,0.2544840594146657,0.2947673413123477,0.6715802469984047,0.7168913949497426,0.6784997731319423
12,gru,10000,128,False,50,glove,glove.6B.50d,1.001522734,0.723621272,0.9578970339999999,0.7369741070000002,0.9510069229999999,0.714360367,0.7158372150036774,0.7158372150036774,0.7158372150036774,0.375409349174033,0.2762195701104129,0.375409349174033,0.6793110405614662,0.7158372150036774,0.6788444050788977
13,gru,10000,128,True,50,glove,glove.6B.50d,1.06006819,0.7114873710000001,0.999929897,0.7290817029999999,0.9882068900000001,0.7095426249999999,0.7116940426575141,0.7116940426575141,0.7116940426575141,0.34276756442813017,0.2638775304392721,0.34276756442813017,0.672102340889506,0.7116940426575141,0.6747508367346169
14,bi gru,10000,128,False,50,glove,glove.6B.50d,1.0529907600000001,0.7156320180000001,0.993736714,0.729191568,0.949278848,0.7154915589999999,0.7171120372640354,0.7171120372640354,0.7171120372640354,0.3737010090032941,0.2805279100207847,0.3737010090032941,0.6783711209163862,0.7171120372640354,0.6803254128700282
15,bi gru,10000,128,True,50,glove,glove.6B.50d,1.12310698,0.7023361079999999,1.04307619,0.719959851,0.9936921780000001,0.707980111,0.7101250306447658,0.7101250306447658,0.7101250306447658,0.34423970070592824,0.25925614021651844,0.34423970070592824,0.6731184020098352,0.7101250306447658,0.6711099326081166
