index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,5000,25,False,100,word2vec,GoogleNews-vectors-negative300,0.824865037,0.747152299,0.916607694,0.7363128489999999,0.9677817470000001,0.701652019,0.703603824466781,0.703603824466781,0.703603824466781,0.4101921889344301,0.3043207475622799,0.4101921889344301,0.673172760814048,0.703603824466781,0.6705200146342187
1,cnn,5000,25,False,150,word2vec,GoogleNews-vectors-negative300,0.836355767,0.744496411,0.9183536510000001,0.7341282410000001,0.9828859249999999,0.699884432,0.7019122333905369,0.7019122333905369,0.701912233390537,0.4257996203457151,0.32450645453046845,0.4257996203457151,0.6730904005753251,0.7019122333905369,0.6680152194031221
2,cnn,5000,25,False,200,word2vec,GoogleNews-vectors-negative300,0.8455650370000001,0.7428580319999999,0.9192400239999999,0.7337636940000001,0.9774686899999999,0.6975292949999999,0.6994361363079186,0.6994361363079186,0.6994361363079186,0.406276984247385,0.2960431398378131,0.406276984247385,0.6709288442486687,0.6994361363079186,0.66482305955822
3,cnn,5000,25,False,250,word2vec,GoogleNews-vectors-negative300,0.8543421929999999,0.74092983,0.915025309,0.733820633,0.981228057,0.6984684140000001,0.7004903162539837,0.7004903162539837,0.7004903162539837,0.42917205115722534,0.3227412643867772,0.42917205115722534,0.6712951928396401,0.7004903162539837,0.6661434400152109
4,cnn,5000,25,False,300,word2vec,GoogleNews-vectors-negative300,0.861109381,0.7391596310000002,0.913651093,0.7343561789999999,0.988153677,0.697843429,0.6997793576857074,0.6997793576857074,0.6997793576857074,0.4118576038561109,0.29590071868179824,0.4118576038561109,0.6710361939050566,0.6997793576857074,0.6668031956656122
5,text cnn,5000,25,False,100,word2vec,GoogleNews-vectors-negative300,0.7450801439999999,0.770460916,0.8119376019999999,0.7477805200000001,0.899845025,0.7182063989999999,0.72000490316254,0.72000490316254,0.72000490316254,0.4556750566460761,0.34715318217928004,0.4556750566460761,0.6914582458478151,0.72000490316254,0.6915310794863526
6,text cnn,5000,25,False,150,word2vec,GoogleNews-vectors-negative300,0.721258386,0.77827542,0.8344822649999999,0.74641804,0.8895630349999999,0.7212679270000001,0.7229958323118412,0.7229958323118412,0.7229958323118412,0.4501309246712223,0.35807271385341294,0.4501309246712223,0.6965737123146315,0.7229958323118412,0.6970681908218497
7,text cnn,5000,25,False,200,word2vec,GoogleNews-vectors-negative300,0.7058710779999999,0.783106936,0.8476579659999999,0.7474390019999999,0.8861471160000001,0.7206754740000001,0.7224564844324588,0.7224564844324588,0.7224564844324589,0.4649412609804158,0.3562350811696523,0.4649412609804158,0.6986141891778863,0.7224564844324588,0.6968401162928812
8,text cnn,5000,25,False,250,word2vec,GoogleNews-vectors-negative300,0.696208497,0.786344597,0.8570706220000002,0.7469218169999999,0.8826061490000001,0.719663108,0.7213287570482961,0.7213287570482961,0.7213287570482962,0.44815179037436803,0.3587081420612788,0.44815179037436803,0.6958549506583798,0.7213287570482961,0.6955449780869559
9,text cnn,5000,25,False,300,word2vec,GoogleNews-vectors-negative300,0.686634138,0.789129532,0.867002576,0.7459560909999999,0.883456665,0.721101898,0.7229958323118412,0.7229958323118412,0.7229958323118412,0.4561605469066731,0.35595002648760155,0.4561605469066731,0.6950782704462475,0.7229958323118412,0.6960746135791896
10,dcnn,5000,25,False,100,word2vec,GoogleNews-vectors-negative300,0.8092921579999999,0.750135874,0.8415225959999999,0.738705658,0.9412509229999999,0.713754888,0.7158126991909782,0.7158126991909782,0.7158126991909782,0.4093434131975828,0.332946580754095,0.4093434131975828,0.6861836747141148,0.7158126991909782,0.6889887457201378
11,dcnn,5000,25,False,150,word2vec,GoogleNews-vectors-negative300,0.7904685240000001,0.755894839,0.8547330069999999,0.7385625200000001,0.944092919,0.713824869,0.7159107624417749,0.7159107624417749,0.715910762441775,0.40970216242836865,0.3368349374248555,0.40970216242836865,0.6845042585665408,0.7159107624417749,0.6880460506420489
12,dcnn,5000,25,False,200,word2vec,GoogleNews-vectors-negative300,0.780387623,0.7591596380000001,0.862880524,0.738828264,0.9292717119999999,0.7150585919999999,0.7170384898259378,0.7170384898259378,0.7170384898259378,0.40274449921532673,0.3267359894616166,0.40274449921532673,0.6856158777933516,0.7170384898259378,0.6882988155073263
13,dcnn,5000,25,False,250,word2vec,GoogleNews-vectors-negative300,0.7758096369999999,0.760301086,0.866025791,0.7388929899999999,0.9293791719999998,0.7159049729999999,0.7177494483942144,0.7177494483942144,0.7177494483942144,0.4039045060941618,0.3319576543557891,0.4039045060941618,0.6861670872429205,0.7177494483942144,0.6898681991842212
14,dcnn,5000,25,False,300,word2vec,GoogleNews-vectors-negative300,0.7705246239999999,0.761483414,0.8629941649999999,0.740454634,0.9256067269999999,0.7160172570000001,0.7179455748958078,0.7179455748958078,0.7179455748958078,0.4197944972017864,0.33225567150576596,0.4197944972017864,0.6881336650036136,0.7179455748958078,0.6914926404370034
15,rcnn,5000,25,False,100,word2vec,GoogleNews-vectors-negative300,1.02324102,0.7203307590000001,0.9681764099999999,0.7338866069999999,1.015440683,0.7078401510000001,0.7099289041431723,0.7099289041431723,0.7099289041431723,0.31999411631233976,0.24842768071704469,0.31999411631233976,0.6686545814106085,0.7099289041431723,0.6703138750845141
16,rcnn,5000,25,False,150,word2vec,GoogleNews-vectors-negative300,1.02067766,0.721817003,0.967850379,0.735289862,1.00910004,0.709521473,0.7116450110321157,0.7116450110321157,0.7116450110321157,0.3170892346290722,0.25645721172266905,0.3170892346290722,0.6692564275747948,0.7116450110321157,0.6727796146738622
17,rcnn,5000,25,False,200,word2vec,GoogleNews-vectors-negative300,1.02048149,0.7225595969999999,0.968809268,0.735153727,0.9961901989999999,0.70672689,0.7087276293209119,0.7087276293209119,0.7087276293209119,0.33411733792689746,0.2567924249884249,0.33411733792689746,0.66926513993882,0.7087276293209119,0.6687586070025496
18,rcnn,5000,25,False,250,word2vec,GoogleNews-vectors-negative300,1.01510922,0.7236268370000001,0.959129757,0.73703433,0.99739819,0.7073762799999999,0.7094631037018877,0.7094631037018877,0.7094631037018878,0.3398419264212461,0.26229204260824635,0.3398419264212461,0.6686416306380673,0.7094631037018877,0.6703028990272749
19,rcnn,5000,25,False,300,word2vec,GoogleNews-vectors-negative300,1.01638206,0.7227977969999999,0.958068233,0.735594353,0.9961512899999999,0.709238262,0.7112772738416278,0.7112772738416278,0.7112772738416278,0.3530347365122723,0.2677359031053933,0.3530347365122723,0.6742227084464403,0.7112772738416278,0.6717363117830267
20,lstm,5000,25,False,100,word2vec,GoogleNews-vectors-negative300,0.9357461990000001,0.7316955079999999,0.9174413650000002,0.740981764,1.0049460419999998,0.707858047,0.7100024515812698,0.7100024515812698,0.7100024515812698,0.3258517132690609,0.25586140616758846,0.3258517132690609,0.6748706220721875,0.7100024515812698,0.6702377967335018
21,lstm,5000,25,False,150,word2vec,GoogleNews-vectors-negative300,0.926458977,0.7347081500000001,0.919621291,0.740859624,0.9947325929999998,0.7115055180000001,0.7135817602353518,0.7135817602353518,0.7135817602353518,0.3586150309574625,0.2725276325974981,0.3586150309574625,0.6795193049668476,0.7135817602353518,0.6752249344464303
22,lstm,5000,25,False,200,word2vec,GoogleNews-vectors-negative300,0.9218688190000002,0.7361867440000001,0.9172876069999999,0.743761511,0.9794148439999999,0.7124609329999999,0.714513361117921,0.714513361117921,0.714513361117921,0.33957845444361234,0.2665132321714247,0.33957845444361234,0.6792806279367787,0.714513361117921,0.6769795382745525
23,lstm,5000,25,False,250,word2vec,GoogleNews-vectors-negative300,0.921976696,0.737136042,0.9277644489999999,0.74294981,0.9841258670000002,0.7124755770000001,0.7146114243687179,0.7146114243687179,0.7146114243687179,0.3459698479195733,0.2615175007310301,0.3459698479195733,0.681394610310853,0.7146114243687179,0.6768843063232475
24,lstm,5000,25,False,300,word2vec,GoogleNews-vectors-negative300,0.9217290109999998,0.7373578239999999,0.9307273970000001,0.7430932560000001,0.9811491069999999,0.7142236200000001,0.7164501103211571,0.7164501103211571,0.7164501103211571,0.3377954562750741,0.26375055061724106,0.3377954562750741,0.6789632511432483,0.7164501103211571,0.6788415429458527
25,gru,5000,25,False,100,word2vec,GoogleNews-vectors-negative300,1.0402846999999997,0.7165067430000001,0.9841865310000001,0.732386425,0.9926556470000001,0.7081656730000001,0.710394704584457,0.710394704584457,0.710394704584457,0.3366703423263523,0.2563174222706419,0.3366703423263523,0.6709173480359132,0.710394704584457,0.6717924933744578
26,gru,5000,25,False,150,word2vec,GoogleNews-vectors-negative300,1.0464511,0.717029375,0.9918249939999999,0.7325543099999999,0.9820753900000001,0.708920881,0.7109585682765384,0.7109585682765384,0.7109585682765384,0.3560865577638376,0.26747645330593806,0.3560865577638376,0.6733389303623529,0.7109585682765384,0.6730270766485125
27,gru,5000,25,False,200,word2vec,GoogleNews-vectors-negative300,1.0588740299999997,0.715206609,1.0009608,0.7306021389999999,0.9869087299999999,0.7072233050000001,0.709365040451091,0.709365040451091,0.709365040451091,0.3455286709624648,0.2609723459815062,0.3455286709624648,0.673932645078819,0.709365040451091,0.6699209786373923
28,gru,5000,25,False,250,word2vec,GoogleNews-vectors-negative300,1.06036184,0.715504287,1.0079447150000003,0.730662341,0.9733889039999999,0.7131070860000001,0.715273351311596,0.715273351311596,0.715273351311596,0.3485769616801262,0.26369661948639544,0.3485769616801262,0.6752220641945927,0.715273351311596,0.6782161277715242
29,gru,5000,25,False,300,word2vec,GoogleNews-vectors-negative300,1.0611379300000001,0.715877808,1.0102288939999997,0.7291518939999999,0.983756829,0.706341128,0.7085069870066192,0.7085069870066192,0.7085069870066192,0.3534282560163201,0.26417183305874636,0.3534282560163201,0.6734494654159601,0.7085069870066192,0.6682050927922427
