'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_5seqlength_1,cnn,1700,5,True,50,glove,glove.6B.50d,1.0416616,0.6339062,1.3549962,0.56419337,1.1799914,0.5854885,0.5861694424330196,0.5861694424330196,0.5861694424330196,0.5611155124748716,0.5235770433535297,0.5611155124748716,0.5886720680315269,0.5861694424330196,0.5688101619822392
cnn_5seqlength_2,cnn,1700,5,True,50,glove,glove.6B.50d,1.0382366,0.6347569,1.3334353,0.5638838,1.1932731,0.5851293,0.5858073859522085,0.5858073859522085,0.5858073859522085,0.5456910054126589,0.5122583862472687,0.5456910054126589,0.5756858100955602,0.5858073859522085,0.5596502462290451
cnn_5seqlength_3,cnn,1700,5,True,50,glove,glove.6B.50d,1.0480387,0.634662,1.3023798,0.5718969,1.2374755,0.58297414,0.5836350470673425,0.5836350470673425,0.5836350470673425,0.572357968437309,0.5094750677860994,0.572357968437309,0.5923684701336162,0.5836350470673425,0.5695146925475965
cnn_5seqlength_4,cnn,1700,5,True,50,glove,glove.6B.50d,1.0392271,0.6332379,1.339095,0.5649985,1.1944906,0.5883621,0.5890658942795076,0.5890658942795076,0.5890658942795076,0.5337346070375791,0.5190112655237608,0.5337346070375791,0.5702213171895584,0.5890658942795076,0.567347224680056
cnn_5seqlength_5,cnn,1700,5,True,50,glove,glove.6B.50d,1.0435733,0.6354015,1.3467538,0.5704793,1.221929,0.58477014,0.5854453294713975,0.5854453294713975,0.5854453294713975,0.5900425045712748,0.510810099269246,0.5900425045712748,0.5958491542386967,0.5854453294713975,0.5630550113543898
cnn_5seqlength_6,cnn,1700,5,True,50,glove,glove.6B.50d,1.043424,0.6355555,1.3480871,0.55947393,1.2122287,0.5787356,0.5785662563359885,0.5785662563359885,0.5785662563359885,0.5428111173807033,0.5128248644158168,0.5428111173807033,0.5658780352587652,0.5785662563359885,0.5514621783723159
cnn_5seqlength_7,cnn,1700,5,True,50,glove,glove.6B.50d,1.0381055,0.63647884,1.3614796,0.56734234,1.237098,0.58412355,0.5839971035481535,0.5839971035481535,0.5839971035481535,0.5398650191532002,0.5130894247747217,0.5398650191532002,0.5752733479398989,0.5839971035481535,0.5599051166460947
cnn_5seqlength_8,cnn,1700,5,True,50,glove,glove.6B.50d,1.0409652,0.63635474,1.3500032,0.56763405,1.2012317,0.5869971,0.5868935553946416,0.5868935553946416,0.5868935553946416,0.5585972038411361,0.5220094646994466,0.5585972038411361,0.5870442254458325,0.5868935553946416,0.5649526254541402
cnn_5seqlength_9,cnn,1700,5,True,50,glove,glove.6B.50d,1.0474336,0.6354653,1.3484213,0.56449,1.2265395,0.57758623,0.5782041998551775,0.5782041998551775,0.5782041998551775,0.5306738356409154,0.5033033888063662,0.5306738356409154,0.5703303851906704,0.5782041998551775,0.5472623194188919
cnn_5seqlength_10,cnn,1700,5,True,50,glove,glove.6B.50d,1.042225,0.63537776,1.3524495,0.56417334,1.2012756,0.5804598,0.5811006517016655,0.5811006517016655,0.5811006517016655,0.5739954318931477,0.5356293368653187,0.5739954318931477,0.5854923352221268,0.5811006517016655,0.5596936290342904
text_cnn_5seqlength_1,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.1317503,0.60683686,1.2632996,0.567661,1.1787497,0.57758623,0.5782041998551775,0.5782041998551775,0.5782041998551775,0.5502633062838262,0.5034490363911399,0.5502633062838262,0.5758270389082386,0.5782041998551775,0.5596606476641084
text_cnn_5seqlength_2,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.1389486,0.6058178,1.2608227,0.56379664,1.1743264,0.58189654,0.5825488776249095,0.5825488776249095,0.5825488776249095,0.5360828763768622,0.5088723685086171,0.5360828763768622,0.5713415170018553,0.5825488776249095,0.5633571980914793
text_cnn_5seqlength_3,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.1350513,0.60782677,1.2693007,0.56614745,1.1852683,0.5840517,0.5847212165097755,0.5847212165097755,0.5847212165097755,0.5710109954026197,0.518008483277757,0.5710109954026197,0.5997787627403081,0.5847212165097755,0.5738540638556903
text_cnn_5seqlength_4,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.1445701,0.60388553,1.2677895,0.5621093,1.1809392,0.5854885,0.5861694424330196,0.5861694424330196,0.5861694424330196,0.55421711464655,0.5136408595643448,0.55421711464655,0.586827313027897,0.5861694424330196,0.5650431096204894
text_cnn_5seqlength_5,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.134607,0.6080201,1.2795582,0.55968463,1.1821253,0.5804598,0.5811006517016655,0.5811006517016655,0.5811006517016655,0.5540986258516489,0.5039913705672855,0.5540986258516489,0.5797439173291309,0.5811006517016655,0.5579308064396502
text_cnn_5seqlength_6,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.1313912,0.6062554,1.2699074,0.560424,1.1949198,0.5811782,0.5818247646632875,0.5818247646632875,0.5818247646632875,0.5737150315168595,0.5044173220735645,0.5737150315168595,0.5871761496721984,0.5818247646632875,0.5610954073513814
text_cnn_5seqlength_7,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.1400363,0.6045057,1.2706562,0.5601922,1.1765612,0.5793822,0.5800144822592325,0.5800144822592325,0.5800144822592325,0.5556600591309837,0.5128718770630354,0.5556600591309837,0.587037930517047,0.5800144822592325,0.5621527431464701
text_cnn_5seqlength_8,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.1259695,0.60892856,1.2579335,0.56121516,1.1847343,0.5787356,0.5785662563359885,0.5785662563359885,0.5785662563359885,0.5595804172257199,0.4963555004967995,0.5595804172257199,0.5740121708283471,0.5785662563359885,0.556796199475742
text_cnn_5seqlength_9,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.1360985,0.60677314,1.2709694,0.5634371,1.1807458,0.5844109,0.5850832729905865,0.5850832729905865,0.5850832729905865,0.5723957269491659,0.5189460512701679,0.5723957269491659,0.5935878667468582,0.5850832729905865,0.570872183586026
text_cnn_5seqlength_10,text_cnn,1700,5,True,50,glove,glove.6B.50d,1.129089,0.6095236,1.2801446,0.56368184,1.1844726,0.5844109,0.5850832729905865,0.5850832729905865,0.5850832729905865,0.5719111307133827,0.5208236060460848,0.5719111307133827,0.5953712746519408,0.5850832729905865,0.5665413035598802
dcnn_5seqlength_1,dcnn,1700,5,True,50,glove,glove.6B.50d,1.2733946,0.562274,1.3126975,0.5507971,1.2005528,0.5805316,0.5803765387400435,0.5803765387400435,0.5803765387400435,0.5475570302101512,0.4981926539895345,0.5475570302101512,0.5735443077113993,0.5803765387400435,0.5561139085942
dcnn_5seqlength_2,dcnn,1700,5,True,50,glove,glove.6B.50d,1.2388579,0.5750353,1.3035415,0.5569882,1.2036297,0.579454,0.5792903692976105,0.5792903692976105,0.5792903692976105,0.516773162830526,0.4958604587214006,0.516773162830526,0.5573524476095402,0.5792903692976105,0.5507978207871156
dcnn_5seqlength_3,dcnn,1700,5,True,50,glove,glove.6B.50d,1.263046,0.56685096,1.331851,0.54752845,1.2051653,0.57370687,0.5734974656046343,0.5734974656046343,0.5734974656046343,0.524276648077572,0.4867926369385729,0.524276648077572,0.5625561096300282,0.5734974656046343,0.5484576005771562
dcnn_5seqlength_4,dcnn,1700,5,True,50,glove,glove.6B.50d,1.2354246,0.5753446,1.3018701,0.5607217,1.2053298,0.5801006,0.5807385952208545,0.5807385952208545,0.5807385952208545,0.5338323787330722,0.4988438899251411,0.5338323787330722,0.5746888269847553,0.5807385952208545,0.5528284192321312
dcnn_5seqlength_5,dcnn,1700,5,True,50,glove,glove.6B.50d,1.2580371,0.56920516,1.3278207,0.5467921,1.1971003,0.58297414,0.5836350470673425,0.5836350470673425,0.5836350470673425,0.5393853329237409,0.5101585332719324,0.5393853329237409,0.5781938898375526,0.5836350470673425,0.5579035519964917
dcnn_5seqlength_6,dcnn,1700,5,True,50,glove,glove.6B.50d,1.2445933,0.57342046,1.3098146,0.5528022,1.2131616,0.5729167,0.5734974656046343,0.5734974656046343,0.5734974656046343,0.5386155968858896,0.4922809446946445,0.5386155968858896,0.5746257027032782,0.5734974656046343,0.5508753909109624
dcnn_5seqlength_7,dcnn,1700,5,True,50,glove,glove.6B.50d,1.2483053,0.57220674,1.3106807,0.55454355,1.2042999,0.57866377,0.5792903692976105,0.5792903692976105,0.5792903692976105,0.5508127797544551,0.49533193107504453,0.5508127797544551,0.5741448778646355,0.5792903692976105,0.5541265855190624
dcnn_5seqlength_8,dcnn,1700,5,True,50,glove,glove.6B.50d,1.2453467,0.5731166,1.3169638,0.5535555,1.2045957,0.58261496,0.5832729905865315,0.5832729905865315,0.5832729905865315,0.5543433650607702,0.5140331775250325,0.5543433650607702,0.589043312824632,0.5832729905865315,0.562608942030222
dcnn_5seqlength_9,dcnn,1700,5,True,50,glove,glove.6B.50d,1.2422398,0.5729375,1.295768,0.55780745,1.1867044,0.5865661,0.5872556118754526,0.5872556118754526,0.5872556118754526,0.5322097722527905,0.508325525716113,0.5322097722527905,0.56984539252405,0.5872556118754526,0.5638806658851507
dcnn_5seqlength_10,dcnn,1700,5,True,50,glove,glove.6B.50d,1.2417885,0.5734524,1.3171947,0.54412663,1.2001773,0.5690373,0.5687907313540912,0.5687907313540912,0.5687907313540912,0.5297032881480707,0.5234669876179621,0.5297032881480707,0.5502528852577506,0.5687907313540912,0.5391363024190986
rcnn_5seqlength_1,rcnn,1700,5,True,50,glove,glove.6B.50d,1.0285889,0.6398447,1.2954454,0.5751338,1.1761433,0.5970546,0.5970311368573498,0.5970311368573498,0.5970311368573498,0.5679639633473735,0.5327836211147998,0.5679639633473735,0.595117889720852,0.5970311368573498,0.5815052570918305
