'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_deps_100_1,cnn,5000,25,False,100,deps,deps,0.82532454,0.7469314,0.8973309,0.73580253,0.9619529,0.70224607,0.7043392988477568,0.7043392988477568,0.7043392988477568,0.447174158723945,0.2986548707121787,0.447174158723945,0.6810086717916068,0.7043392988477568,0.672471377233348
cnn_deps_100_2,cnn,5000,25,False,100,deps,deps,0.82514155,0.74690473,0.9417886,0.7333925,0.9645205,0.69907224,0.701152243196862,0.701152243196862,0.701152243196862,0.39320081163063453,0.3084148228087397,0.39320081163063453,0.6666327987962813,0.701152243196862,0.6637520335666992
cnn_deps_100_3,cnn,5000,25,False,100,deps,deps,0.8237705,0.74770516,0.9131214,0.73664117,0.953867,0.7048991,0.7072811963716598,0.7072811963716598,0.7072811963716598,0.4092485536693227,0.29006200462372683,0.4092485536693227,0.6745040088538515,0.7072811963716598,0.6747467297557965
cnn_deps_100_4,cnn,5000,25,False,100,deps,deps,0.82673687,0.7469372,0.9221292,0.7370799,0.9699013,0.7031087,0.7040941407207649,0.7040941407207649,0.7040941407207649,0.48274395172023093,0.391290195045867,0.48274395172023093,0.6844654602024881,0.7040941407207649,0.672999383453888
cnn_deps_100_5,cnn,5000,25,False,100,deps,deps,0.8228814,0.74703723,0.91608334,0.73672986,0.97207904,0.7002604,0.7026231919588134,0.7026231919588134,0.7026231919588134,0.4458236951964718,0.310223052232907,0.4458236951964718,0.6891451744607976,0.7026231919588134,0.6745231634030481
cnn_deps_100_6,cnn,5000,25,False,100,deps,deps,0.82468826,0.7471425,0.90649503,0.73413306,0.9678847,0.7000488,0.7021328757048296,0.7021328757048296,0.7021328757048296,0.4213529317855587,0.33452221860299386,0.4213529317855587,0.6713666013508905,0.7021328757048296,0.6642321958419342
cnn_deps_100_7,cnn,5000,25,False,100,deps,deps,0.82717896,0.7467024,0.9292532,0.7348581,0.96021295,0.6969076,0.6987006619269429,0.6987006619269429,0.6987006619269429,0.4341632409942299,0.33347614336954545,0.4341632409942299,0.6712255654614965,0.6987006619269429,0.6652711594577667
cnn_deps_100_8,cnn,5000,25,False,100,deps,deps,0.8265378,0.7464898,0.91529536,0.7373802,0.95665,0.7009928,0.7033586663397892,0.7033586663397892,0.7033586663397892,0.42466892861218086,0.3261290848196266,0.42466892861218086,0.6730131207721269,0.7033586663397892,0.6695741841521339
cnn_deps_100_9,cnn,5000,25,False,100,deps,deps,0.8252978,0.74717844,0.9149196,0.7369041,0.97965777,0.69764,0.6994361363079186,0.6994361363079186,0.6994361363079186,0.388693482485624,0.2662731872055137,0.388693482485624,0.6706265894034177,0.6994361363079186,0.6642046972140183
cnn_deps_100_10,cnn,5000,25,False,100,deps,deps,0.82912534,0.74552006,0.91407794,0.73431665,0.95640564,0.7049316,0.7070360382446678,0.7070360382446678,0.7070360382446678,0.3995823565837694,0.32587322727309004,0.3995823565837694,0.6782051510886934,0.7070360382446678,0.6779994821626207
text_cnn_deps_100_1,text_cnn,5000,25,False,100,deps,deps,0.74956733,0.76889974,0.8038626,0.74955815,0.87221193,0.7298991,0.7315518509438588,0.7315518509438588,0.7315518509438588,0.4446271023007146,0.32158994523330997,0.4446271023007146,0.6977348738353967,0.7315518509438588,0.7038194042224314
text_cnn_deps_100_2,text_cnn,5000,25,False,100,deps,deps,0.7472705,0.7691375,0.8222284,0.7464635,0.8885227,0.72233075,0.7239519490071096,0.7239519490071096,0.7239519490071096,0.47253627094778455,0.3539693441449535,0.47253627094778455,0.6983872531218626,0.7239519490071096,0.6952496765448054
text_cnn_deps_100_3,text_cnn,5000,25,False,100,deps,deps,0.7534381,0.7667163,0.8034817,0.75065345,0.88461465,0.7267253,0.7283647952929639,0.7283647952929639,0.7283647952929639,0.43124352406886796,0.3468138764609715,0.43124352406886796,0.699013741184736,0.7283647952929639,0.7030668592136038
text_cnn_deps_100_4,text_cnn,5000,25,False,100,deps,deps,0.74923515,0.76863325,0.80330193,0.74890155,0.8911411,0.7213542,0.7229713164991419,0.7229713164991419,0.722971316499142,0.4673680210877344,0.35538999097980184,0.4673680210877344,0.6931111759327364,0.7229713164991419,0.6941588037282256
text_cnn_deps_100_5,text_cnn,5000,25,False,100,deps,deps,0.74792093,0.7692251,0.81108075,0.7502427,0.89838034,0.71888024,0.7207648933562147,0.7207648933562147,0.7207648933562146,0.4461169982248894,0.33037039836529225,0.4461169982248894,0.6914501826056374,0.7207648933562147,0.6901018696250133
text_cnn_deps_100_6,text_cnn,5000,25,False,100,deps,deps,0.74728775,0.76855046,0.7944471,0.74957836,0.88645023,0.71866864,0.720274577102231,0.720274577102231,0.720274577102231,0.4287461466242903,0.3516081160417277,0.4287461466242903,0.6895475069917603,0.720274577102231,0.6925989650684036
text_cnn_deps_100_7,text_cnn,5000,25,False,100,deps,deps,0.74832696,0.7689364,0.8004718,0.7492065,0.8847452,0.7218099,0.7237067908801177,0.7237067908801177,0.7237067908801177,0.4398515554073903,0.3571841967206621,0.4398515554073903,0.6994019950506426,0.7237067908801177,0.6998613154528261
text_cnn_deps_100_8,text_cnn,5000,25,False,100,deps,deps,0.75100625,0.7689012,0.80510217,0.746325,0.8992921,0.71818036,0.7197842608482471,0.7197842608482471,0.7197842608482471,0.4070025873314714,0.33888150833021424,0.4070025873314714,0.6855172168974899,0.7197842608482471,0.6908238895470429
text_cnn_deps_100_9,text_cnn,5000,25,False,100,deps,deps,0.74574673,0.76944417,0.8041921,0.74837255,0.9041211,0.71961266,0.7215003677371905,0.7215003677371905,0.7215003677371905,0.4045846733611248,0.3287654412616846,0.4045846733611248,0.6918838706324685,0.7215003677371905,0.693431575510774
text_cnn_deps_100_10,text_cnn,5000,25,False,100,deps,deps,0.7493362,0.7687265,0.8085449,0.7488533,0.89660364,0.72062176,0.7222358421181663,0.7222358421181663,0.7222358421181664,0.4874752920469243,0.3525414644315725,0.4874752920469243,0.693018218631394,0.7222358421181663,0.6966494244732171
dcnn_deps_100_1,dcnn,5000,25,False,100,deps,deps,0.8172966,0.7487695,0.85361695,0.73592854,0.9461165,0.7186035,0.7207648933562147,0.7207648933562147,0.7207648933562146,0.38029630773949474,0.32579438430927493,0.38029630773949474,0.685338999573044,0.7207648933562147,0.6929400028394113
dcnn_deps_100_2,dcnn,5000,25,False,100,deps,deps,0.8068426,0.7489173,0.8369211,0.73649645,0.9319063,0.7190592,0.7215003677371905,0.7215003677371905,0.7215003677371905,0.4386865611750187,0.3424696237139916,0.4386865611750187,0.6888322372356973,0.7215003677371905,0.6927991859630762
dcnn_deps_100_3,dcnn,5000,25,False,100,deps,deps,0.80889195,0.7487195,0.8408718,0.74095094,0.9335013,0.709082,0.7112037264035302,0.7112037264035302,0.7112037264035302,0.4006399951988844,0.34367072386082576,0.4006399951988844,0.6817453224466443,0.7112037264035302,0.6873627346605625
dcnn_deps_100_4,dcnn,5000,25,False,100,deps,deps,0.8112651,0.74909085,0.84400284,0.7381753,0.9282813,0.7161621,0.7183133120862957,0.7183133120862957,0.7183133120862957,0.4130448872192163,0.3455787892265088,0.4130448872192163,0.6900903130919105,0.7183133120862957,0.6938520131763035
dcnn_deps_100_5,dcnn,5000,25,False,100,deps,deps,0.80521023,0.75029457,0.8371786,0.7399521,0.92516935,0.714974,0.7168423633243443,0.7168423633243443,0.7168423633243443,0.39529793413737985,0.3356143121430439,0.39529793413737985,0.6834234436339728,0.7168423633243443,0.6876495819882098
dcnn_deps_100_6,dcnn,5000,25,False,100,deps,deps,0.81268007,0.7486159,0.82392216,0.74444395,0.9359069,0.71735024,0.7197842608482471,0.7197842608482471,0.7197842608482471,0.4180863774619101,0.3875084784679075,0.4180863774619101,0.6860309702287638,0.7197842608482471,0.6920606191159352
dcnn_deps_100_7,dcnn,5000,25,False,100,deps,deps,0.8121324,0.7492166,0.852093,0.7386327,0.937021,0.714974,0.7168423633243443,0.7168423633243443,0.7168423633243443,0.3730294330628909,0.3221186606881875,0.3730294330628909,0.6882406482854602,0.7168423633243443,0.6896361968501468
dcnn_deps_100_8,dcnn,5000,25,False,100,deps,deps,0.81003803,0.75046915,0.8431192,0.7405884,0.9272639,0.72254235,0.7244422652610935,0.7244422652610935,0.7244422652610936,0.40048202794652504,0.33213689938244567,0.40048202794652504,0.6950744147784974,0.7244422652610935,0.7005216634793856
dcnn_deps_100_9,dcnn,5000,25,False,100,deps,deps,0.811946,0.7485805,0.8283814,0.73977935,0.9518564,0.7186035,0.7207648933562147,0.7207648933562147,0.7207648933562146,0.3971761545731481,0.31452886095957866,0.3971761545731481,0.6882804641592847,0.7207648933562147,0.6938420890761828
