'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_fasttext_100_1,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.81815785,0.74882036,0.9196182,0.7348332,0.98351365,0.6962077,0.6977200294189753,0.6977200294189753,0.6977200294189753,0.40263960598486354,0.2903678561785391,0.40263960598486354,0.6669348149911248,0.6977200294189753,0.6619976330739378
cnn_fasttext_100_2,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.8201325,0.74837005,0.91316885,0.73597366,0.9510713,0.70639646,0.7085069870066193,0.7085069870066193,0.7085069870066192,0.41510172304326404,0.28388523094483076,0.41510172304326404,0.6829399373422067,0.7085069870066193,0.6714272996015298
cnn_fasttext_100_3,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.8218365,0.7474913,0.9212447,0.7344738,0.9624742,0.7029785,0.7050747732287326,0.7050747732287326,0.7050747732287326,0.4760375113908177,0.33658614591012276,0.4760375113908177,0.6801807603330502,0.7050747732287326,0.6740653818272766
cnn_fasttext_100_4,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.82333106,0.74713147,0.9184217,0.73332244,0.9581974,0.70935875,0.7112037264035302,0.7112037264035302,0.7112037264035302,0.43080385351996964,0.3338185767739758,0.43080385351996964,0.6912083532219001,0.7112037264035302,0.6777424841255241
cnn_fasttext_100_5,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.8196487,0.7488909,0.9217424,0.73180544,0.97327614,0.6988607,0.7006619269428782,0.7006619269428782,0.7006619269428782,0.4242696017034996,0.29957837570216445,0.4242696017034996,0.6735733509595254,0.7006619269428782,0.664898952854736
cnn_fasttext_100_6,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.82115436,0.74771667,0.9097143,0.73647153,0.96408397,0.70691735,0.7087521451336112,0.7087521451336112,0.7087521451336112,0.3857274757174907,0.3012528885607472,0.3857274757174907,0.676473759523775,0.7087521451336112,0.6779606272228529
cnn_fasttext_100_7,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.82187563,0.7480865,0.9234074,0.73537934,0.95737416,0.6918132,0.6933071831331209,0.6933071831331209,0.6933071831331209,0.3852769951306693,0.3163794223453193,0.3852769951306693,0.6653853875237373,0.6933071831331209,0.6511432143074658
cnn_fasttext_100_8,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.82175684,0.7484003,0.91336924,0.73841643,0.9743583,0.69858396,0.7006619269428782,0.7006619269428782,0.7006619269428782,0.45356466263192086,0.35529892902559485,0.45356466263192086,0.6703108170518063,0.7006619269428782,0.665492614095216
cnn_fasttext_100_9,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.8207398,0.7485579,0.9070636,0.73777384,0.9677892,0.70953774,0.711939200784506,0.711939200784506,0.711939200784506,0.4347982646318982,0.3151344812070594,0.4347982646318982,0.6793843790985529,0.711939200784506,0.681663943600218
cnn_fasttext_100_10,cnn,5000,25,False,100,fasttext,crawl-300d-2M,0.8218097,0.7480251,0.9094419,0.7340864,0.9554874,0.70102537,0.7031135082127973,0.7031135082127973,0.7031135082127973,0.42875098548108087,0.3430320155630588,0.42875098548108087,0.6701883265449532,0.7031135082127973,0.6668517224972962
