'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_glove_100_1,cnn,5000,25,False,100,glove,glove.840B.300d,0.8315387,0.74458593,0.8949493,0.7344147,0.96518254,0.7047201,0.706545721990684,0.706545721990684,0.706545721990684,0.4643715165043085,0.31705372458236325,0.4643715165043085,0.6815112838539331,0.706545721990684,0.6732949930823406
cnn_glove_100_2,cnn,5000,25,False,100,glove,glove.840B.300d,0.8315451,0.74531305,0.9039048,0.7413384,0.9607989,0.7052409,0.7067908801176759,0.7067908801176759,0.7067908801176759,0.46789502900920543,0.315762776873318,0.46789502900920543,0.6840856914968869,0.7067908801176759,0.6716370314124246
cnn_glove_100_3,cnn,5000,25,False,100,glove,glove.840B.300d,0.82995325,0.74513346,0.9086563,0.73486274,0.956535,0.70273435,0.7048296151017406,0.7048296151017406,0.7048296151017406,0.3814893327260757,0.27228751933396383,0.3814893327260757,0.6705534191254795,0.7048296151017406,0.6720662187634223
cnn_glove_100_4,cnn,5000,25,False,100,glove,glove.840B.300d,0.8278328,0.74589926,0.9101787,0.7332353,0.96284795,0.70154625,0.7033586663397892,0.7033586663397892,0.7033586663397892,0.4004839164982899,0.3250634372255017,0.4004839164982899,0.6657772263143751,0.7033586663397892,0.6731631528348722
cnn_glove_100_5,cnn,5000,25,False,100,glove,glove.840B.300d,0.8280633,0.745387,0.90370214,0.73886764,0.963319,0.7005697,0.7023780338318215,0.7023780338318215,0.7023780338318215,0.43036018119622027,0.3446725772378574,0.43036018119622027,0.6723777570254573,0.7023780338318215,0.6756275373032481
cnn_glove_100_6,cnn,5000,25,False,100,glove,glove.840B.300d,0.8295383,0.74519694,0.9245243,0.73453295,0.9708181,0.7054199,0.7075263544986516,0.7075263544986516,0.7075263544986515,0.4333281448205197,0.3425521966892367,0.4333281448205197,0.6771096868765412,0.7075263544986516,0.6768995977383908
cnn_glove_100_7,cnn,5000,25,False,100,glove,glove.840B.300d,0.83069617,0.7453519,0.89729303,0.7378376,0.9580748,0.70325524,0.7050747732287326,0.7050747732287326,0.7050747732287326,0.3669160777785219,0.2781931374203981,0.3669160777785219,0.6672172656917214,0.7050747732287326,0.6699259853826821
cnn_glove_100_8,cnn,5000,25,False,100,glove,glove.840B.300d,0.8255108,0.7464314,0.9134782,0.73507595,0.9661184,0.7084473,0.7097327776415788,0.7097327776415788,0.7097327776415788,0.46110210207971614,0.3348842076868277,0.46110210207971614,0.6906202387000802,0.7097327776415788,0.6821391820924649
cnn_glove_100_9,cnn,5000,25,False,100,glove,glove.840B.300d,0.831736,0.7442558,0.88261867,0.73870426,0.9493773,0.71057945,0.7124295170384898,0.7124295170384898,0.7124295170384898,0.43160446891543003,0.34268902499469894,0.43160446891543003,0.6877937500016071,0.7124295170384898,0.6808309640220629
cnn_glove_100_10,cnn,5000,25,False,100,glove,glove.840B.300d,0.8298144,0.7459164,0.90166956,0.73726505,0.96554,0.7059082,0.7080166707526354,0.7080166707526354,0.7080166707526354,0.41500033592250135,0.30214505486456006,0.41500033592250135,0.6735533796663478,0.7080166707526354,0.6740588703923518
text_cnn_glove_100_1,text_cnn,5000,25,False,100,glove,glove.840B.300d,0.7531292,0.7619197,0.79250944,0.74923915,0.89476925,0.71717125,0.7190487864672714,0.7190487864672714,0.7190487864672713,0.44981978054926086,0.3230961938700358,0.44981978054926086,0.6909664918921209,0.7190487864672714,0.6941305459865739
