'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_punc=T_seq=50_voc=5k_1,cnn,5000,50,True,50,glove,glove.6B.50d,0.80222625,0.74693614,0.81871516,0.7499603,0.95307845,0.7164714,0.7180681539593038,0.7180681539593038,0.7180681539593038,0.43038561325227603,0.3205929703855395,0.43038561325227603,0.6898123956586693,0.7180681539593038,0.6864698496865159
cnn_punc=T_seq=50_voc=5k_2,cnn,5000,50,True,50,glove,glove.6B.50d,0.805313,0.7457298,0.8156979,0.7479859,0.90565616,0.7203451,0.7222358421181663,0.7222358421181663,0.7222358421181664,0.4610358078742438,0.33808591713864616,0.4610358078742438,0.6917772538750201,0.7222358421181663,0.6941822437225014
cnn_punc=T_seq=50_voc=5k_3,cnn,5000,50,True,50,glove,glove.6B.50d,0.80294925,0.7460628,0.8126757,0.74949825,0.9196924,0.70914716,0.7107134101495465,0.7107134101495465,0.7107134101495465,0.3725432093387983,0.3135223271196356,0.3725432093387983,0.6729063428939823,0.7107134101495465,0.6743360232041745
cnn_punc=T_seq=50_voc=5k_4,cnn,5000,50,True,50,glove,glove.6B.50d,0.8022927,0.746486,0.81205434,0.75083554,0.938513,0.71818036,0.7197842608482471,0.7197842608482471,0.7197842608482471,0.44557769680649945,0.34375053127859373,0.44557769680649945,0.6901814605351567,0.7197842608482471,0.6901011549584284
cnn_punc=T_seq=50_voc=5k_5,cnn,5000,50,True,50,glove,glove.6B.50d,0.8040869,0.7460248,0.82316566,0.745232,0.90424013,0.71595055,0.7178229958323118,0.7178229958323118,0.7178229958323118,0.48542760209087726,0.35870408398863807,0.48542760209087726,0.6856622693131885,0.7178229958323118,0.6856740067717015
cnn_punc=T_seq=50_voc=5k_6,cnn,5000,50,True,50,glove,glove.6B.50d,0.8073788,0.7455402,0.83369994,0.74590415,0.94841427,0.70942384,0.7107134101495465,0.7107134101495465,0.7107134101495465,0.43142451110625896,0.3445140124409951,0.43142451110625896,0.6801213343836301,0.7107134101495465,0.6778376990130044
cnn_punc=T_seq=50_voc=5k_7,cnn,5000,50,True,50,glove,glove.6B.50d,0.80400664,0.74570686,0.81102836,0.75191844,0.91926223,0.717513,0.7185584702132876,0.7185584702132876,0.7185584702132876,0.4538985064079907,0.3786190576379671,0.4538985064079907,0.6880425440917506,0.7185584702132876,0.683559636953852
cnn_punc=T_seq=50_voc=5k_8,cnn,5000,50,True,50,glove,glove.6B.50d,0.8002441,0.74646306,0.80173826,0.7507002,0.9150752,0.71643883,0.7183133120862957,0.7183133120862957,0.7183133120862957,0.46198054687729634,0.3763584769833991,0.46198054687729634,0.6880443625896194,0.7183133120862957,0.6923098579703933
cnn_punc=T_seq=50_voc=5k_9,cnn,5000,50,True,50,glove,glove.6B.50d,0.8040194,0.74640334,0.8077219,0.7478715,0.949277,0.70813805,0.7099779357685707,0.7099779357685707,0.7099779357685707,0.4504147101953622,0.3186320603586809,0.4504147101953622,0.6777808114103155,0.7099779357685707,0.6755986651449197
cnn_punc=T_seq=50_voc=5k_10,cnn,5000,50,True,50,glove,glove.6B.50d,0.803883,0.7459092,0.8215435,0.7459088,0.9213786,0.7094889,0.7102230938955626,0.7102230938955626,0.7102230938955627,0.4999344899458899,0.3670716532922051,0.4999344899458899,0.6880183437776525,0.7102230938955626,0.6803504990557812
