'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_final_1,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.81600744,0.74225086,0.8111513,0.74544436,0.92281157,0.7049386,0.7064737616478666,0.7064737616478666,0.7064737616478666,0.44553641622436524,0.3640039284046428,0.44553641622436524,0.6746469917259525,0.7064737616478666,0.6686310200297916
cnn_final_2,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8123733,0.7417365,0.8033387,0.74567777,0.9276543,0.7129255,0.7148111819519373,0.7148111819519373,0.7148111819519373,0.39901187957156026,0.34457674365620433,0.39901187957156026,0.688475150003206,0.7148111819519373,0.6861362297285047
cnn_final_3,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8136503,0.7426705,0.8010418,0.74963826,0.92454153,0.70420617,0.7057381069151545,0.7057381069151545,0.7057381069151545,0.43710962929867664,0.3438666081483377,0.43710962929867664,0.6843736750400345,0.7057381069151545,0.672789324132626
cnn_final_4,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8149259,0.74173284,0.8036282,0.7495566,0.91013926,0.7144601,0.716037273173124,0.716037273173124,0.716037273173124,0.4700672201987924,0.35401601680007755,0.4700672201987924,0.6862536046840636,0.716037273173124,0.6853646107254373
cnn_final_5,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.81340027,0.74162877,0.80204755,0.7464176,0.9245008,0.70305526,0.7042667974497303,0.7042667974497303,0.7042667974497303,0.4438807662890872,0.3379068416062891,0.4438807662890872,0.6728333538335296,0.7042667974497303,0.6687647782841757
cnn_final_6,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8118736,0.7427014,0.8006573,0.74785054,0.9455662,0.70713586,0.708680725846003,0.708680725846003,0.708680725846003,0.43447780799505253,0.33745502441596026,0.43447780799505253,0.685352193514621,0.708680725846003,0.6813648878561267
cnn_final_7,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.816208,0.7418745,0.80284035,0.7467653,0.92096514,0.71250695,0.7140755272192251,0.7140755272192251,0.7140755272192251,0.3922962920185398,0.31479244157451763,0.3922962920185398,0.6771775190109066,0.7140755272192251,0.6844273490356879
cnn_final_8,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.8130246,0.74194986,0.80732036,0.74466956,0.89898473,0.7182617,0.7192251103482099,0.7192251103482099,0.7192251103482099,0.5126616245720143,0.37259063494266437,0.5126616245720143,0.6976434907362217,0.7192251103482099,0.688203226961093
cnn_final_9,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.81272703,0.7422759,0.8065947,0.7472181,0.9162007,0.72031945,0.721922511034821,0.721922511034821,0.721922511034821,0.4636527992160714,0.37560941496494765,0.4636527992160714,0.690538830800404,0.721922511034821,0.6911534563049732
cnn_final_10,cnn,2500,45,True,100,numberbatch,numberbatch-en,0.81505436,0.7422788,0.8079626,0.74676764,0.9257476,0.7184361,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.4576793170849788,0.3703782554833471,0.4576793170849788,0.6903541074623119,0.7197155468366846,0.6909117227188583
