'experiment_name','model_name','vocab_size','max_seq_length','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_10seqlength_1,cnn,10000,10,50,glove,glove.6B.50d,0.79996485,0.7508436,0.9745161,0.72667414,0.97443444,0.69129235,0.6930620250061289,0.6930620250061289,0.6930620250061289,0.36915277163052806,0.33589075740293817,0.36915277163052806,0.6526422159847644,0.6930620250061289,0.6589023271147294
cnn_10seqlength_2,cnn,10000,10,50,glove,glove.6B.50d,0.7989913,0.7498979,0.9594508,0.72825956,0.9515269,0.7023112,0.7038489825937729,0.7038489825937729,0.7038489825937729,0.39967665809439,0.32577066258657883,0.39967665809439,0.6708692543513718,0.7038489825937729,0.6691104367391557
cnn_10seqlength_3,cnn,10000,10,50,glove,glove.6B.50d,0.7984999,0.7511028,0.9469059,0.7283841,0.94763553,0.7061849,0.7080166707526354,0.7080166707526354,0.7080166707526354,0.4134422898716825,0.3284449930658659,0.4134422898716825,0.6766592751688129,0.7080166707526354,0.6744920223304748
cnn_10seqlength_4,cnn,10000,10,50,glove,glove.6B.50d,0.7983637,0.75059265,0.959619,0.7227237,0.943493,0.7003581,0.7018877175778377,0.7018877175778377,0.7018877175778377,0.4406017340603467,0.34353378089515674,0.4406017340603467,0.6685059788742586,0.7018877175778377,0.6744168255976057
cnn_10seqlength_5,cnn,10000,10,50,glove,glove.6B.50d,0.7970373,0.7514904,0.96121776,0.72640187,0.95168436,0.7027995,0.7043392988477568,0.7043392988477568,0.7043392988477568,0.39041597813880263,0.32634886582080086,0.39041597813880263,0.6718685615101836,0.7043392988477568,0.6717471243736387
cnn_10seqlength_6,cnn,10000,10,50,glove,glove.6B.50d,0.7994385,0.75015914,0.9572723,0.7285132,0.9592396,0.70499676,0.706545721990684,0.706545721990684,0.706545721990684,0.38357789600292397,0.30613029225578126,0.38357789600292397,0.6692493985132704,0.706545721990684,0.6716385072701689
cnn_10seqlength_7,cnn,10000,10,50,glove,glove.6B.50d,0.8004518,0.75105345,0.9308891,0.73029625,0.95290613,0.70139974,0.7023780338318215,0.7023780338318215,0.7023780338318215,0.4338311911832374,0.32356727437792027,0.4338311911832374,0.6743306792479022,0.7023780338318215,0.6731235217737062
cnn_10seqlength_8,cnn,10000,10,50,glove,glove.6B.50d,0.79748434,0.75146,0.94172055,0.73115975,0.9643464,0.7066732,0.7085069870066193,0.7085069870066193,0.7085069870066192,0.476223972840459,0.36390858195310966,0.476223972840459,0.6811837384299448,0.7085069870066193,0.6771174099233206
cnn_10seqlength_9,cnn,10000,10,50,glove,glove.6B.50d,0.7946928,0.7513084,0.9411075,0.7308828,0.94429964,0.70750326,0.7085069870066193,0.7085069870066193,0.7085069870066192,0.37907663886312626,0.3524156785962999,0.37907663886312626,0.6715314028984283,0.7085069870066193,0.6825914501868161
cnn_10seqlength_10,cnn,10000,10,50,glove,glove.6B.50d,0.7989139,0.7509094,0.9656368,0.7264703,0.94279146,0.70262045,0.703603824466781,0.703603824466781,0.703603824466781,0.3883867236768222,0.2928244809464275,0.3883867236768222,0.6737513773614323,0.703603824466781,0.6733491868788868
