'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
bi_lstm_final_1,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.85194206,0.7555332,0.96882427,0.7474531,0.9247666,0.7189244,0.7202059833251594,0.7202059833251594,0.7202059833251594,0.3573795288059577,0.2866746846480742,0.3573795288059577,0.6843105363679571,0.7202059833251594,0.67977565864795
bi_lstm_final_2,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.8324619,0.75916624,0.9744742,0.74638444,0.89599484,0.7325265,0.7341834232466895,0.7341834232466895,0.7341834232466896,0.41368567384142524,0.3009340656684146,0.41368567384142524,0.6952797936073708,0.7341834232466895,0.6987504795620301
bi_lstm_final_3,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.84519297,0.7559544,0.94007367,0.7501277,0.9166701,0.7242257,0.7258460029426189,0.7258460029426189,0.7258460029426189,0.41768151273664245,0.3070195639751513,0.41768151273664245,0.6890100373098786,0.7258460029426189,0.6909008967149126
bi_lstm_final_4,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.870863,0.7528428,0.96065515,0.74900556,0.9031122,0.72935265,0.7309955860716038,0.7309955860716038,0.7309955860716038,0.37842924533355743,0.32050078249675307,0.37842924533355743,0.6889590981316083,0.7309955860716038,0.6997107473983584
bi_lstm_final_5,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.83703893,0.7578649,0.9350031,0.75301445,0.9278257,0.71250695,0.7140755272192251,0.7140755272192251,0.7140755272192251,0.3549526114475394,0.27791285593116966,0.3549526114475394,0.6797602521588197,0.7140755272192251,0.6764179916268123
bi_lstm_final_6,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.8548965,0.75565976,0.96897596,0.748923,0.9238323,0.7194127,0.7206964198136341,0.7206964198136341,0.7206964198136341,0.3564614237938695,0.2775352302257618,0.3564614237938695,0.6875326848080657,0.7206964198136341,0.6839401875271544
bi_lstm_final_7,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.8351795,0.7598999,0.9737266,0.7501867,0.92594767,0.72209823,0.7233938205002453,0.7233938205002453,0.7233938205002454,0.3679750037046921,0.2897879901263805,0.3679750037046921,0.6838077691346132,0.7233938205002453,0.6847945291982404
bi_lstm_final_8,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.81998605,0.76242834,0.9574505,0.7514954,0.8929859,0.7300851,0.7317312408043158,0.7317312408043158,0.731731240804316,0.38235634855272255,0.29433503463150784,0.38235634855272255,0.6924249951443936,0.7317312408043158,0.7012682008372175
bi_lstm_final_9,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.8263607,0.7608347,0.9570923,0.75018173,0.942327,0.7283761,0.7300147130946543,0.7300147130946543,0.7300147130946544,0.38551155873756476,0.3131149042810108,0.38551155873756476,0.7017639168617915,0.7300147130946543,0.7018373305256439
bi_lstm_final_10,bi_lstm,7000,25,True,300,glove,glove.840B.300d,0.84064853,0.7586469,0.9913638,0.7473251,0.90787464,0.7089844,0.7099068170671898,0.7099068170671898,0.7099068170671898,0.44329310816756196,0.29834044487674216,0.44329310816756196,0.6894115554613898,0.7099068170671898,0.6655640163118548
deep_lstm_2lyr_final_1,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.78810346,0.7662936,0.89508915,0.75498235,0.899229,0.7234584,0.7241294752329573,0.7241294752329573,0.7241294752329572,0.41227374992583815,0.3131192462954944,0.41227374992583815,0.7029191698935151,0.7241294752329573,0.6901712555967456
deep_lstm_2lyr_final_2,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.7819531,0.76649386,0.9221798,0.75477415,0.8892325,0.72893417,0.7302599313388917,0.7302599313388917,0.7302599313388917,0.39271312685192517,0.2922901611330708,0.39271312685192517,0.691723382548857,0.7302599313388917,0.6969621374931908
deep_lstm_2lyr_final_3,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.7843406,0.7668176,0.923996,0.7535058,0.86999744,0.7380371,0.7390877881314369,0.7390877881314369,0.7390877881314369,0.3966744999769001,0.3204809127529982,0.3966744999769001,0.7003390402299429,0.7390877881314369,0.7045896115976001
deep_lstm_2lyr_final_4,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.7830252,0.76655036,0.9313244,0.7516798,0.8944141,0.72924805,0.7302599313388917,0.7302599313388917,0.7302599313388917,0.37746935923095054,0.29008169379205384,0.37746935923095054,0.7035821698479925,0.7302599313388917,0.6946502820157011
deep_lstm_2lyr_final_5,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.7891458,0.76503885,0.9253259,0.753666,0.8939258,0.7366769,0.7383521333987249,0.7383521333987249,0.7383521333987249,0.42076305948979037,0.31319731302750975,0.42076305948979037,0.7059035306549398,0.7383521333987249,0.7047536474591526
deep_lstm_2lyr_final_6,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.77709043,0.7669229,0.93541586,0.7535771,0.89037097,0.73357284,0.7349190779794017,0.7349190779794017,0.7349190779794017,0.44330754288190716,0.3020330150909909,0.44330754288190716,0.7118746373811029,0.7349190779794017,0.7059922505404618
deep_lstm_2lyr_final_7,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.7810566,0.76755893,0.91165763,0.75570655,0.8919592,0.72879463,0.7307503678273664,0.7307503678273664,0.7307503678273664,0.4021831126981361,0.3132655623505673,0.4021831126981361,0.692098183174286,0.7307503678273664,0.7018786970580619
deep_lstm_2lyr_final_8,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.77703226,0.7665768,0.9178167,0.7541929,0.90494287,0.7314453,0.7324668955370279,0.7324668955370279,0.7324668955370279,0.40475181833180307,0.29891956523717755,0.40475181833180307,0.6971328497398224,0.7324668955370279,0.6962924804349633
deep_lstm_2lyr_final_9,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.7864585,0.76536226,0.9106027,0.7557868,0.88314855,0.74121094,0.7422756253065228,0.7422756253065228,0.7422756253065228,0.3891453736306542,0.31376500668887897,0.3891453736306542,0.702609576867832,0.7422756253065228,0.7110644877326554
deep_lstm_2lyr_final_10,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.7885389,0.76548755,0.91818565,0.7519547,0.90339446,0.73657227,0.7376164786660128,0.7376164786660128,0.7376164786660128,0.36360838798464484,0.2998211266451974,0.36360838798464484,0.6957541788596856,0.7376164786660128,0.7051838154313824
deep_lstm_3lyr_final_1,deep_lstm,7000,25,True,300,glove,glove.840B.300d,0.77520406,0.76968735,0.94824326,0.75382185,0.8961868,0.73430526,0.7356547327121138,0.7356547327121138,0.7356547327121138,0.39064872582972726,0.2990816099138362,0.39064872582972726,0.6950129057711621,0.7356547327121138,0.7037813558469513
