'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_numberbatch_100_1,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.8269114,0.74626666,0.9118863,0.7357683,0.96579933,0.69492185,0.6969845550379995,0.6969845550379995,0.6969845550379995,0.46346871189483635,0.31844834577403475,0.46346871189483635,0.6724491017833137,0.6969845550379995,0.6591240317257484
cnn_numberbatch_100_2,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.824693,0.74701697,0.9097912,0.73696476,0.9791012,0.70548505,0.7070360382446678,0.7070360382446678,0.7070360382446678,0.478636653214836,0.31888568322690913,0.478636653214836,0.6885914317115738,0.7070360382446678,0.6752606081748708
cnn_numberbatch_100_3,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.82321864,0.7475121,0.92323077,0.73537624,0.96512175,0.7013021,0.7031135082127973,0.7031135082127973,0.7031135082127973,0.4374887476957864,0.32593149535396054,0.4374887476957864,0.6655309899152881,0.7031135082127973,0.6660795761270926
cnn_numberbatch_100_4,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.8223204,0.7484036,0.9232705,0.7329677,0.98717505,0.7025228,0.7043392988477568,0.7043392988477568,0.7043392988477568,0.42145429431833836,0.30313010178809097,0.42145429431833836,0.6694611948859746,0.7043392988477568,0.6735711460290876
cnn_numberbatch_100_5,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.82291365,0.7482776,0.9111005,0.7359488,0.9873912,0.6996257,0.701152243196862,0.701152243196862,0.701152243196862,0.40665198812836995,0.3394285027226868,0.40665198812836995,0.6701610848264495,0.701152243196862,0.6742628847587835
cnn_numberbatch_100_6,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.8224485,0.747154,0.9288809,0.7336274,0.9698011,0.70447594,0.7063005638636921,0.7063005638636921,0.7063005638636921,0.45256671427793665,0.32232007923685924,0.45256671427793665,0.6753298582758662,0.7063005638636921,0.6720538067144707
cnn_numberbatch_100_7,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.8223396,0.7484588,0.9211155,0.7369834,0.9612591,0.70151365,0.703603824466781,0.703603824466781,0.703603824466781,0.372611660207767,0.2831337816712636,0.372611660207767,0.6659108066582892,0.703603824466781,0.6710091915317385
cnn_numberbatch_100_8,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.8243904,0.74688894,0.91460276,0.7352533,0.9571342,0.7010905,0.7026231919588134,0.7026231919588134,0.7026231919588134,0.4404989562463813,0.342191147204359,0.4404989562463813,0.6704551501235642,0.7026231919588134,0.6726320506670462
cnn_numberbatch_100_9,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.82460666,0.74726164,0.92014945,0.7389439,0.9688925,0.7049642,0.7067908801176759,0.7067908801176759,0.7067908801176759,0.3754663887121896,0.31903456100940175,0.3754663887121896,0.6745471081250531,0.7067908801176759,0.6772756795193002
cnn_numberbatch_100_10,cnn,5000,25,False,100,numberbatch,numberbatch-en,0.8240021,0.74729466,0.9105237,0.73571074,0.972172,0.70102537,0.7031135082127973,0.7031135082127973,0.7031135082127973,0.4150126919332382,0.30524396385509533,0.4150126919332382,0.6721514890955335,0.7031135082127973,0.6707087247823379
text_cnn_numberbatch_100_1,text_cnn,5000,25,False,100,numberbatch,numberbatch-en,0.7498057,0.76887447,0.8099467,0.74769884,0.89451575,0.7208659,0.7224810002451582,0.7224810002451582,0.7224810002451582,0.43189431537759293,0.34208630822756475,0.43189431537759293,0.694213536658051,0.7224810002451582,0.6947873337991664
text_cnn_numberbatch_100_2,text_cnn,5000,25,False,100,numberbatch,numberbatch-en,0.7493858,0.7680204,0.80802125,0.7476008,0.87094027,0.72250974,0.7246874233880853,0.7246874233880853,0.7246874233880853,0.4550100763368542,0.3759621845297265,0.4550100763368542,0.6960088886579977,0.7246874233880853,0.7013996822992136
text_cnn_numberbatch_100_3,text_cnn,5000,25,False,100,numberbatch,numberbatch-en,0.74461895,0.77008736,0.81710565,0.7413866,0.8783922,0.7242839,0.7259132140230449,0.7259132140230449,0.7259132140230449,0.470974101143265,0.35105945802850214,0.470974101143265,0.7002646745759379,0.7259132140230449,0.6978899143284594
text_cnn_numberbatch_100_4,text_cnn,5000,25,False,100,numberbatch,numberbatch-en,0.7459275,0.7697138,0.7911143,0.7514548,0.8993216,0.7189128,0.7205197352292229,0.7205197352292229,0.7205197352292229,0.43054332898173714,0.36463279718192376,0.43054332898173714,0.6904751700360154,0.7205197352292229,0.6943740684299651
text_cnn_numberbatch_100_5,text_cnn,5000,25,False,100,numberbatch,numberbatch-en,0.7442968,0.7696752,0.8080967,0.7483181,0.8870053,0.71988934,0.7215003677371905,0.7215003677371905,0.7215003677371905,0.46527501211740985,0.3489674348565199,0.46527501211740985,0.6968979552148113,0.7215003677371905,0.6937176237307996
text_cnn_numberbatch_100_6,text_cnn,5000,25,False,100,numberbatch,numberbatch-en,0.7471549,0.7692414,0.79933596,0.7495161,0.8993922,0.7181152,0.720274577102231,0.720274577102231,0.720274577102231,0.4574257096337984,0.3496250752429131,0.4574257096337984,0.687774584087927,0.720274577102231,0.6923534027537185
text_cnn_numberbatch_100_7,text_cnn,5000,25,False,100,numberbatch,numberbatch-en,0.7434216,0.77077633,0.80810314,0.7474437,0.8757118,0.7250163,0.7266486884040206,0.7266486884040206,0.7266486884040205,0.44597799183136305,0.34311005342089457,0.44597799183136305,0.7007182718731136,0.7266486884040206,0.6997988783727722
