'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
text_cnn_punc_lbls1,text_cnn,2500,25,True,300,numberbatch,numberbatch-en,0.80531836,0.74073154,0.76871127,0.74789256,0.8149273,0.72820175,0.7295242766061795,0.7295242766061795,0.7295242766061795,0.4667364665927401,0.3417295167043359,0.4667364665927401,0.7099689223376423,0.7295242766061795,0.699054209148558
text_cnn_punc_lbls2,text_cnn,2500,25,True,300,numberbatch,numberbatch-en,0.8014981,0.7415181,0.7552682,0.7533794,0.8246305,0.7316197,0.7329573320255027,0.7329573320255027,0.7329573320255026,0.4952440752570206,0.3840852420298792,0.4952440752570206,0.7099380822566723,0.7329573320255027,0.7073754139413252
text_cnn_punc_lbls3,text_cnn,2500,25,True,300,numberbatch,numberbatch-en,0.7996258,0.74179417,0.75781345,0.7543619,0.8256193,0.7266671,0.7282981853849927,0.7282981853849927,0.7282981853849927,0.4413493252072789,0.32173212988849353,0.4413493252072789,0.703025151638305,0.7282981853849927,0.6985099107058036
text_cnn_punc_lbls4,text_cnn,2500,25,True,300,numberbatch,numberbatch-en,0.80305094,0.7412656,0.76750463,0.74918085,0.83549935,0.72283065,0.7241294752329573,0.7241294752329573,0.7241294752329572,0.45788052009456276,0.34072593095287185,0.45788052009456276,0.6968654080966078,0.7241294752329573,0.6945379138292902
text_cnn_punc_lbls5,text_cnn,2500,25,True,300,numberbatch,numberbatch-en,0.80030066,0.74111754,0.75867075,0.75065815,0.8044018,0.7308873,0.7322216772927905,0.7322216772927905,0.7322216772927905,0.4674051973645324,0.37812542902318697,0.4674051973645324,0.701344105930441,0.7322216772927905,0.7064230964749391
text_cnn_no_punc_lbls1,text_cnn,2500,25,False,300,numberbatch,numberbatch-en,0.7929089,0.75390303,0.77543867,0.751286,0.88239324,0.72342354,0.7253555664541442,0.7253555664541442,0.7253555664541442,0.4488348702725777,0.3794049472624171,0.4488348702725777,0.6959450534678747,0.7253555664541442,0.7016458782815826
text_cnn_no_punc_lbls2,text_cnn,2500,25,False,300,numberbatch,numberbatch-en,0.7927134,0.75400335,0.78296405,0.7500747,0.88643056,0.72220284,0.7241294752329573,0.7241294752329573,0.7241294752329572,0.4836633466813986,0.37151769853910804,0.4836633466813986,0.6999022914885039,0.7241294752329573,0.7009237326378609
text_cnn_no_punc_lbls3,text_cnn,2500,25,False,300,numberbatch,numberbatch-en,0.79158884,0.75476295,0.78716254,0.7459718,0.8874307,0.71878487,0.7206964198136341,0.7206964198136341,0.7206964198136341,0.4380173520970192,0.3817857600665687,0.4380173520970192,0.6948202476503926,0.7206964198136341,0.6958183401709205
text_cnn_no_punc_lbls4,text_cnn,2500,25,False,300,numberbatch,numberbatch-en,0.7942945,0.7536182,0.7822839,0.74794155,0.8988032,0.7178083,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.47573015896260007,0.33445313750550787,0.47573015896260007,0.698394554721956,0.7197155468366846,0.6911692999244207
text_cnn_no_punc_lbls5,text_cnn,2500,25,False,300,numberbatch,numberbatch-en,0.7909508,0.7547516,0.7883469,0.7493932,0.8785429,0.7222726,0.7238842569887199,0.7238842569887199,0.7238842569887199,0.47082758752066384,0.35237262583495127,0.47082758752066384,0.7049594136593496,0.7238842569887199,0.6999319414192511
