'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_random_100_1,cnn,5000,25,FALSE,100,random,random,1.0033604,0.7008451,0.92378205,0.7194641,1.1000419,0.6749023,0.676881589,0.676881589,0.676881589,0.34503706,0.248980515,0.34503706,0.637957186,0.676881589,0.634663817
cnn_random_100_2,cnn,5000,25,FALSE,100,random,random,1.0047579,0.70010656,0.9291171,0.71950924,1.0487224,0.67685544,0.678842854,0.678842854,0.678842854,0.332780795,0.235385107,0.332780795,0.6470547,0.678842854,0.634497449
cnn_random_100_3,cnn,5000,25,FALSE,100,random,random,1.0044705,0.7006075,0.9288952,0.72124255,1.0684363,0.6915039,0.693552341,0.693552341,0.693552341,0.35575474,0.273958529,0.35575474,0.652764578,0.693552341,0.652804345
cnn_random_100_4,cnn,5000,25,FALSE,100,random,random,1.0021437,0.70108736,0.91345376,0.720838,1.0598232,0.6741699,0.676146114,0.676146114,0.676146114,0.346526677,0.246250645,0.346526677,0.654101692,0.676146114,0.626303421
cnn_random_100_5,cnn,5000,25,FALSE,100,random,random,1.0028133,0.70071596,0.92038107,0.7211025,1.0604995,0.68024087,0.682520226,0.682520226,0.682520226,0.332826677,0.259173272,0.332826677,0.646532102,0.682520226,0.642525507
cnn_random_100_6,cnn,5000,25,FALSE,100,random,random,1.0072021,0.69985765,0.92399395,0.7193708,1.0399721,0.6910156,0.693062025,0.693062025,0.693062025,0.431067613,0.258851499,0.431067613,0.68264443,0.693062025,0.655999504
cnn_random_100_7,cnn,5000,25,FALSE,100,random,random,1.0081933,0.70054895,0.92893404,0.7205362,1.0367019,0.69003904,0.692081392,0.692081392,0.692081392,0.327373176,0.249178625,0.327373176,0.660358245,0.692081392,0.651828135
cnn_random_100_8,cnn,5000,25,FALSE,100,random,random,1.0048816,0.7004833,0.9195222,0.7214448,1.0764978,0.6715495,0.672959059,0.672959059,0.672959059,0.394075297,0.276342667,0.394075297,0.661448698,0.672959059,0.626036227
cnn_random_100_9,cnn,5000,25,FALSE,100,random,random,1.0035186,0.700945,0.9203722,0.717636,1.0504922,0.67978513,0.681784751,0.681784751,0.681784751,0.423907555,0.27317472,0.423907555,0.654260086,0.681784751,0.639855629
cnn_random_100_10,cnn,5000,25,FALSE,100,random,random,1.0026273,0.70079076,0.9129,0.72073376,1.0808475,0.6892741,0.691591076,0.691591076,0.691591076,0.385199694,0.273336389,0.385199694,0.66084699,0.691591076,0.654002305
