'experiment_name','model_name','vocab_size','max_seq_length','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc''precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted',
lstm_5kvocab_1,lstm,5000,128,50,glove,glove.6B.50d,0.8553324,0.74544364,0.84453005,0.7544129,0.92520463,0.7284017,0.7303260603088992,0.7303260603088992,0.7303260603088992,0.3631256006414597,0.2900948070250049,0.3631256006414597,0.692754586018569,0.7303260603088992,0.6990455754935465
lstm_5kvocab_2,lstm,5000,128,50,glove,glove.6B.50d,0.86826473,0.7404558,0.8263042,0.75270957,0.9269831,0.7184896,0.7195391027212552,0.7195391027212552,0.7195391027212552,0.37798459219403907,0.3156539446651781,0.37798459219403907,0.6911670457840805,0.7195391027212552,0.6828363503471917
lstm_5kvocab_3,lstm,5000,128,50,glove,glove.6B.50d,0.88095224,0.7434631,0.8296857,0.7534371,0.94234186,0.726237,0.7278744790389802,0.7278744790389802,0.7278744790389802,0.38405972491190027,0.3024633678595546,0.38405972491190027,0.6912076458643227,0.7278744790389802,0.6965375297327306
lstm_5kvocab_4,lstm,5000,128,50,glove,glove.6B.50d,0.8622131,0.74179184,0.8324203,0.7541245,0.9412092,0.72382814,0.7251777396420691,0.7251777396420691,0.7251777396420691,0.3540314801882024,0.30841326628247645,0.3540314801882024,0.6818914368364495,0.7251777396420691,0.6884299306887084
lstm_5kvocab_5,lstm,5000,128,50,glove,glove.6B.50d,0.85594976,0.7436645,0.83473754,0.7511478,0.9321908,0.7279785,0.7293454278009316,0.7293454278009316,0.7293454278009316,0.3997073749789955,0.3276487581394106,0.3997073749789955,0.695366027166379,0.7293454278009316,0.6987492570707818
lstm_5kvocab_6,lstm,5000,128,50,glove,glove.6B.50d,0.85359967,0.74341357,0.8256146,0.7514423,0.9238211,0.7333496,0.7347389065947536,0.7347389065947536,0.7347389065947536,0.4393406433560891,0.30998179021272604,0.4393406433560891,0.7065065725257355,0.7347389065947536,0.7032857186239007
lstm_5kvocab_7,lstm,5000,128,50,glove,glove.6B.50d,0.8631451,0.74166685,0.8301594,0.7539372,0.94277954,0.7285319,0.7293454278009316,0.7293454278009316,0.7293454278009316,0.3789613845190087,0.315383766060047,0.3789613845190087,0.6882960535864919,0.7293454278009316,0.6974689233176389
lstm_5kvocab_8,lstm,5000,128,50,glove,glove.6B.50d,0.8498762,0.74413276,0.82169193,0.7542686,0.9361021,0.7255371,0.7268938465310125,0.7268938465310125,0.7268938465310125,0.3829768827869909,0.32117463826312614,0.3829768827869909,0.6906552041217267,0.7268938465310125,0.6925297722226562
lstm_5kvocab_9,lstm,5000,128,50,glove,glove.6B.50d,0.8584377,0.74375516,0.82153106,0.7515361,0.93955106,0.73063153,0.7322873253248345,0.7322873253248345,0.7322873253248344,0.3816063740844831,0.2993902562664818,0.3816063740844831,0.6915301670973696,0.7322873253248345,0.7012291038659684
lstm_5kvocab_10,lstm,5000,128,50,glove,glove.6B.50d,0.8606569,0.7427583,0.84046793,0.7473967,0.94406915,0.71845704,0.7197842608482471,0.7197842608482471,0.7197842608482471,0.3926558814076832,0.2830163887223766,0.3926558814076832,0.7100776488749266,0.7197842608482471,0.6819486130807672
bi_lstm_5kvocab_1,bi_lstm,5000,128,50,glove,glove.6B.50d,0.89053744,0.7356326,0.85103124,0.74586135,0.937185,0.7222982,0.7241971071341015,0.7241971071341015,0.7241971071341015,0.42438692768855246,0.3151126245363948,0.42438692768855246,0.689619270744074,0.7241971071341015,0.6936729333722854
